word,count
francz,1
alüs,1
farcy,1
iuifs,1
mout,1
nons,1
michell,1
emploirot,1
enuers,1
feptiefme,1
lydienne,1
uifs,1
fiege,1
tefton,1
echarceme,1
détemps,1
ceu,1
fcauroit,1
recercher,1
di,1
neceffai,1
eftantle,1
nc,1
onme,1
ánnales,1
diray,1
roign,1
dequatregrains,1
nevoulutiámais,1
faifoit,1
affe,1
pastant,1
deuc,1
coftél,1
pofons,1
caufelebon,1
enauoit,1
poiflon,1
chaf,1
ftre,1
sf,1
farançon,1
cheries,1
vien,1
biéen,1
paslebillon,1
affoibliz,1
debled,1
pourl,1
delacs,1
cinquáte,1
uftiniä,1
mede,1
pasátoutes,1
mmm,1
fols,1
marqueeau,1
traian,1
faides,1
defcorner,1
foudaii,1
aye,1
ray,1
debteur,1
leferuice,1
coman,1
trenchees,1
defriché,1
vaudroyét,1
fei,1
coipelleà,1
attendrela,1
sci,1
philippele,1
efcu,1
cit,1
incognue,1
eftourneaux,1
eaues,1
luqueaux,1
imob,1
zc,1
rendoit,1
fpagne,1
prouifeur,1
ledouble,1
bouflole,1
accroiflemét,1
ayían,1
puifsa,1
ayfé,1
fciences,1
godfroy,1
permettoit,1
bho,1
vfagehumain,1
lefer,1
boureliers,1
rai,1
ràte,1
loire,1
chapon,1
fücét,1
raiſon,1
eftoyétincognuz,1
poge,1
ayàt,1
aufsiil,1
maiſons,1
difent,1
lacedemoniens,1
noyeurs,1
foixanteans,1
ar,1
_n,1
’,1
creu,1
eraii,1
touchécy,1
dontil,1
qt,1
jtabo,1
feroyent,1
douzepour,1
£,1
craignäs,1
debrasen,1
agreable,1
àlacadene,1
demou,1
legrand,1
velpafian,1
vneinfinité,1
mailtres,1
auſi,1
ons,1
ciennes,1
celfe,1
ucrgnc,1
noircift,1
regiftre,1
ineſtimable,1
gouuerner,1
onneverroit,1
mans,1
defpence,1
ilauoitle,1
meilleureterre,1
lc,1
quelq,1
mófieur,1
tra,1
ac,1
bruflerent,1
fuflent,1
poizon,1
catdie,1
toucheray,1
solidus,1
hauf,1
quid,1
ger,1
age,1
den,1
nouembre,1
hauffa,1
fubfide,1
xx,1
cauf,1
raifons,1
loing,1
cétans,1
ourtefte,1
tédre,1
fuyui,1
tibere,1
defendét,1
plei,1
.&,1
cen,1
anciéne,1
héry,1
aualla,1
auis,1
ciquiefme,1
fir,1
fouuét,1
faumons,1
refte,1
tenat,1
ofaatenter,1
quafitout,1
pre,1
acorde,1
maleitroit,1
medins,1
eftát,1
letemps,1
aperceuft,1
dante,1
uaree,1
faifant,1
miltrois,1
fuffent,1
quaft,1
ouuerte,1
p,1
demye,1
ral,1
ioüeurs,1
cetéps,1
mouuoir,1
cha,1
prifee,1
cometefmoigne,1
uantaux,1
douzain,1
feigneur,1
deleftran,1
foubs,1
ioitaufsi,1
ſecond,1
quifutautéps,1
letrouuera,1
trouuera,1
faufle,1
cix,1
confequence,1
relle,1
pyrenees,1
nebail,1
cequei,1
veu,1
butinerét,1
lranger,1
eordonance,1
ameinele,1
traint,1
für,1
fonnieren,1
laiſſant,1
trion,1
ceres,1
donques,1
calamitez,1
iufte,1
aufsitrouuos,1
viures,1
caratz,1
cheptoyent,1
foit,1
pefant,1
couftaux,1
tofcane,1
permife,1
gneurie,1
bla,1
poulle,1
renaiftre,1
nefçaurions,1
diuersaloy,1
fannia,1
mónoyeurs,1
quichangela,1
debuons,1
adonnoit,1
tcs,1
brefl,1
ponát,1
uentl,1
neat,1
foye,1
fçait,1
hirrius,1
haufse,1
uenuz,1
onle,1
pof,1
iointaufsique,1
chois,1
aporterent,1
latroifiefme,1
mel,1
gageureapres,1
eftén,1
réprouucr,1
ouir,1
efpai,1
confume,1
cftre,1
pauurehomme,1
defpencetant,1
toutle,1
rité,1
foixäate,1
len,1
neleregette,1
prefquetoutela,1
nät,1
ciuiles,1
conin,1
entremange,1
yoyos,1
terreftre,1
raporte,1
laiffe,1
bone,1
vnegrace,1
iours,1
foyenteícuz,1
infolences,1
feneftre,1
moftros,1
ruinees,1
demonftrátion,1
royne,1
triumphe,1
doc,1
fauchet,1
penitéce,1
monftre,1
empefcher,1
chacü,1
poindts,1
pauurcindigent,1
feptannecs,1
rogéle,1
gouuerneà,1
enuiron,1
reftent,1
letonycuyure,1
chofes,1
emportoyent,1
onqs,1
argumentauqu,1
deruiffeaux,1
àtousles,1
fçauons,1
donaà,1
craffus,1
facevne,1
mettray,1
decadéce,1
chaffeaux,1
patiece,1
veftemens,1
bailloit,1
commeie,1
leuant,1
protoge,1
petitz,1
auroitbien,1
iuré,1
tirerles,1
frácoifes,1
ine,1
ent,1
ve,1
aufsibien,1
denozbiens,1
reunies,1
neufuiefme,1
anciénes,1
artifan,1
helio,1
pieto,1
parangonné,1
haufsé,1
mefme,1
neufues,1
aifance,1
ceftecharité,1
elt,1
teímoignent,1
confiderable,1
fra,1
agreables,1
lefoufre,1
romméles,1
uotion,1
croiffent,1
euefque,1
fortent,1
pourſuite,1
eglize,1
locondalle,1
cetouchoit,1
eftvn,1
europe,1
comm,1
ir,1
icfté,1
fétoit,1
quehuit,1
vui,1
detoute,1
detou,1
fetrouua,1
fráce,1
touslesans,1
deburoit,1
enuironnez,1
nouucaux,1
lille,1
plufieurs,1
rofet,1
-———,1
foyent,1
emportee,1
rouuer,1
cícuz,1
euffent,1
afriandez,1
vinten,1
feruiable,1
vn,1
lycurgueapres,1
afoixanteans,1
voluptez,1
croyans,1
moqueauiourd,1
arriere,1
milrais,1
bos,1
apelle,1
ccccc,1
premiere,1
payaqu,1
exeple,1
prefta,1
ocea,1
caftille,1
nto,1
prins,1
av,1
puiffent,1
quieftvne,1
moyéa,1
œufs,1
regi,1
quelereal,1
voy,1
gou,1
plusoutre,1
necefsitéforcoit,1
viure,1
defaillant,1
xaintonge,1
pauure,1
cotracts,1
-—,1
huitiefme,1
eftudiet,1
valoitfoixante,1
trouucra,1
rice,1
proye,1
nefçauroyent,1
decoupe,1
confifqué,1
cequi,1
aduientil,1
nis,1
gift,1
foif,1
loyent,1
marchantachepta,1
annees,1
netrouueroit,1
intereft,1
email,1
eíclaues,1
chafler,1
s,1
endant,1
male,1
onatrop,1
chreftiens,1
noftremônoye,1
arfe,1
auuergnaz,1
epic,1
ji,1
grafle,1
faireiuftice,1
xxv,1
oftansl,1
veri,1
dutraite,1
pafsé,1
relles,1
vray,1
danrecs,1
ſolde,1
monſieur,1
fette,1
uát,1
marcs,1
normandie,1
auxloix,1
meftier,1
liétz,1
lgaire,1
luculle,1
galte,1
fanfues,1
piedou,1
diminuerny,1
armee,1
debanquerou,1
otho,1
ſeigneur,1
füyui,1
eftomac,1
lavilleferoit,1
figrans,1
femondre,1
faceferuir,1
feure,1
vaif,1
ap,1
reglee,1
ftalie,1
neferoit,1
fale,1
euct,1
feptief,1
xi,1
gre,1
faithorsle,1
genes,1
puifables,1
iauneleiour,1
firaau,1
lereuenu,1
vidoire,1
cít,1
rb,1
gaing,1
prefqueautres,1
eftroittement,1
mecaniques,1
taxces,1
porteteímoignageen,1
beure,1
eftran,1
seit,1
ripuaires,1
côtrairelebon,1
marchädifes,1
meil,1
vaudroit,1
res,1
aliance,1
comeinfettes,1
prefqueles,1
cofté,1
tefto,1
loüent,1
connins,1
qi,1
quifoitau,1
afiquetz,1
maintenacen,1
payoit,1
auoyét,1
feulemét,1
turcau,1
tienent,1
brieuemét,1
prui,1
milcinq,1
oc,1
efturgcon,1
flandres,1
eftimeecinquante,1
iefme,1
noftreroy,1
réuoya,1
orleäs,1
prouen,1
folde,1
extreme,1
fuy,1
ebahir,1
abominatio,1
caufec,1
heureuſement,1
employafsét,1
cautionerent,1
bourbônois,1
oulon,1
meímemét,1
entreautresil,1
aporte,1
mono,1
quàáteans,1
bouríe,1
totiche,1
murene,1
voudroyét,1
cea,1
trafiq,1
damas,1
plusfoigneufemét,1
àcinq,1
scatophages,1
arg,1
alexandreluy,1
gráds,1
pter,1
may,1
muniquer,1
dechiquetu,1
etrouua,1
cayre,1
denouueaux,1
rodon,1
arroufe,1
commerecite,1
pere,1
courtizan,1
feigneuren,1
valét,1
croiftreny,1
arr,1
agde,1
come,1
mefprifa,1
deshonneur,1
nn,1
fluitez,1
censans,1
lourdaut,1
barbariciufqs,1
ec,1
ria,1
queleieu,1
auroyétbon,1
m,1
liege,1
quareíme,1
rant,1
vefpafian,1
aprocheentien,1
dixhuitgrains,1
noyea,1
monnoyeurs,1
defailloit,1
sici,1
parthes,1
cinquantebillon,1
tenàt,1
loix,1
aduocat,1
ca,1
ofteroyent,1
pezét,1
vfuriers,1
clle,1
trebufchans,1
cinqua,1
prénons,1
difcouru,1
peupleredóde,1
letitre,1
cognu,1
venduz,1
bafto,1
desexces,1
monítré,1
eftéla,1
eftrangers,1
giftres,1
erain,1
fubieët,1
conterond,1
frian,1
chartiers,1
lefeftier,1
herodote,1
orrofion,1
deloire,1
po,1
cheren,1
haufloit,1
troifiefme,1
deferte,1
choſe,1
gnez,1
cagéles,1
auiourdhuy,1
lam,1
rans,1
nauires,1
defes,1
borbonnois,1
árget,1
couftaffent,1
rhin,1
chäcelier,1
cin,1
aniou,1
cequela,1
râce,1
fo,1
--,1
papiria,1
ziefme,1
delabeur,1
bt,1
cóful,1
baille,1
fipeu,1
foy,1
anciéneté,1
urplus,1
feul,1
enuoyer,1
donance,1
teen,1
g,1
desar,1
aduenir,1
rendreautant,1
deueroiteftre,1
charté,1
