token_,count
moyens naturels,5
corps celestes,4
telles choses,4
malins esprits,3
lumieres celestes,3
inclination naturelle,3
causes naturelles,3
choses occultes,2
creation monde,2
mondes infinis,2
quarate neuf,2
bien toit,2
toute puissance,2
sans moyen,2
dieu parle,2
vfant puiffance,2
influences celestes,2
monde elementaire,2
quife cognoift,2
louër dieu,2
difpofition naturelle,2
naturelle corps,2
fin religions,2
lacreation monde,2
oeuvres dieu,2
choses naturelles,2
elt dire,2
lesfonges dr,1
dr premier,1
heureux sorciers,1
meinent vie,1
vie déteftable,1
enuoyez dés,1
dés malins,1
arrn naturelle,1
naturelle anticipa,1
tion deschoses,1
deschoses venir,1
neantmoins occultes,1
occultes parla,1
parla cognoil,1
fance causes,1
causes enchefnees,1
dieulesa ordonnees,1
ordonnees creation,1
pofé definition,1
ment certain,1
certain quelle,1
quelle divination,1
divination eftlicite,1
uination illicite,1
donee sorcier,1
dieu premiere,1
premiere cause,1
cause eternelle,1
dependent choses,1
combien queplatonayt,1
queplatonayt pofé,1
pofé principes,1
principes monde,1
queau ti,1
ptimaad die,1
met dieu,1
dieu dessus,1
hors fuite,1
fuite nen,1
ordre causes,1
parcillementa demon,1
sn ftré,1
fete miere,1
miere cauíe,1
impieté manicheans,1
voulu fouftenir,1
yn createur,1
createur móde,1
móde clemétaire,1
toy bey,1
you pay,1
pay premier,1
dieu toufiours,1
toufiours fucceffion,1
fucceffion creé,1
creé mondes,1
quandilluy pleuillesa,1
pleuillesa ruinez,1
àfçauoir monde,1
monde elemétaire,1
elemétaire fept,1
fept enfept,1
enfept milans,1
mode celefte,1
celefte quarate,1
neuf quarate,1
neuf milans,1
vniflant esprits,1
esprits bié,1
heureux foy,1
laiffant repoler,1
repoler matiere,1
matiere cofufe,1
cofufe sans,1
sans forme,1
renouuclant puiflancé,1
puiflancé cho,1
premier eltar,1
raporterentle repos,1
repos laterrelesepriemean,1
apresle quarante,1
neufiemele iubilé,1
cause difent,1
mention creation,1
creation anges,1
anges creation,1
creation dece,1
dece monde,1
eftoient demeurez,1
demeurez immortels,1
immortels corruption,1
prince mirandea,1
mirandea tenu,1
tenu certain,1
certain pofitions,1
pofitions cabale,1
oyla hebrieux,1
fecrette philofophie,1
philofophie tiennent,1
pasreceué quelques,1
quelques theologiens,1
enter partrop,1
partrop auantaux,1
auantaux fecrets,1
fecrets profonds,1
profonds dieu,1
ocquêt spiridion,1
quesau concile,1
concile nicene,1
disans quec,1
fort eftrange,1
dieu milliers,1
voire cternicéinfinie,1
cfuftaduifé troisou,1
troisou faire,1
faire monde,1
doit perir,1
perir bien,1
opinion rabi,1
rabi eliezerauroit,1
eliezerauroit apparéce,1
dieu afaictlescieux,1
afaictlescieux delalumiere,1
delalumiere veftemenit,1
fuyuant dite,1
rabr iuda,1
loft brens,1
oi ilfuppofcla,1
ilfuppofcla matiere,1
matiere confuse,1
methods bodins,1
bodins cap,1
tn td,1
td ti,1
ti uu,1
placitis hippo,1
eratis eo,1
eo pla,1
sorciers creation,1
denouucau foubs,1
foubs soleil,1
coutesfois auroit,1
auroit mondes,1
infinis fucceffion,1
quela premiere,1
premiere matiere,1
matiere creée,1
creée dieu,1
nier sans,1
sans impicté,1
eternité matiere,1
cause efhciente,1
efhciente ausl,1
ausl coft,1
plufeurs abfurditez,1
abfurditez ineuitables,1
aristote impoflible,1
incompatible nature,1
vhe cause,1
cause premiere,1
premiere ila,1
ila demonstré,1
aussiles hebrieux,1
yn commun,1
commun consentement,1
mesmesles epicuriés,1
dieu creé,1
creé matiere,1
lemot xa,1
xa lignifie,1
efta dire,1
dire creer,1
escripture euft,1
homme limon,1
limon delaterre,1
pris matiere,1
ilauoit ja,1
ja preparec,1
gnifie aufft,1
aufft fecret,1
fecret haut,1
eítà fçauoir,1
rabin paul,1
paul riccius,1
ilbiéà noter,1
noter mors,1
nefignifie feule,1
defa propre,1
propre fignifica,1
euft pasadrefle,1
pasadrefle parole,1
parole lacreature,1
premiere creation,1
creation choses,1
dieu diftribué,1
diftribué anges,1
parle moyen,1
moyen desquels,1
desquels renouuelle,1
entretient creatures,1
dieu eftla,1
eftla cause,1
cause efficiente,1
matiere monde,1
ilfoitla forme,1
forme ciel,1
eftluy ui,1
ui donne,1
sansluy fubfifter,1
entends gene,1
ralement toute,1
toute vertu,1
dieu donne,1
donne crearures,1
aufh bien,1
bien esprits,1
esprits bons,1
pellent anges,1
void cieux,1
celestes mouuoir,1
celà parle,1
parle miniftere,1
miniftere anges,1
appelle ange,1
ange proprement,1
mesmes aristote,1
cinquante cieux,1
anges ouintelligences,1
dieu puiffe,1
puiffe vouloir,1
conduire choses,1
feant maiefté,1
maiefté divine,1
vfer creatures,1
pourquoy lift,1
escripture dicu,1
affemblee anges,1
esprits trouvencaussi,1
dic michee,1
michee prophete,1
roys deiuda,1
parle sathan,1
aflemblee anges,1
cequetous hebrieux,1
terpretent miniftere,1
miniftere creatures,1
defquelles fert,1
fert routes,1
routes choses,1
auos dessus,1
meilne parleaux,1
parleaux hommes,1
hommes anges,1
faictil rienau,1
rienau choses,1
choses corporelles,1
parles corps,1
puiffance ordinaire,1
ment vfant,1
puiffance extraordinaire,1
lez moftré,1
moftré villon,1
villon zacharie,1
fept lumieres,1
lumieres ij,1
cm fententus,1
lure con,1
craint dieu,1
dieu paffera,1
od certain,1
tend ciel,1
meíme moyenphilon,1
moyenphilon hebrieu,1
hebrieu interpretant,1
interpretant alle,1
gories bible,1
ange cherubin,1
cherubin deuant,1
deuant paradis,1
glaiuc flam,1
ildiét quec,1
eftlecicl lamboyant,1
plein lumieres,1
lumieres ecleftes,1
pat force,1
influence dcfquclles,1
dcfquclles dicu,1
dicu entretient,1
entretient monde,1
monde materiel,1
matiere empefche,1
homme brutal,1
adonné voluprez,1
voluprez terreftres,1
efleuer lá,1
lá cotemplation,1
cotemplation oeuvres,1
merüeilles dieu,1
ainsfont enfeuclis,1
enfeuclis corps,1
defquels parle,1
ícriptureau pfalm,1
sicut vulnerati,1
vulnerati dormientes,1
dormientes fepulch,1
fepulch ris,1
ris quorum,1
quorum erm,1
erm mor,1
mor amplius,1
cx ipfi,1
ipfi manu,1
manu tua,1
tua repulfi,1
lequel pat,1
lage trauaille,1
trauaille plusieurs,1
aüx alle,1
gories hebraïques,1
interprete caldeantourrie,1
sicufoccifr gladio,1
gladio dormientes,1
dormientes fepulchris,1
quor ini,1
ini recordaberis,1
recordaberis amplius,1
amplius ipft,1
ipft quidem,1
quidem facie,1
facie dininituris,1
dininituris tua,1
tua feparati,1
feparati funt,1
yl entéd,1
entéd parle,1
parle glaiuele,1
glaiuele ciel,1
inflüco naturelle,1
naturelle füiuént,1
füiuént lecours,1
lecours naturel,1
vie brutale,1
brutale beftes,1
pourquoy auffr,1
auffr quedieu,1
quedieu diuifales,1
diuifales eaux,1
eaux foubs,1
foubs firmament,1
influences eeleftes,1
dascaux favceleftés,1
fontles nzes,1
monde intellivible,1
intellivible nousaucs,1
nousaucs encores,1
encores teímoienage,1
teímoienage dieu,1
dieu precis,1
precis puissance,1
ila dénnéauxaîtres,1
ilparle tob,1
defioindre cítoilles,1
cítoilles grad,1
produirastu yades,1
pourras gouuernerles,1
gouuernerles eftoilles,1
ila remarqué,1
remarqué lesaltres,1
lesaltres detoutleciel,1
monftrent puifance,1
puifance plusgrande,1
plusgrande monde,1
cognoift faifons,1
faifons ordinaires,1
dieu general,1
general àlob,1
sçais bien,1
bien loix,1
loix ciel,1
cetoy donne,1
donne lapuiffance,1
lapuiffance cicl,1
afur terre,1
quifonttous paflages,1
monftrentla gran,1
dieu donné,1
donné corps,1
celestes monde,1
aussiapresla creation,1
creation fl,1
beaux ccleftes,1
feroient lignes,1
lignes téps,1
fignifie feu,1
lement conter,1
conter iours,1
vertu figrande,1
fiadmirable corps,1
celestes diminué,1
pluftoft icelle,1
icelle puissance,1
puissance dieu,1
dieu rehauffee,1
releuee merueil,1
finous loüons,1
loüons dieu,1
dieu voyant,1
voyant vertu,1
combien oran,1
deoccafton louër,1
voyantla gra,1
ment terrible,1
terrible corps,1
pourquoy plalmifte,1
plalmifte ayatloüé,1
ayatloüé dieu,1
dieu choses,1
choses icy,1
icy bas,1
vient remarquer,1
remarquer puissance,1
puissance ftres,1
cit raui,1
raui hors,1
hors foy,1
cícriant dir,1
ct contemple,1
contemple courage,1
doigts haut,1
haut ouhrage,1
ev assis,1
assis rancs,1
vd doncie,1
doncie dy,1
dy apart,1
dire vray,1
ciel trefbeau,1
trefbeau theatre,1
theatre louange,1
louange dedieu,1
cognoift lesefteéts,1
lesefteéts lumierescelestes,1
raui louër,1
eftonnent voir,1
pleinflot mer,1
lune pleine,1
pleine nouuclle,1
quartiers flot,1
flot bas,1
iourle flot,1
flot retarde,1
meíme regio,1
mefine climat,1
diners ports,1
ports temps,1
temps flot,1
for diuers,1
pefcheurs voyent,1
voyent for,1
coquilles vuydes,1
brief lesanimaux,1
tousles elemens,1
fentent merucilleux,1
merucilleux changement,1
changement fang,1
pleine lune,1
lune char,1
pentiers necouperoient,1
necouperoient vnatbrepour,1
vnatbrepour baftir,1
declin lune,1
autrementle bois,1
bois eftinuti,1
leà baftir,1
temps enter,1
couurirles racines,1
racines plantes,1
vanner grains,1
legumes declin,1
declin delalune,1
infinies obferuations,1
marquees lesanciens,1
voir pline,1
medecins cofeflent,1
cofeflent iours,1
iours critiques,1
critiques fieures,1
maladies regis,1
regis lune,1
mesmes galen,1
galen plusieurs,1
horofcope malade,1
tion quartier,1
quartier lune,1
lune soleil,1
soleil donne,1
donne changement,1
changement notable,1
notable malades,1
oppofition quartier,1
quartier lieu,1
void fou,1
uétes peftes,1
maladies populaires,1
populaires cha,1
esmsigr cie,1
cun quartier,1
quartier moment,1
moment iltombevn,1
iltombevn nombre,1
finy mort,1
mort foudaine,1
galen iugeoit,1
rience ilauoit,1
ilauoit appris,1
appris obferuacions,1
obferuacions anciens,1
ilne fçauoit,1
fçauoit seulement,1
seulement vray,1
vray mou,1
mou dedibw,1
dedibw yement,1
yement lalune,1
eyppocrates eüft,1
eüft bien,1
bien efté,1
efté eftonné,1
euft entendu,1
entendu hb,1
