token_,count
dieu permet,2
bruflee toute,2
toute viue,2
procés vnesorciere,2
quelques parolles,2
faire mourir,2
quelques poudres,2
cas pareil,2
difons files,1
files sorciers,1
sorciers puissance,1
enuoyer maladies,1
amc sorciers,1
sorciers pevvent,1
noyer lesmaladies,1
tuer hommes,1
ous philofophes,1
mons grande,1
grande puissance,1
uns plusmen,1
teurs lesautres,1
uns mefchanss,1
generalement anciens,1
anciens tenu,1
maxime quelesdemonsterreftres,1
plis menteurs,1
interp rete,1
rete grec,1
grec desynefiusin,1
desynefiusin libro,1
mriorioidy aoi,1
aoi ped,1
ped ài,1
quoi peo,1
peo sopra,1
sopra lie,1
lie um,1
um ob,1
ob oie,1
oie don,1
don oéyres,1
oéyres rares,1
caldeans tiennent,1
mons terteftres,1
menteurs poureftreplus,1
poureftreplus efloignezde,1
efloignezde cognoilfan,1
mw cedeschosesdivines,1
maisnousavons dir,1
dir dessus,1
dessus kw,1
kw quetous,1
quetous demonsfont,1
demonsfont malins,1
ennemys genre,1
genre humain,1
puissance dieu,1
ej ner,1
ha sorciers,1
sorciers ram,1
fontes durare,1
durare montes,1
montes diluere,1
yderda extinct,1
tartarum ip,1
um illuminare,1
peuapres parlant,1
parlant ennemis,1
ennemis quila,1
quila vouloient,1
fepulchralibus deuotio,1
crobem brocuratis,1
uis domibus,1
domibus tanta,1
lauflra per,1
parietes ipf,1
ipf potuerint,1
potuerint erarent,1
ei manus,1
manus admolituros,1
ata totam,1
totam ciuitatem,1
ciuitatem ab,1
bien vray,1
lictfainct augüftinaulivre,1
augüftinaulivre disinatione,1
pot flatem,1
flatem morbos,1
morbos immittere,1
acrem vitian,1
autneur meníonge,1
meníonge auf,1
auf crouue,1
mis ja,1
ja vengeance,1
certaines personnes,1
personnes feule,1
donne permission,1
nousenauôs millig,1
exéples enlas,1
experiéceà route,1
route heure,1
dieu mylicu,1
mylicu defes,1
defes anges,1
entrelefquels ferrouua,1
ferrouua sathä,1
comeexecureur haute,1
haute iuftice,1
home plusentier,1
craignant dieu,1
dieu iob,1
alors sachan,1
veu às,1
às pris,1
pris protection,1
enuironé hautes,1
hautes murail,1
impofsible toucher,1
auois laiflé,1
laiflé soir,1
soir peu,1
bien coft,1
coft blafphemeroit,1
lors dieu,1
dieu permit,1
permit sathà,1
sathà ca,1
vfer puillancesur,1
puillancesur appartenoit,1
appartenoit iob,1
envnmo met,1
met sathan,1
sathan ruina,1
ruina cout,1
cout poinét,1
peu peu,1
oftant entieremét,1
entieremét bien,1
ilfuftle riche,1
riche homme,1
faisant ruiner,1
acableren infant,1
laiffa quefa,1
quefa femme,1
capital enneniy,1
pourie tourmenter,1
moquer uyæet,1
uyæet neant,1
fuis venu,1
venu nud,1
neray nud,1
donné biens,1
lesà rc,1
dieu foitloué,1
foitloué dutour,1
sathan defpit,1
ftance ferme,1
arrefté propos,1
propos delouer,1
delouer dieu,1
dieu relle,1
relle afiction,1
vade rechef,1
rechef lecalomnier,1
lecalomnier deuänt,1
deuänt dieu,1
donne rache,1
pter vie,1
afbigeoiren foncorps,1
blafphemeroir bien,1
bien to,1
alors diculuy,1
diculuy permit,1
permit vfer,1
vfer ij,1
cuirs puiffance,1
puiffance contrelob,1
afhiger iufques,1
iufques mortexclufiuemét,1
soudain sathan,1
