token_,count
officiers iuftice,2
mains iuftice,2
iugement dieu,2
res bod,1
bod troisies,1
für certaines,1
certaines personnes,1
commeiay notté,1
notté dessus,1
icien fuyui,1
fuyui diable,1
diable latrace,1
confessa franchement,1
franchement diable,1
diable jamais,1
jamais appris,1
gaigner cfcu,1
lementà véger,1
difons sorciers,1
sorciers peuvent,1
peuvent nuire,1
nuire personnesindifferemment,1
affez bien,1
bien efclarcy,1
sorciers pevvent,1
pevvent nuyre,1
esiis oroters,1
oroters aftres,1
anges celestes,1
celestes quis,1
armees princes,1
sen fauc,1
fauc princes,1
princes feruér,1
feruér sorciers,1
sorciers puiffent,1
puiffent vaincre,1
vaincre ennemis,1
ennemis anciens,1
anciens rema,1
rema maxime,1
maxime ak,1
ak doen,1
princes guerre,1
nice sor,1
era vaincu,1
his bai,1
bai quis,1
quis enquierr,1
enquierr dia,1
ble def,1
fuccefleurs ÿ,1
ÿ perira,1
perira mifera,1
blementauec lesfiens,1
dieu void,1
etnef dire,1
dire traducteur,1
traducteur dur,1
dur premier,1
premier pfalme,1
oinz cure,1
cure mal,1
mal vinans,1
cmble ci,1
ci uircainft,1
pourautant malins,1
aqu tiendront,1
tiendront ean,1
ean yino,1
yino idi,1
bles dro,1
quelle traduction,1
traduction conforme,1
conforme pfalme,1
pfalme tren,1
dieu ient,1
far faicis,1
faicis fin,1
fin dn,1
dn imais,1
imais nom,1
nom avrá,1
avrá iché,1
len pourrois,1
pourrois mettre,1
mettre mille,1
mille cxempl,1
cxempl cs,1
contenteray outrois,1
pompeele grad,1
grad inpire,1
inpire romains,1
gra nds,1
nds princes,1
roys deuotion,1
tréte cgions,1
cgions out,1
out ousix,1
illuy donnala,1
donnala bataille,1
bataille lors,1
reduitàtelle extreniiré,1
armee mouroit,1
mouroit faim,1
faim ja,1
ja mer,1
villes closes,1
closes contre,1
neantmoins pompecfe,1
pompecfe livaettroisiesme,1
livaettroisiesme voulut,1
voulut encores,1
encores aydérdessorciers,1
addrefla erichtho,1
erichtho arcadienne,1
grande sorciere,1
sorciere aage,1
voiren lucan,1
iffue miferable,1
quiluy aduinttoft,1
ayanttoute vic,1
vic efté,1
orieux europe,1
plusencores toute,1
toute mer,1
mer mediterránec,1
ariouifte general,1
armee tudef,1
eltoit moindre,1
moindre hommes,1
prenant confeil,1
confeil sorcieres,1
temps pays,1
là enácfté,1
enácfté rempli,1
ruiné detout,1
detout poin,1
mocquoit dessorcieres,1
iclaiffe neron,1
tres onc,1
onc miferablefin,1
miferablefin mesmes,1
mesmes cau,1
máisic puislaifler,1
puislaifler grad,1
grad prince,1
prince noftre,1
noftre fic,1
cle lequel,1
lequel voulu,1
voulu voir,1
voir armees,1
armees defesenne,1
mys moyensillicites,1
iffue delabataille,1
sathanluy donma,1
donma oracleà,1
oracleà double,1
double fens,1
eftt arrefté,1
miferablement def,1
ietiensaussi bonlieu,1
bonlieu quad,1
quad petir,1
petir fils,1
fils malade,1
demanda lorsà,1
lorsà sorcier,1
falloitenuoyer querir,1
querir grands,1
grands maistres,1
maistres queluy,1
queluy allemai,1
pourícauoirce aduiendroit,1
entre diables,1
entre sorciers,1
habiles uns,1
uns lesautres,1
bientoft sorciers,1
sorciers vindrent,1
bonne efperance,1
