token_,count
loy dieu,12
premiere fois,4
presomptions violentes,3
directement contre,3
contre majefté,3
majefté dieu,3
renier dieu,3
mis mort,3
merite mort,3
faire mourir,3
quela peine,3
peine corporelle,3
enfant mort,3
enla loy,2
punition mefchans,2
diminuer nombre,2
nombre mefchans,2
ire dieu,2
crime sorciers,2
orla loy,2
nom dieu,2
vray dieu,2
ville laon,2
crime encores,2
palle encores,2
toute ancienneté,2
età propos,2
propos disoit,2
proceder àla,2
faire mou,2
force ouuerte,2
bien souvent,2
remarqué dessus,2
ilsfoyent punis,2
cas pareil,2
tenu peine,2
peine mort,2
peine cor,2
paul caftre,2
quelques lieux,2
doit proceder,2
doit puny,2
peines corporelles,2
muret pres,2
loy veut,2
carla loy,2
peine léfe,2
léfe majefté,2
peine capitale,2
haine capitale,2
crimes atroces,2
brûlé vif,2
preftre sorcier,2
auquel cas,2
peine feu,2
renié dieu,2
diminution peine,2
homme delettres,2
puny sansl,2
ris imprimé,1
imprimé rome,1
tecepte faire,1
faire formaige,1
formaige nó,1
nó delasorciere,1
queie mettray,1
tefmoing sans,1
sans reproche,1
euidence us,1
us ba,1
ba defait,1
defait permanent,1
aic plu,1
beri fieurs,1
fieurs presomptions,1
eflre reputé,1
reputé nma,1
nma br,1
tenupoursorcierpartousles voifins,1
efte faifi,1
faifi crapaux,1
crapaux nourris,1
nourris pots,1
ouautre lieu,1
livré qvatriesm,1
énayt vo,1
vo puny,1
puny parles,1
ordinairément void,1
void beliftres,1
beliftres condemrnez,1
quiont aniis,1
efchappent foóuuent,1
foóuuent main,1
main hia,1
hia és,1
vray elt,1
elt queleursamys,1
biens neles,1
neles earehti,1
ront débatidinrde,1
débatidinrde dieu,1
ecuxlà ba,1
ba fent,1
fent bien,1
bien tor,1
penfent peines,1
peines fónt,1
fónt eftablies,1
eftablies cháltier,1
cháltier forfaict,1
moindre fruiét,1
fruiét reüflit,1
reüflit publiqu,1
carle grad,1
principaleft appáiferl,1
rre dieu,1
nie gristneti,1
lé forfait,1
forfait directement,1
dieu ceftuy,1
void quandlepeüplede,1
quandlepeüplede dieufe,1
dieufe mefla,1
mefla moabites,1
attirercraux facrifices,1
facrifices bahal,1
phegor sorciers,1
sorciers information,1
peu defcouurir,1
defcouurir quiaurafaict,1
prennent vache,1
vache our,1
our facrifier,1
facrifier lieu,1
lieu oul,1
lauer mains,1
mains innocens,1
prier dieu,1
cfpande ire,1
ire peuple,1
effufion fang,1
lesecond frui,1
punition ob,1
tenir benediction,1
benediction dieu,1
urtout pais,1
razé àfeu,1
fang villed,1
enttemon peuple,1
entre freres,1
laiffédicu feruirauxidoles,1
vousaurez tué,1
tué touteame,1
drefferez comble,1
comble pierre,1
joye triomphe,1
dray grandes,1
grandes mifericordes,1
combleray mesfaueurs,1
