token_,count
contre majefté dieu,3
diminuer nombre mefchans,2
età propos disoit,2
peine léfe majefté,2
ris imprimé rome,1
tecepte faire formaige,1
faire formaige nó,1
formaige nó delasorciere,1
tefmoing sans reproche,1
euidence us ba,1
us ba defait,1
ba defait permanent,1
beri fieurs presomptions,1
fieurs presomptions violentes,1
eflre reputé nma,1
reputé nma br,1
efte faifi crapaux,1
faifi crapaux nourris,1
crapaux nourris pots,1
énayt vo puny,1
vo puny parles,1
ordinairément void beliftres,1
void beliftres condemrnez,1
efchappent foóuuent main,1
foóuuent main hia,1
main hia és,1
vray elt queleursamys,1
biens neles earehti,1
ront débatidinrde dieu,1
ecuxlà ba fent,1
ba fent bien,1
fent bien tor,1
penfent peines fónt,1
peines fónt eftablies,1
fónt eftablies cháltier,1
eftablies cháltier forfaict,1
moindre fruiét reüflit,1
fruiét reüflit publiqu,1
lé forfait directement,1
forfait directement contre,1
directement contre majefté,1
majefté dieu ceftuy,1
void quandlepeüplede dieufe,1
quandlepeüplede dieufe mefla,1
dieufe mefla moabites,1
attirercraux facrifices bahal,1
phegor sorciers information,1
peu defcouurir quiaurafaict,1
prennent vache our,1
vache our facrifier,1
our facrifier lieu,1
facrifier lieu oul,1
lauer mains innocens,1
cfpande ire peuple,1
tenir benediction dieu,1
enla loy dieu,1
vousaurez tué touteame,1
drefferez comble pierre,1
dray grandes mifericordes,1
reçoit punition mefchans,1
commeil loy dieu,1
tres veu punition,1
gaftez parles mefchans,1
cinquiefme ra frui,1
eftla feule raison,1
feule raison pourquoy,1
raison pourquoy lacouftume,1
pourquoy lacouftume bre,1
quon pende larrons,1
voylales mots couftume,1
mots couftume inepte,1
attendu forefts pays,1
lamort efttrop gricue,1
efttrop gricue pu,1
fuffit empefcher lar,1
ncantmoins couftume fondec,1
couftume fondec feul,1
lesixiefme cftà fin,1
cftà fin lesbons,1
fin lesbons puiflent,1
fepticfmcefruict punir mefchäceté,1
tay bien voulu,1
bien voulu toucher,1
voulu toucher biens,1
tilitez reüffiffent punition,1
reüffiffent punition mefchans,1
eltonnerles uns puni,1
feurerla vie bons,1
punirles mefchancetez deteftables,1
esprit humain imaginer,1
chaftier touterigueurles sorciers,1
bien quelemot rigueur,1
quelemot rigueur mal,1
rigueur mal pris,1
peine cruelle peuft,1
cruelle peuft fuffire,1
peuft fuffire punir,1
fuffire punir mcfchancetez,1
punir mcfchancetez sorciers,1
tousleurs deffeings dreflent,1
deffeings dreflent contre,1
dreflent contre majefté,1
offenfer parmille moyens,1
lesanciens fonttrou uez,1
fonttrou uez fort,1
uez fort empefchez,1
fort empefchez quelle,1
empefchez quelle peineils,1
quelle peineils feront,1
peineils feront mourir,1
feront mourir tué,1
mourir tué pere,1
