token_,count
,2473
dieu,65
choses,22
premier,17
faire,17
celestes,16
naturelles,16
dire,15
monde,14
nature,14
lune,14
bien,12
corps,12
matiere,11
naturelle,10
causes,10
sans,10
parle,10
esprits,9
cause,9
anges,9
chose,9
hommes,9
hebrieux,8
ciel,8
puissance,8
pourquoy,8
force,8
plantes,8
fin,8
sorciers,7
plusieurs,7
contre,7
homme,7
encores,7
toute,7
fignifie,7
herbe,7
temps,7
telles,7
moyens,6
naturels,6
neantmoins,6
creation,6
certain,6
combien,6
soleil,6
galen,6
donne,6
puiffance,6
nes,6
anciens,6
predictions,6
occultes,5
ment,5
neceffité,5
impieté,5
toufiours,5
opinion,5
moyen,5
ila,5
escripture,5
mot,5
feu,5
lumieres,5
celà,5
autant,5
dicu,5
oeuvres,5
fang,5
quoy,5
nez,5
venir,4
premiere,4
principes,4
aristote,4
foubs,4
creatures,4
vertu,4
void,4
appelle,4
parles,4
vfant,4
lequel,4
remarqué,4
clarté,4
louange,4
pays,4
pline,4
maladies,4
horofcope,4
mal,4
cas,4
inclination,4
cela,4
roy,4
cours,4
pluye,4
pierres,4
loy,4
humaines,4
vie,3
malins,3
tion,3
parla,3
dependent,3
ti,3
met,3
voulu,3
mauuais,3
ca,3
fept,3
milans,3
foy,3
cho,3
difent,3
prince,3
fecrets,3
concile,3
fort,3
cap,3
eo,3
quela,3
euft,3
fçauoir,3
dy,3
ange,3
cieux,3
mesmes,3
ordinaire,3
vertus,3
influences,3
bible,3
deuant,3
tua,3
entéd,3
naturel,3
eaux,3
cognoift,3
terre,3
donné,3
icelle,3
voyant,3
laforce,3
flot,3
humeurs,3
declin,3
medecins,3
quartier,3
mort,3
seulement,3
entendu,3
experience,3
saturne,3
eftant,3
alors,3
là,3
court,3
difpofition,3
hu,3
ignorance,3
outre,3
bles,3
predi,3
prediction,3
maistre,3
souvent,3
langue,3
politique,3
aucune,3
peuples,3
illicites,3
chapitre,3
rouge,3
vens,3
beau,3
certaines,3
elt,3
jamais,3
entre,3
foient,3
feul,3
magie,3
arien,3
caracteres,3
pofition,3
pan,3
mm,3
plufteurs,3
mocque,3
eau,3
maistres,3
metopofcopie,3
deuins,3
heureux,2
cha,2
deschoses,2
pofé,2
definition,2
quelle,2
illicite,2
sorcier,2
theologiens,2
die,2
dessus,2
hors,2
ordre,2
us,2
bo,2
yn,2
fucceffion,2
creé,2
mondes,2
infinis,2
quarate,2
neuf,2
bié,2
forme,2
beauté,2
repos,2
dece,2
tenu,2
cabale,2
tiennent,2
quelques,2
parce,2
enter,2
quec,2
voire,2
toit,2
dite,2
oo,2
loft,2
fert,2
tn,2
uu,2
autrement,2
ray,2
ilauoit,2
ja,2
haut,2
paul,2
unt,2
vouloir,2
entretient,2
lafor,2
creature,2
ap,2
miniftere,2
ques,2
cinquante,2
puiffe,2
divine,2
aflemblee,2
roys,2
sathan,2
ij,2
con,2
craint,2
meíme,2
hebrieu,2
alle,2
gories,2
plein,2
pat,2
dormientes,2
amplius,2
lage,2
quád,2
pourras,2
elementaire,2
quife,2
cou,2
iceux,2
loix,2
cicl,2
beaux,2
iours,2
pluftoft,2
pierre,2
louër,2
gra,2
deur,2
bas,2
vient,2
cit,2
raui,2
ct,2
ev,2
vray,2
dedieu,2
voir,2
mer,2
pleine,2
for,2
tousles,2
changement,2
baftir,2
delalune,2
lesanciens,2
notable,2
populaires,2
cie,2
cun,2
foudaine,2
apert,2
efté,2
effets,2
desautres,2
regard,2
viure,2
arabes,2
appelloient,2
meurs,2
quien,2
disoit,2
aftrologues,2
dignitez,2
moins,2
religion,2
ame,2
mineraux,2
ad,2
enquerir,2
deuin,2
faulfement,2
fera,2
biens,2
efperance,2
personne,2
escript,2
queie,2
dragon,2
oncques,2
attendu,2
chef,2
religions,2
anw,2
pareil,2
ges,2
cens,2
lacreation,2
libre,2
formel,2
noftre,2
caril,2
parainsi,2
iuppiter,2
iufte,2
ren,2
ferons,2
republiques,2
monstré,2
perience,2
iugemét,2
voyos,2
experiences,2
fie,2
esprit,2
region,2
pluyes,2
claire,2
celle,2
eftat,2
pura,2
parler,2
prediétios,2
veoir,2
tou,2
affeu,2
rer,2
main,2
metaux,2
res,2
futures,2
animaux,2
viennent,2
retire,2
femble,2
diét,2
eftpourquoy,2
vfage,2
honneur,2
mieux,2
cecy,2
grecs,2
ver,2
malum,2
quod,2
nefont,2
adoroient,2
nulla,2
effe,2
donc,2
entendre,2
diaboliques,2
mesmeautheur,2
fouftient,2
barbares,2
enlax,2
mots,2
dæmons,2
grands,2
appellent,2
delaloy,2
attirer,2
forces,2
feroit,2
va,2
hi,2
vanitez,2
croire,2
aage,2
ennemis,2
faifoit,2
iugement,2
recite,2
maisil,2
femblable,2
onles,2
indubitable,2
confeil,2
predifent,2
infaillible,2
vifage,2
craincte,2
contraire,2
tiens,2
socrate,2
porte,2
quia,2
defiance,2
afrique,2
oud,1
mefchant,1
exterminer,1
lesfonges,1
dr,1
atheiftes,1
meinent,1
déteftable,1
enuoyez,1
dés,1
dirons,1
arrn,1
anticipa,1
paffeés,1
prefen,1
cognoil,1
fance,1
enchefnees,1
dependentes,1
dieulesa,1
ordonnees,1
faireiuge,1
divination,1
eftlicite,1
uination,1
diabolique,1
fuyuantlester,1
donee,1
philofophes,1
accord,1
eternelle,1
queplatonayt,1
ça,1
uoir,1
laforme,1
fieft,1
queau,1
mee,1
theetete,1
autreslieux,1
eqiitala,1
ptimaad,1
fuite,1
nen,1
parcillementa,1
demon,1
sn,1
ftré,1
vndicu,1
fete,1
miere,1
cauíe,1
ofterl,1
manicheans,1
fouftenir,1
createur,1
móde,1
clemétaire,1
toy,1
bey,1
you,1
pay,1
commeorigene,1
quandilluy,1
pleuillesa,1
ruinez,1
àfçauoir,1
elemétaire,1
enfept,1
mode,1
celefte,1
vniflant,1
laiffant,1
repoler,1
cofufe,1
renouuclant,1
puiflancé,1
eltar,1
raporterentle,1
laterrelesepriemean,1
apresle,1
quarante,1
neufiemele,1
iubilé,1
iln,1
mention,1
monftrer,1
eftoient,1
demeurez,1
immortels,1
corruption,1
precedens,1
mirandea,1
pofitions,1
oyla,1
fecrette,1
philofophie,1
origene,1
cl,1
pasreceué,1
ilfemble,1
partrop,1
auantaux,1
profonds,1
feft,1
tranche,1
ocquêt,1
spiridion,1
eucf,1
quesau,1
nicene,1
disans,1
eftrange,1
milliers,1
annees,1
cternicéinfinie,1
cfuftaduifé,1
troisou,1
doit,1
perir,1
rabi,1
eliezerauroit,1
apparéce,1
afaictlescieux,1
delalumiere,1
veftemenit,1
fuyuant,1
salo,1
rabr,1
iuda,1
brens,1
libres,1
libro,1
oi,1
ilfuppofcla,1
confuse,1
parauantla,1
methods,1
bodins,1
td,1
libr,1
placitis,1
hippo,1
eratis,1
pla,1
quandil,1
denouucau,1
coutesfois,1
auroit,1
prefumer,1
confesser,1
creée,1
nier,1
impicté,1
eternité,1
enenfuit,1
efhciente,1
ausl,1
coft,1
effet,1
plufeurs,1
abfurditez,1
ineuitables,1
marquecsenautrelieu,1
impoflible,1
incompatible,1
confessant,1
vhe,1
demonstré,1
aussiles,1
academiques,1
stoiques,1
reprouué,1
commun,1
consentement,1
plutarque,1
mesmesles,1
epicuriés,1
mocquez,1
arrefteronslà,1
lemot,1
xa,1
lignifie,1
efta,1
creer,1
nz,1
limon,1
delaterre,1
pris,1
preparec,1
gnifie,1
aufft,1
fecret,1
eítà,1
ameafai,1
intelle,1
rabin,1
riccius,1
ilbiéà,1
noter,1
mors,1
dixit,1
facla,1
sx,1
nefignifie,1
feule,1
ainsaussi,1
defa,1
propre,1
fignifica,1
tio,1
interpretétainsi,1
pasadrefle,1
parole,1
lacreature,1
pasen,1
cores,1
diftribué,1
desquels,1
renouuelle,1
eftla,1
efficiente,1
ilfoitla,1
eftluy,1
ui,1
sansluy,1
fubfifter,1
entends,1
gene,1
ralement,1
crearures,1
aufh,1
bons,1
lesvens,1
pellent,1
eícripture,1
mouuoir,1
proprement,1
theolo,1
giens,1
philofophesconfeffent,1
ouintelligences,1
conduire,1
feant,1
maiefté,1
vfer,1
lift,1
affemblee,1
trouvencaussi,1
dic,1
michee,1
prophete,1
deiuda,1
samarie,1
meileít,1
eniob,1
cequetous,1
terpretent,1
defquelles,1
routes,1
auos,1
meilne,1
parleaux,1
faictil,1
rienau,1
corporelles,1
leftes,1
immediate,1
extraordinaire,1
af,1
lez,1
moftré,1
villon,1
zacharie,1
pfal,1
ieb,1
heoloet,1
cm,1
fententus,1
lure,1
paffera,1
tsalomon,1
roue,1
od,1
tend,1
moyenphilon,1
interpretant,1
cherubin,1
paradis,1
rouë,1
glaiuc,1
flam,1
boyant,1
ildiét,1
eftlecicl,1
lamboyant,1
ecleftes,1
influence,1
dcfquclles,1
materiel,1
empefche,1
brutal,1
adonné,1
voluprez,1
terreftres,1
efleuer,1
lá,1
cotemplation,1
merüeilles,1
ainsfont,1
enfeuclis,1
vnfepulchre,1
defquels,1
ícriptureau,1
pfalm,1
verf,1
virou,1
sicut,1
vulnerati,1
fepulch,1
ris,1
quorum,1
erm,1
mor,1
cx,1
ipfi,1
manu,1
repulfi,1
trauaille,1
efeard,1
aüx,1
hebraïques,1
interprete,1
caldeantourrie,1
sicufoccifr,1
gladio,1
fepulchris,1
quor,1
ini,1
recordaberis,1
ipft,1
quidem,1
facie,1
dininituris,1
feparati,1
funt,1
yl,1
glaiuele,1
inflüco,1
füiuént,1
lecours,1
brutale,1
beftes,1
auffr,1
quedieu,1
diuifales,1
firmament,1
eeleftes,1
dascaux,1
favceleftés,1
fontles,1
nzes,1
intellivible,1
nousaucs,1
teímoienage,1
precis,1
dénnéauxaîtres,1
ilparle,1
tob,1
ru,1
lieclespleiades,1
defioindre,1
cítoilles,1
grad,1
ourfe,1
produirastu,1
yades,1
