token_,count
,1633
dieu,38
bien,18
paroles,17
loy,14
diable,12
faire,10
mots,9
sorciers,8
caracteres,8
hommes,8
telles,7
neantmoins,7
fort,7
hebrieux,7
dire,7
sorcier,6
vertu,6
quoy,6
chose,6
bouche,6
fel,6
ens,6
peuple,6
sans,5
fin,5
voix,5
moyen,5
choses,5
bons,5
mal,5
nom,5
defendu,5
escripture,5
fens,5
mot,5
humain,4
entre,4
lieu,4
vfent,4
malins,4
iufques,4
inuocation,4
cer,4
nature,4
homme,4
celà,4
fain,4
cabale,4
ad,4
void,4
salomon,4
corruption,4
prophetes,4
quia,4
moyfe,4
literal,4
gens,3
lessorciers,3
esprits,3
esprit,3
eau,3
cas,3
mi,3
voyoid,3
ongle,3
croire,3
celle,3
mourir,3
mesmes,3
encores,3
hofties,3
eftle,3
moins,3
lequel,3
roy,3
ts,3
seulement,3
force,3
quela,3
dy,3
anges,3
foubs,3
allegories,3
philon,3
leon,3
merucilles,3
noms,3
autant,3
dedieu,3
pourquoy,3
doit,3
diables,3
come,3
payens,3
fignifie,3
ftatue,3
parler,3
cause,3
tou,3
garder,3
moral,3
infe,3
air,3
appelle,3
femblables,3
did,3
paffage,3
face,3
origene,3
charmes,3
matin,3
fruits,3
col,3
idolatrie,3
serpens,3
efforce,2
vont,2
donc,2
mort,2
con,2
exprefle,2
certain,2
difference,2
quieft,2
entendu,2
parlé,2
icy,2
quelques,2
verité,2
vfoient,2
entendoit,2
faifoit,2
pleins,2
pareil,2
catoptromantie,2
ila,2
veu,2
va,2
disant,2
parce,2
deuant,2
plein,2
quine,2
cha,2
herbes,2
animaux,2
penfent,2
virgile,2
rie,2
veuë,2
œil,2
veritable,2
ayent,2
nations,2
ray,2
langues,2
parle,2
grec,2
medecins,2
femblable,2
propos,2
caril,2
femble,2
quife,2
confcience,2
appellé,2
tuer,2
mr,2
dox,2
ori,2
ti,2
cueur,2
vraye,2
quece,2
galatin,2
appellent,2
monde,2
partie,2
eaux,2
laloy,2
beaux,2
peur,2
figures,2
nombres,2
dira,2
eternel,2
lettres,2
és,2
oril,2
maisil,2
ij,2
prononcé,2
effe,2
gift,2
couurir,2
raison,2
jamais,2
creatures,2
mettre,2
facrifices,2
abufez,2
der,2
che,2
plusieurs,2
couuerte,2
toute,2
fainéte,2
porte,2
exemple,2
fept,2
iours,2
couuert,2
alors,2
tl,2
net,2
chair,2
politic,2
outre,2
corrompt,2
theo,2
id,2
bon,2
odeur,2
chan,2
danger,2
tourné,2
lens,2
couper,2
oc,2
combien,2
quarante,2
voile,2
efcrits,2
augustin,2
verfet,2
mauuais,2
hoc,2
vic,2
entendre,2
pied,2
pent,2
pourauoir,2
chre,2
ftiens,2
oreilles,2
enfeigner,2
atbre,2
science,2
fils,2
maymon,2
theologiens,2
nm,2
diuifent,2
celles,2
medi,2
ter,2
teurs,2
maistreffe,2
donner,2
personne,2
veut,2
pure,2
abuz,2
diabolique,2
donné,2
parole,2
plineau,2
chapitre,2
premier,2
nes,2
prononcer,2
premiers,2
dauid,2
defert,2
tables,2
ucillé,2
caton,2
coche,2
maladies,2
anciens,2
ps,2
fiance,2
mer,2
sathan,2
pouren,2
lesserpens,2
aer,2
aekky,1
jeu,1
pela,1
exterminer,1
lieuil,1
ofte,1
lefacré,1
lien,1
amitié,1
mary,1
femme,1
entroifteme,1
liez,1
paillarder,1
adulterer,1
vneim,1
icté,1
deteftable,1
meritela,1
defduyronsen,1
etneantmoinsla,1
plufpart,1
liaifons,1
uention,1
inuoquent,1
toufiours,1
difons,1
maintenant,1
uoquent,1
lediable,1
dvne,1
qualité,1
inuocations,1
tacites,1
merde,1
notable,1
befoing,1
diuerfité,1
peines,1
defquels,1
eftaussi,1
biengrande,1
uns,1
myfteres,1
preíie,1
tendans,1
dife,1
moftre,1
cherche,1
anciés,1
aflyriens,1
caldeans,1
lecanoman,1
tie,1
rempliffant,1
baffin,1
mettant,1
argent,1
pierres,1
precieufes,1
portas,1
tains,1
apresles,1
prononcees,1
lpwre,1
onde,1
fubtile,1
fifle,1
fortant,1
rendoit,1
refponfe,1
expret,1
gaftronomantie,1
vaifleaux,1
verre,1
ronds,1
allumé,1
cierges,1
marmoté,1
certains,1
oyoit,1
pasla,1
maison,1
voyoidles,1
refponfes,1
marques,1
lignes,1
roüers,1
cryftallomantie,1
glaces,1
verres,1
cry,1
ftallinsjcomme,1
ioachim,1
cambray,1
bourgeois,1
denuremberg,1
acheptá,1
vnanneau,1
criftallin,1
ieune,1
enfant,1
demädoit,1
depuisl,1
achepteur,1
trouva,1
trauaillé,1
rompit,1
fanneau,1
onymantie,1
frottant,1
crystal,1
certaines,1
confections,1
nefçay,1
onfaifoit,1
voirà,1
vnieancenfant,1
eftoitcorropu,1
demandoit,1
carle,1
ilayme,1
virginité,1
puiffe,1
attirer,1
foy,1
dezleurtédreicuneffe,1
particaussi,1
empefcher,1
procreation,1
genre,1
neat,1
moinsilincite,1
personnes,1
agaignees,1
paillar,1
difes,1
contre,1
sodomies,1
deteftables,1
quant,1
delaquelle,1
mention,1
paufa,1
nias,1
achaicis,1
eftoitautre,1
delaquel,1
vfentles,1
quelcun,1
vouloir,1
fçauoir,1
rechaperoit,1
maladie,1
mettoit,1
mirouër,1
fontaine,1
patras,1
letemple,1
ceres,1
figure,1
iugeoit,1
mourtoit,1
viejil,1
lpo,1
xa,1
fo,1
quo,1
lay,1
jel,1
govu,1
desosorciers,1
rechapoit,1
noter,1
pipelegenre,1
entelles,1
forceleries,1
autát,1
confcientieux,1
voudroient,1
inuoquer,1
racteres,1
feduit,1
souvent,1
plusaduifez,1
repu,1
tation,1
carmina,1
vel,1
celo,1
po,1
unt,1
deducere,1
lunam,1
carminibus,1
circe,1
focios,1
imulauit,1
ulyffs,1
licu,1
frigidus,1
pratis,1
cantando,1
rumpitur,1
anguis,1
law,1
ecg,1
gx,1
ner,1
tellement,1
hommés,1
péfent,1
fçauans,1
fciences,1
elcript,1
feul,1
autheur,1
miniftre,1
fafci,1
apoint,1
fortargument,1
tro,1
peles,1
grecqües,1
latines,1
barbares,1
incogneués,1
diuerfifiant,1
diuerfes,1
veoir,1
theocritepoëtes,1
latin,1
marcél,1
lus,1
nicolaus,1
enplinemesme,1
rapporte,1
plufteurs,1
pourtellesimpoftures,1
onliftessorciers,1
mesmesil,1
descroix,1
atout,1
dés,1
comeilaeftéaueréau,1
procez,1
aueugle,1
pendu,1
paris,1
deuxautresconuaincus,1
confesserent,1
croix,1
deplusieurs,1
oraisons,1
comble,1
impieté,1
feruirce,1
eftiment,1
deceftables,1
eftguetes,1
coulpable,1
mocque,1
blafphemeluppiter,1
pense,1
commefaifoit,1
emperür,1
caligula,1
sardetoufiours,1
mocquoit,1
reg,1
volonté,1
toutainsi,1
lepremier,1
quifut,1
sceuola,1
pensant,1
por,1
áenna,1
hetrüfques,1
tuafon,1
lieutenát,1
coupable,1
eufttuéle,1
mul,1
cz,1
eim,1
rum,1
lg,1
fr,1
rm,1
jj,1
qw,1
oor,1
ip,1
irap,1
hr,1
telli,1
andes,1
oa,1
paratur,1
lis,1
dde,1
ues,1
px,1
xy,1
sb,1
slr,1
jc,1
rt,1
salm,1
mur,1
sf,1
dl,1
ré,1
ss,1
nus,1
eiso,1
docle,1
but,1
intétion,1
arracher,1
religio,1
auf,1
fitoute,1
crainte,1
tendre,1
auxfimples,1
maisla,1
dita,1
laphilofophie,1
donne,1
forceaux,1
roles,1
veair,1
reu,1
clin,1
pofitionscabaliftes,1
picus,1
cabaleadeux,1
parties,1
berofchir,1
principio,1
miermotdelabible,1
eelle,1
cycftlavrayephifique,1
philofophie,1
narurelle,1
declaransce,1
opifice,1
fecrettes,1
couuertesfoubs,1
legories,1
reprenantlesopinions,1
desautresphilofo,1
phes,1
contraires,1
laifeconde,1
elt,1
diétde,1
mercana,1
riotpourla,1
vifion,1
ezechiel,1
owla,1
maiefté,1
accompagné,1
defes,1
figuree,1
haute,1
difficile,1
rauiflant,1
intelle,1
miration,1
contemplation,1
dui,1
intelligible,1
furcelestes,1
phyfique,1
inferieures,1
ésprophetes,1
grands,1
crets,1
ocuures,1
cachees,1
delabible,1
veoiren,1
hebrieuorigene,1
prendra,1
gar,1
pres,1
lesfainétspersonnages,1
prophe,1
tesonclaiflé,1
debouche,1
maisilsn,1
curieufement,1
efpluché,1
fubrilizé,1
fücles,1
claufes,1
futles,1
furlesfyllabes,1
furleslettres,1
voire,1
iuf,1
ques,1
wrie,1
œn,1
quesaux,1
poinéts,1
chacunelettrejcomme,1
ontfai,1
tlesdernierstüifs,1
quifont,1
defübtilizerfuc,1
dedieujduquelilscó,1
pofent,1
rr,1
dedieuj,1
uisils,1
fubrilizent,1
auff,1
appel,1
lentsephiroth,1
merucil,1
lesaucc,1
fufpectquad,1
voy,1
quelessorciers,1
agrip,1
fescomplices,1
fouillent,1
sacré,1
enlemeflantenleurcaracteres,1
quels,1
dac,1
uid,1
adreffe,1
quanidildiée,1
ulfi,1
chant,1
vas,1
ediclstant,1
prefchant,1
prens,1
entabonche,1
maligne,1
vr,1
haine,1
disciplines,1
ffi,1
reuclin,1
agrippa,1
ontfaulfemétefctipt,1
iudas,1
machabee,1
obtint,1
toirecontre,1
eyfias,1
antioche,1
lenoble,1
peindre,1
faccoractte,1
lignifient,1
ws,1
toy,1
forts,1
ecernel,1
bienlemotdu,1
puet,1
donna,1
àfon,1
armee,1
nó,1
pasque,1
emportaft,1
vittoi,1
parainsiles,1
bles,1
letentent,1
ifié,1
pollué,1
blafphemé,1
enlà,1
celuyiqui,1
prononceta,1
mefpris,1
lapidé,1
ié,1
nedoubre,1
espritsm,1
ayét,1
hórreurcefaciénony,1
fuyent,1
foudain,1
ilsoyencptónon,1
mn,1
eftcertain,1
lenoóm,1
mm,1
fini,1
let,1
eso,1
sor,1
cler,1
fie,1
etleseul,1
cítvuleaire,1
mun,1
bonneintention,1
foubdain,1
chaffe,1
commeileftaduenutoutesfois,1
quan,1
affemblee,1
desautres,1
fonayde,1
lafeule,1
crainéte,1
frayeur,1
ade,1
