token_,count
,682
dieu,18
sorciers,13
bien,8
diable,7
fin,7
encores,7
iuges,6
puissance,6
iob,6
princes,5
vie,5
sans,5
sorciere,4
accord,4
iuftice,4
iugement,4
res,3
anges,3
pfalme,3
mal,3
contre,3
pres,3
sorcieres,3
sorcier,3
bié,3
monde,3
faire,3
mains,3
fers,3
prifon,3
pourquoy,3
plusieurs,3
tiennent,3
offencer,3
dien,3
iuftes,3
vengeance,2
personnes,2
dessus,2
confessa,2
feu,2
nuire,2
uns,2
nuyre,2
quis,2
armees,2
puiffent,2
anciens,2
def,2
dire,2
cure,2
malins,2
mille,2
cs,2
grad,2
illuy,2
lors,2
armee,2
mer,2
aage,2
iffue,2
efté,2
toute,2
moindre,2
hommes,2
confeil,2
allemai,2
gne,2
là,2
poin,2
mesmes,2
prince,2
lequel,2
voulu,2
entre,2
feruis,2
is,2
deleur,2
demeurent,2
mefchäs,2
peuuét,2
officiers,2
mefchans,2
confeffa,2
ofta,2
allemaigne,2
naft,2
preuve,2
donne,2
charme,2
mettray,2
personne,2
profit,2
yeux,2
douleur,2
face,2
prifonnieres,2
chercher,2
tanieres,2
fer,2
veu,2
hebrieux,2
fieges,2
peur,2
pain,2
eftant,2
sathan,2
nn,2
garde,2
nuict,2
fagette,2
iour,2
air,2
aucune,2
cheminant,2
plein,2
pn,2
nui,2
beftes,2
cela,2
tient,2
entier,2
cít,2
uc,1
ul,1
conte,1
rine,1
deed,1
eod,1
bod,1
troisies,1
für,1
certaines,1
commeiay,1
notté,1
pra,1
icien,1
fuyui,1
latrace,1
repos,1
franchement,1
jamais,1
appris,1
gaigner,1
cfcu,1
lementà,1
véger,1
difons,1
peuvent,1
personnesindifferemment,1
femble,1
poinét,1
affez,1
efclarcy,1
pevvent,1
esiis,1
oroters,1
aftres,1
celestes,1
appellentarmees,1
efcriture,1
sen,1
fauc,1
feruér,1
vaincre,1
ennemis,1
rema,1
maxime,1
ak,1
doen,1
guerre,1
nice,1
sor,1
era,1
vaincu,1
his,1
bai,1
enquierr,1
dia,1
ble,1
eftat,1
fuccefleurs,1
ÿ,1
perira,1
mifera,1
blementauec,1
lesfiens,1
void,1
prendra,1
etnef,1
traducteur,1
dur,1
premier,1
autant,1
oinz,1
vinans,1
wick,1
cmble,1
ci,1
uircainft,1
ad,1
pourautant,1
lane,1
aqu,1
tiendront,1
ean,1
yino,1
idi,1
yhine,1
bles,1
dro,1
quelle,1
traduction,1
conforme,1
tren,1
quatriefme,1
dir,1
ient,1
œil,1
mel,1
hans,1
far,1
faicis,1
dn,1
imais,1
nom,1
avrá,1
iché,1
len,1
pourrois,1
mettre,1
cxempl,1
contenteray,1
outrois,1
pompeele,1
inpire,1
romains,1
gra,1
nds,1
roys,1
deuotion,1
tréte,1
cgions,1
out,1
ousix,1
donnala,1
bataille,1
reduitàtelle,1
extreniiré,1
mouroit,1
faim,1
ja,1
villes,1
closes,1
neantmoins,1
pompecfe,1
livaettroisiesme,1
voulut,1
aydérdessorciers,1
addrefla,1
erichtho,1
arcadienne,1
grande,1
voiren,1
lucan,1
fcaitl,1
miferable,1
quiluy,1
aduinttoft,1
ayanttoute,1
vic,1
orieux,1
europe,1
alle,1
affrique,1
plusencores,1
mediterránec,1
ariouifte,1
general,1
tudef,1
eltoit,1
prenant,1
temps,1
pays,1
enácfté,1
rempli,1
ruiné,1
detout,1
cefar,1
mocquoit,1
dessorcieres,1
iclaiffe,1
neron,1
domitian,1
infinis,1
tres,1
onc,1
miferablefin,1
cau,1
ícs,1
máisic,1
