token_,count
,1272
faire,20
sorciers,19
verité,13
bien,12
dieu,9
dire,8
sans,7
sathan,6
mort,6
iuges,6
peuple,5
moyen,5
peu,5
cas,5
roy,5
charge,5
fera,5
prendre,4
cs,4
fort,4
plusieurs,4
nombre,4
ment,4
dessus,4
crimes,4
complices,4
crime,4
sorcier,4
doit,4
alors,4
mere,4
choses,3
fuit,3
moyens,3
souvent,3
pres,3
bié,3
mourir,3
fçeu,3
pourquoy,3
princes,3
fois,3
mesmes,3
autant,3
accuser,3
faifoit,3
partie,3
yeux,3
diable,3
jamais,3
oit,3
cens,3
neantmoins,3
garde,3
tenir,3
dedans,3
mettre,3
contre,3
impunité,3
pro,3
aage,3
aduis,3
encores,3
filles,3
meres,3
personnes,3
temps,3
fille,3
veu,3
queftion,3
donc,3
pays,3
sorciere,3
id,2
rs,2
ap,2
appelle,2
uons,2
loy,2
cela,2
crainte,2
lt,2
vie,2
parties,2
cl,2
res,2
ns,2
ln,2
pius,2
homme,2
quife,2
us,2
donner,2
fçauoir,2
quoy,2
ci,2
og,2
sn,2
lll,2
ire,2
rir,2
moins,2
cít,2
chose,2
corps,2
ville,2
laon,2
sorcieres,2
merite,2
ensans,2
sorcelleries,2
ha,2
che,2
quile,2
magiftrats,2
uent,2
lessorciers,2
nuict,2
cachees,2
preuve,2
nes,2
parles,2
lors,2
troif,2
efchelles,2
grace,2
nom,2
cognoiffoit,2
regarder,2
quien,2
eftoyent,2
entre,2
quelques,2
uns,2
cftre,2
euft,2
penfe,2
trouva,2
fuft,2
pendu,2
compli,2
ona,2
ouuert,2
charles,2
neuftefme,2
oril,2
proceder,2
ordinaires,2
né,2
procureurs,2
facent,2
ner,2
bie,2
permis,2
tours,2
pourueu,2
quiles,2
droit,2
commun,2
ent,2
contrains,2
dic,2
indices,2
presomption,2
tousles,2
neceflaire,2
age,2
ble,2
mis,2
procureur,2
promettre,2
opinion,2
donne,2
loyer,2
parauant,2
toufiours,2
eur,2
certain,2
parce,2
trouvé,2
lieu,2
fceut,2
dont,2
men,2
