token_,count
,2359
sorciers,48
dieu,30
choses,25
corps,22
faire,20
bien,18
aristote,18
lieu,17
veu,17
esprits,17
contre,15
diable,14
cause,14
homme,13
sorcieres,13
cens,12
nature,12
plusieurs,11
monde,11
forme,10
mort,10
toute,10
cieux,10
voit,10
dire,10
hommes,9
sans,9
loix,9
fin,9
loy,9
raison,9
noir,8
entre,8
chose,8
encores,8
mouvement,8
malins,8
actions,8
naturelles,8
fois,7
toufiours,7
peuples,7
plutarque,7
verité,7
escript,7
esprit,7
humain,7
fort,6
iour,6
peines,6
italie,6
efté,6
mesmes,6
intelligences,6
pourquoy,6
premier,6
terre,6
peu,6
sorciere,5
combien,5
tou,5
impoffible,5
quelques,5
autant,5
moyens,5
forte,5
sathan,5
ila,5
moyen,5
quia,5
ment,5
neantmoins,5
accord,5
ignorance,5
histoires,5
platon,5
dernier,4
merueilles,4
pres,4
euft,4
iufques,4
mains,4
trouvé,4
aduis,4
nóbre,4
prince,4
ennemys,4
feroit,4
cas,4
femble,4
cóme,4
sorcier,4
lequel,4
croire,4
temps,4
brûler,4
feft,4
oeuvres,4
charmes,4
quoy,4
academiques,4
anges,4
phyficien,4
guife,4
quarante,4
deuant,4
dirons,4
fept,4
voir,4
ges,4
sain,4
rendre,4
intelle,4
comprendre,4
parler,4
philofophes,4
efte,4
supernaturelles,4
mer,4
anciens,4
opinion,4
uns,4
corruption,4
sorcelleries,4
preface,4
void,4
parlent,4
cire,4
celà,4
demonftre,4
conclud,3
auquel,3
personnes,3
mourir,3
belles,3
face,3
douze,3
là,3
lors,3
copulation,3
meíme,3
parlement,3
voyant,3
faisant,3
beaucoup,3
eftablies,3
parles,3
parle,3
affemblees,3
faifoit,3
foyent,3
beaux,3
entédre,3
tres,3
auoyent,3
procés,3
pays,3
homicides,3
iugement,3
nombre,3
cité,3
intelligibles,3
po,3
préface,3
parlant,3
confeffer,3
mou,3
humaine,3
mirande,3
femmes,3
lieux,3
pro,3
auantage,3
thomas,3
hebrieux,3
pat,3
dzmons,3
feul,3
infiny,3
eternité,3
confesser,3
fcience,3
elprits,3
philofophe,3
fçauoir,3
és,3
met,3
soleil,3
haut,3
fen,3
eau,3
feu,3
demóftration,3
ci,3
heure,3
raisons,3
defquelles,3
theophrafte,3
femme,3
voudroit,3
moins,3
veulent,3
voyons,3
romains,3
commun,3
certifié,3
proces,3
allemaigne,3
infinis,3
confessions,3
ignorans,3
parlé,3
augustin,3
veillant,3
malin,3
file,3
donc,3
difficile,3
images,3
voulu,3
angleterre,3
foy,3
farrefter,3
lb,3
formes,3
espritz,3
per,2
demon,2
tref,2
appellé,2
auril,2
feptante,2
fem,2
ble,2
incroyable,2
quei,2
haruillier,2
ry,2
mere,2
aage,2
ansl,2
toit,2
nee,2
eftuy,2
cinquante,2
prefenta,2
premiere,2
por,2
voyoit,2
mary,2
fuft,2
garder,2
proceder,2
demeure,2
trente,2
auparauant,2
bruflee,2
cour,2
fentence,2
iuge,2
cfté,2
ftre,2
pardon,2
homicide,2
fille,2
deuoit,2
mal,2
tousles,2
mel,2
maladie,2
pendant,2
confeffa,2
iours,2
eftoyent,2
crimes,2
humaines,2
royaume,2
dont,2
ap,2
executee,2
roy,2
bailloit,2
elleauoit,2
hault,2
appelloyent,2
interrogee,2
confelfa,2
repentit,2
fuis,2
afin,2
partie,2
than,2
publier,2
grands,2
eftran,2
mettray,2
memorable,2
pierre,2
theologie,2
lanui,2
ques,2
faifi,2
disoit,2
falloir,2
laiffe,2
empereurs,2
quad,2
rire,2
tellement,2
inquifiteur,2
prefident,2
ancien,2
poictiers,2
appel,2
vray,2
diét,2
mesmement,2
cogneu,2
maison,2
bon,2
ordre,2
plufpart,2
mef,2
chancetez,2
fectes,2
decerne,2
epicuriens,2
procle,2
feparees,2
ciel,2
difpute,2
demons,2
phy,2
ficalement,2
gin,2
ph,2
semblable,2
meuuentles,2
trouve,2
ordinaire,2
long,2
hiphialtes,2
mesmelivre,2
personne,2
ily,2
force,2
puissance,2
eftranges,2
aquin,2
abíurde,2
auecles,2
arabes,2
ofter,2
mens,2
porté,2
toutainsi,2
grandeur,2
infinie,2
confesse,2
deraison,2
pline,2
pareil,2
notable,2
peur,2
propre,2
cours,2
eaux,2
côme,2
certain,2
fçeu,2
feulemét,2
escripture,2
demonstré,2
aller,2
cherche,2
us,2
origine,2
don,2
fcauoir,2
perpetuel,2
voiten,2
bledz,2
froide,2
pruina,2
ficut,2
monftre,2
pla,2
grande,2
philopone,2
fubieét,2
phi,2
argumens,2
chapitre,2
aulivre,2
ame,2
remarqué,2
contraire,2
couuerte,2
heures,2
lefquelles,2
nyer,2
eftät,2
ab,2
doit,2
voyent,2
neant,2
mieux,2
orphee,2
premiers,2
yu,2
royne,2
grecques,2
finon,2
effects,2
diuers,2
herodote,2
philoftrate,2
ions,2
lieues,2
france,2
confrontations,2
conuictions,2
saint,2
grecs,2
appellent,2
latins,2
incubes,2
succubes,2
gaulois,2
mot,2
dormant,2
medecins,2
aduient,2
quela,2
bie,2
demeurét,2
ordinairement,2
histoire,2
commeil,2
caligula,2
remus,2
lay,2
hui,2
coeuvres,2
diners,2
vient,2
liaifons,2
leu,2
fonde,2
telles,2
indubitable,2
magie,2
preuve,2
daníes,2
elt,2
so,2
ens,2
qua,2
mis,2
fciences,2
maximes,2
adioufter,2
lens,2
meta,2
iuger,2
recours,2
touche,2
ouy,2
lune,2
expers,2
difputer,2
iu,2
veut,2
fera,2
reuoquer,2
doubte,2
poffible,2
principes,2
tient,2
tiennent,2
metaphyficien,2
fouffrir,2
hors,2
aucune,2
for,2
dedans,2
tantoft,2
parties,2
cótre,2
dr,1
oaj,1
oe,1
io,1
tn,1
bodin,1
miantex,1
gontr,1
ear,1
ere,1
br,1
ace,1
avthevr,1
vgementquiaefte,1
td,1
jour,1
huic,1
donné,1
occafion,1
mettre,1
main,1
plume,1
mla,1
elclarcir,1
fubie,1
vue,1
routes,1
eftrangeà,1
sek,1
plufreurs,1
fappelloit,1
leanne,1
natifuéde,1
verbe,1
compiegne,1
accufee,1
confessa,1
queftion,1
torture,1
prime,1
denie,1
opiniaftrement,1
varié,1
confeífa,1
dés,1
prefen,1
tee,1
diableenguife,1
outre,1
ftature,1
veftu,1
drap,1
nt,1
ellelauoit,1
promife,1
disoiteftrele,1
promet,1
traicter,1
heureufe,1
nonca,1
promiftferuirau,1
instant,1
charncllementauec,1
continuant,1
douzeans,1
enuiron,1
prife,1
prefentoit,1
quäd,1
vouloir,1
rours,1
habit,1
elperonne,1
botté,1
efpeeaucofté,1
cheual,1
períionne,1
copula,1
thon,1
auecques,1
couché,1
aupres,1
apper,1
ceuft,1
futt,1
diffamee,1
grandesorciere,1
acte,1
prefque,1
paysans,1
rauir,1
juftice,1
labrûler,1
craignans,1
rechapatt,1
ordône,1
auparauát,1
lugemét,1
difhnitif,1
enuoyeroit,1
erbery,1
natiuité,1
enquerir,1
vie,1
villages,1
fouet,1
pourle,1
crime,1
condamnee,1
cftre,1
vifue,1
arreft,1
confirmatif,1
senlis,1
accouftume,1
changer,1
noi,1
couurir,1
attainte,1
conuaincue,1
requift,1
contenance,1
repentir,1
deniant,1
meíchan,1
cetez,1
commifes,1
parauant,1
confeffees,1
perhilta,1
confession,1
auoitfaicte,1
ietré,1
poudres,1
preparees,1
mitt,1
battu,1
paller,1
paffajauquel,1
vouloit,1
cost,1
fentic,1
douleur,1
poignante,1
voifins,1
entrerau,1
clleauoit,1
iecte,1
sortle,1
frappé,1
foudaine,1
crioyent,1
icété,1
sort,1
promift,1
guarir,1
garda,1
patient,1
mecredy,1
uant,1
prifonniere,1
priéle,1
guerirfon,1
malade,1
refponce,1
ileftoit,1
diit,1
alocsau,1
abufoit,1
vint,1
veoir,1
etlors,1
viendroir,1
lhó,1
mourut,1
ecaussi,1
cott,1
falla,1
cacher,1
grange,1
trouvee,1
ashiterent,1
iugument,1
merité,1
gente,1
doux,1
naturel,1
pitoyable,1
eítoit,1
fufh,1
oit,1
pendre,1
examiné,1
deteftables,1
uines,1
mement,1
couftuine,1
gencralle,1
chreftienté,1
gardee,1
ancienneté,1
condemnee,1
vif,1
arreíte,1
pel,1
pouríuitte,1
claude,1
dofay,1
procureur,1
ribemont,1
depuisla,1
condemnation,1
tranfportee,1
víé,1
greífes,1
eftant,1
guindeed,1
grade,1
vittefle,1
loing,1
laffe,1
foulee,1
auxatfemblees,1
adoroiét,1
priiace,1
belzebuh,1
cela,1
llement,1
fermon,1
eurs,1
argent,1
couployent,1
charne,1
fier,1
vengeroit,1
heureux,1
accufa,1
berger,1
couureur,1
gélis,1
requerant,1
parce,1
trouuoyét,1
eftrige,1
quafi,1
adui,1
trai,1
intitule,1
oma,1
nie,1
cie,1
pourla,1
rage,1
courir,1
diables,1
feruir,1
aduettiffement,1
verront,1
cognaiftre,1
doigt,1
lœil,1
exe,1
crables,1
merittent,1
griefues,1
refpondre,1
imprimez,1
fefforcent,1
fauuer,1
aytinfpirez,1
attirez,1
cordelle,1
liutes,1
vnpierre,1
aponemedecin,1
pefforcoit,1
tédre,1
neâtmoins,1
depuisaueré,1
atiltres,1
efcrire,1
exemple,1
mamor,1
petit,1
lamiesaremarqué,1
nommée,1
guillaume,1
line,1
cur,1
accufé,1
condamné,1
donziefme,1
decébre,1
tranfportéauec,1
aû,1
adorer,1
monftroit,1
bouc,1
noncant,1
religion,1
obligation,1
uoit,1
portant,1
romefles,1
reciproques,1
docteur,1
oblige,1
mo,1
publiquemét,1
fable,1
multiplie,1
pris,1
accroiflemét,1
prefches,1
juges,1
fuitte,1
ui,1
montite,1
loyaux,1
fugets,1
eftats,1
qualitez,1
cardinal,1
benon,1
platin,1
efcriuent,1
pluficurs,1
papes,1
princes,1
leíquels,1
laiffé,1
piperaux,1
precipitez,1
malheureufemét,1
sathá,1
tolede,1
eftoitanciennemét,1
chole,1
eull,1
pé,1
quetels,1
personnages,1
patic,1
rapportoit,1
prenoïét,1
failoiét,1
chafcü,1
traiéts,1
donnoïiér,1
affermoiét,1
confláment,1
cho,1
fé,1
fabuleufe,1
amolitfoiet,1
coeur,1
luges,1
prie,1
aten,1
alciat,1
defpir,1
piemont,1
chappoient,1
barthelemy,1
faye,1
enqueftes,1
plaint,1
fouffrance,1
iuges,1
neté,1
grádes,1
afflictions,1
enuoyees,1
auenton,1
coníeiller,1
fuccedé,1
eftat,1
prefi,1
dent,1
saluert,1
vifs,1
xt,1
nnobftant,1
euxinteriecte,1
plaignant,1
onauoitenuoycabfouls,1
appellas,1
infecté,1
tour,1
peuple,1
mu,1
tinoit,1
confefferent,1
sortileges,1
executer,1
prenotables,1
nonobfät,1
qnia,1
eff,1
ocadere,1
veneno,1
quam,1
gladio,1
impunité,1
tépslà,1
prindrent,1
merueilleux,1
accroiffement,1
cer,1
cyaume,1
aborderent,1
parts,1
entrele,1
quels,1
neapolitain,1
appelloit,1
conferuateur,1
elté,1
allez,1
continue,1
troif,1
efchelles,1
manceau,1
grace,1
donne,1
charge,1
deferer,1
complices,1
faulfement,1
amoindrir,1
impieteayant,1
belle,1
compagnie,1
defera,1
donna,1
rechapperent,1
confeffaffent,1
execrables,1
quelair,1
infe,1
dequoy,1
dieuirritéa,1
enuoyé,1
terribles,1
perfecutions,1
menacé,1
terminerles,1
fouffriront,1
viure,1
sainct,1
auguttin,1
quetoutes,1
jamais,1
excepte,1
oraculorum,1
defeéía,1
origene,1
celfus,1
epicurien,1
refute,1
aprescux,1
iambli,1
porphire,1
deftruictles,1
fondemens,1
fecte,1
epicurienne,1
etoientaffez,1
ruinez,1
princi,1
pes,1
meraphifique,1
neceffité,1
mouuoit,1
lesquelles,1
quepangefe,1
meute,1
lame,1
meuue,1
môltrer,1
traitter,1
abusent,1
denient,1
yayt,1
pofliblequi,1
foitim,1
poflible,1
attouche,1
letiif,1
jib,1
ré,1
quoi,1
cx,1
arf,1
monto,1
ocra,1
deo,1
socratis,1
sun,1
lei,1
thy,1
phific,1
mctha,1
sic,1
conuenir,1
finonau,1
foymelmes,1
attouchemét,1
uemét,1
conuiennét,1
demôftre,1
methaphyfique,1
sparlant,1
apulee,1
difent,1
aristotea,1
laife,1
reftét,1
moitié,1
pythagoriés,1
eímerueilloyét,1
hó,1
méau,1
dzmon,1
cofefle,1
nóme,1
thafius,1
inceffam,1
figure,1
personnene,1
téps,1
fräçois,1
pic,1
efcrit,1
deuxpreftres,1
accópagnez,1
dæmons,1
dontils,1
abuferent,1
confef,1
ferent,1
brûlés,1
pvnedes,1
ifles,1
eolus,1
onentendoit,1
metueilleuxfon,1
tabourins,1
cymballes,1
rifees,1
ptentrion,1
olaus,1
mont,1
atlas,1
