token_,count
contre nature,7
bonne guerre,3
parlement paris,3
cens esclaves,3
esclaves chrestiens,3
main morte,3
senat romain,2
vouloir payer,2
loy douze,2
douze tables,2
ofter vie,2
moins encores,2
feruiteurs domestiques,2
ancienne marque,2
peuple romain,2
menu peuple,2
quant esclaves,2
chose contre,2
prifonnier bonne,2
payer rançon,2
contre laloy,2
parce moyen,2
bien souvent,2
loy dieu,2
foixante esclaves,2
hommes libres,2
marc antoine,2
roy portugal,2
esclaves part,2
voyons encores,2
falut ame,2
nombre infini,2
bartol viuoit,2
feruile condition,2
porter anneau,2
esclave perpetuel,2
toute pofterité,2
donnoit grands,1
grands priuileges,1
priuileges auoyent,1
auoyent enfans,1
auoyent adoptoient,1
pourauoir part,1
part magi,1
magi ftratz,1
commeau contraire,1
contraire clodius,1
clodius estantnoble,1
adopter turicr,1
quitta noblefle,1
noblefle pourestre,1
pourestre tribun,1
tribun peuple,1
estpourquoy senat,1
enfans adoptez,1
adoptez donneroyentaucun,1
donneroyentaucun priuilege,1
priuilege charges,1
charges publiques,1
publiques turelles,1
pourroi arce,1
arce moyen,1
moyen obtenir,1
empefcher fübftiturios,1
fübftiturios faute,1
faire obtenir,1
obtenir laiflé,1
repvbliqué berté,1
quiaioué faliberté,1
anciennement peu,1
esclave perpetucl,1
hebrieux pratiquoyent,1
nicr guerre,1
guerre cfclaue,1
cfclaue vainqueur,1
füt anciennc,1
ment grece,1
barbare prifonnier,1
prifonnier guerre,1
guerre pourroit,1
pourroit cftre,1
cftre mis,1
mis cadene,1
retenu elclaue,1
quant grec,1
feroit mis,1
mis enliberté,1
payant liure,1
ancienne ordon,1
arreté estats,1
ennemis prifonniers,1
prifonniers bonne,1
guerre demeu,1
reroyent cfclaues,1
cfclaues vainqueurs,1
payer flo,1
rins testc,1
payé rançon,1
rançon prifonnier,1
remettreen liberté,1
receu pris,1
autrement ille,1
ille garder,1
garder esclave,1
loy prati,1
quecenla grece,1
empire romain,1
quant debteurs,1
debteurs prifonniers,1
prifonniers creanciers,1
permis loy,1
tables demembrer,1
demembrer pieces,1
pieces diftribuer,1
diftribuer creanciers,1
creanciers moins,1
fol liure,1
uoit vncreancier,1
ilne pouuoitluy,1
pouuoitluy ofter,1
encores liberté,1
chere vie,1
uer pouuoit,1
pouuoit bien,1
bien vendre,1
voire ofter,1
vie enfans,1
pouuoitleur ofter,1
cueur bon,1
aymera tousjours,1
tousjours mieux,1
mieux mourir,1
mourir honnestement,1
feruir indignement,1
arme loy,1
quiadiugeoitle debteur,1
debteur folua,1
bien cost,1
cost caffec,1
caffec requeste,1
requeste petiliens,1
petiliens ribuns,1
ribuns peuple,1
firét ordôner,1
deflors auátle,1
auátle debteurne,1
croit ad,1
pourroit retenu,1
retenu debte,1
fauf creácier,1
creácier pouruoir,1
pouruoir faifie,1
faifie biés,1
voyes deiustice,1
verroit cftreà,1
cftreà faire,1
faire raifon,1
loy demeura,1
demeura inuiolable,1
inuiolable fept,1
fept cens,1
iusques regne,1
regne dioclctian,1
quila publier,1
publier recheffus,1
recheffus peine,1
peine vie,1
voila lesfortes,1
quant quifont,1
quifont brigans,1
vendus faux,1
faux tiltre,1
tiltre esclaves,1
demeurent neantmoins,1
neantmoins libres,1
droit peuuentfaire,1
peuuentfaire actes,1
actes legitimes,1
quant feruiteurs,1
peuuent contrat,1
conuention quelconque,1
quelconque faire,1
faire preiudice,1
preiudice liberté,1
receuant laiztestamentaire,1
sous condition,1
oi peu,1
peu feruile,1
efclauc romettre,1
fcigneur lafanchift,1
lafanchift chose,1
chose tourne,1
tourne ja,1
ja diminu,1
tion liberté,1
horfmis lesferuices,1
lesferuices agercables,1
ordinaires af,1
pourquoy arrests,1
arrests parlement,1
souvent caflé,1
caflé contrats,1
contrats feruiteurs,1
obligét sous,1
sous peine,1
peine feruir,1
feruir certai,1
nes annces,1
lefquels neantmoins,1
neantmoins receus,1
maiftres terme,1
terme feruice,1
feruice cxpiré,1
vot deuat,1
deuat iuge,1
lieux emanciper,1
emanciper feruiteurs,1
donner puissance,1
puissance porter,1
porter bonnet,1
esclave nouucllement,1
nouucllement afran,1
cacher teste,1
teste pelee,1
iusques cheueux,1
cheueux fuflét,1
fuflét rc,1
donna occafion,1
occafion brutus,1
brutus apresauoir,1
apresauoir tué,1
tué cæfar,1
faire bat,1
lamonnoyeau bonnet,1
afranchile peuple,1
mort neron,1
peuple alloit,1
alloit rucs,1
rucs portant,1
portant bonnets,1
ligne deliberté,1
etleroy eumenes,1
eumenes vint,1
mort mithridates,1
entrant senat,1
senat bônet,1
tenirfaliberté peuple,1
combien feruiteurs,1
mestiques foient,1
foient cíclaues,1
puiflent faire,1
faire actes,1
actes liberté,1
hors iugement,1
simples mercenaires,1
deniers iournee,1
lefquels quilesalouez,1
correction quelconque,1
commele maiftre,1
maiftre feruiteurs,1
doibuent feruice,1
obeiffanceau maiftre,1
corrigerauec difcretion,1
voila mots,1
mots puissance,1
puissance maiftre,1
maiftre enuers,1
enuers feruiteurs,1
feruiteurs ordinai,1
voulons icy,1
icy entreraux,1
entreraux reigles,1
reigles morales,1
tement uns,1
uns enuers,1
encores refolues,1
cauoir fcruitude,1
fcruitude esclaves,1
esclaves naturelle,1
puissance doit,1
doit seigneur,1
quant ariftote,1
advis feruitude,1
feruitude elclaues,1
elclaues droit,1
droit na,1
pourla preuue,1
uns naturellement,1
naturellement faits,1
faits àferuir,1
lesautres commander,1
arrestent difcours,1
difcours philofophes,1
opinion populaire,1
tiennent quela,1
quela feruitude,1
feruitude droiétement,1
droiétement contre,1
peuuent maintenirlaliberté,1
ambiguité loix,1
testament tiéne,1
voir entout,1
laloy tienne,1
cognoiftre tousjours,1
tousjours qucl,1
icelle contre,1
contre esclaves,1
appellant dure,1
firla meilleure,1
fouftenir laferui,1
rude vtile,1
vtile republiques,1
toute chose,1
nature delongue,1
delongue duree,1
vient forcer,1
forcer nature,1
nature retournera,1
retournera tousjours,1
tousjours premier,1
premier estat,1
voit euidemmét,1
euidemmét choses,1
choses naturelles,1
feruicude prins,1
prins origine,1
origine foudain,1
foudain deluge,1
uoir forme,1
forme republique,1
tousjours continué,1
lagoit cens,1
cens ansellea,1
ansellea difcontinué,1
ques lieux,1
voit retourner,1
mesmes peuples,1
peuples republique,1
republique illes,1
illes occidentales,1
fois grande,1
grande estendue,1
jamais ouy,1
ouy parler,1
parler deloix,1
deloix diuines,1
onttousjours pleines,1
nefe trouuc,1
trouuc cule,1
cule republique,1
republique exemptee,1
exemptee esclaves,1
voireles fainéts,1
fainéts erfonnages,1
erfonnages onques,1
onques vie,1
coute repu,1
uc leigneura,1
leigneura puissance,1
puissance biens,1
excepté quelques,1
quelques princes,1
legiflateurs mo,1
deré puissance,1
femblable oys,1
giflateurs euflent,1
euflent attenté,1
attenté contre,1
vertueux hommes,1
peuples partant,1
partant fiecles,1
fiecles euf,1
cnt receu,1
receu feruitudes,1
voire defendu,1
defendu quelques,1
afranchir lesesclaves,1
finon certain,1
certain nombre,1
neantmoins fleurien,1
voudroit nyer,1
fustchose honneste,1
charitable garder,1
garder prifonnier,1
faifant feruice,1
dequoy payer,1
lieu maflacrer,1
maflacrer sang,1
sang froid,1
premiere cause,1
cause esclaves,1
loix diuines,1
humaines irren,1
adequoy payer,1
payer faute,1
faute parluy,1
parluy commife,1
puni corporcllc,1
faitiniustementla guerre,1
guerre biens,1
nefoit vray,1
vray brigand,1
ilne merite,1
merite mort,1
donc contre,1
nature garder,1
garder pourfer,1
uiraulicu dele,1
dele faire,1
faire mourir,1
carle mot,1
mot deferuus,1
onayt voulu,1
voulu reprendre,1
reprendre iuftinian,1
vient feruando,1
nature homme,1
homme cust,1
cust puissance,1
auroit royaumes,1
