token_,count
estat populaire,11
moindre partie,6
partie peuple,6
prince souverain,4
estat royal,4
fortes republiques,3
peuple part,3
menu peuple,3
destrois republiques,3
donner loy,3
moindres magistrats,3
reste peuple,2
tour peuple,2
quatrieme meflee,2
forme republique,2
republique lacedemoniens,2
puissance royale,2
meflange republiques,2
estat popu,2
part souveraineté,2
faire loix,2
fortes republique,2
premiere marque,2
faire loy,2
puissance faire,2
estat lacedemoniens,2
seigneuries aristocratiques,2
souveraineté peuple,2
arrests senat,2
pouuoir commander,2
ad populum,2
fix conseillers,2
duc venize,2
detoutle peuple,2
puissance populaire,2
beaucoup moins,2
seigneurie aristocratique,2
bien vray,2
marques souveraineté,2
fans congé,2
contre roy,2
estar populaire,2
grans estats,2
repvblique mort,1
mort vle,1
vle marques,1
marques referuees,1
referuees prince,1
voila nt,1
nt principaux,1
principaux points,1
points concernans,1
concernans maiesté,1
maiesté souveriane,1
souveriane fuement,1
poffible traicté,1
traicté matiere,1
nent liure,1
liure imperio,1
autant forme,1
estat ë,1
lique depend,1
depend tiennent,1
tiennent souverianeté,1
difons combien,1
combien fortes,1
nv vs,1
jp rre,1
ux ga,1
ga rt,1
rt dl,1
wo agi,1
agi nn,1
tovies sortes,1
sortes republiques,1
republiques general,1
nep vis,1
vis auons,1
auons dic,1
dic fouuerai,1
voiren toute,1
toute nepublique,1
nent souveraineté,1
come lasouveraineté,1
lasouveraineté gift,1
gift vnfeul,1
appellerós monarchie,1
estat populairesil,1
aquela moindre,1
estat arifto,1
vferós mots,1
mots euiterà,1
euiterà fusion,1
prouiét varieté,1
varieté gouuerneurs,1
gouuerneurs bósou,1
bósou auuais,1
doné occafion,1
occafion oo,1
oo ve,1
os oo,1
oo lio,1
vue vs,1
os th,1
oule fçauant,1
hüblejoule fimple,1
tou tcs,1
tcs qualitez,1
feroit infinité,1
infinité monarchies,1
cas reil,1
estat aristocratique,1
partie peupletenoitlafou,1
peupletenoitlafou ueraineté,1
commeles riches,1
plusn obles,1
oules fages,1
ot iustes,1
autant vices,1
ouauttes qua,1
qua lirez,1
lirez indifferentes,1
opinior delaquelle,1
delaquelle reüffift,1
reüffift telleabfurdité,1
telleabfurdité doit,1
doit estreregetee,1
donc ja,1
ja qualité,1
qualité nechäge,1
nechäge nature,1
nature choses,1
choses dirôs,1
outrois fortes,1
appelle quad,1
eul fou,1
côme auons,1
ja democratic,1
democratic festat,1
festat populaire,1
quád tour,1
iceluy corpsa,1
corpsa puissance,1
puissance souveriane,1
quäd moin,1
moin dre,1
dre partie,1
peuple souveraineté,1
souveraineté corps,1
donneloy reste,1
particulier anciés,1
anciés bié,1
bié accor,1
enauoittrois fortes,1
fortes moins,1
lesautres adioulté,1
adioulté quatrieme,1
platon bien,1
bien adioufté,1
adioufté quatrieme,1
gens bien,1
bien ontlasouveraineté,1
propres termes,1
termes pure,1
pure ariftocratie,1
receu meflange,1
meflange forme,1
ariftotea receu,1
receu celle,1
celle plato,1
ciq fortes,1
copofec premieres,1
mis outre,1
outre premieres,1
temps ciceron,1
apresluy thomas,1
thomas more,1
plusieurs tenula,1
tenula opinion,1
pris origine,1
origine polybe,1
donne loüange,1
ainsau parauancluy,1
cens herodote,1
mis lumiere,1
difant plusieurs,1
plusieurs tenoyent,1
tenoyent meilleure,1
maisil tient,1
aforcé tenir,1
tenir contraire,1
torité defi,1
defi grands,1
grands perfonnages,1
perfonnages cuft,1
cuft vaincu,1
donc monftrer,1
monftrer viues,1
viues raisons,1
parles raifons,1
raifons mefimes,1
mis eti,1
eti auant,1
onc mis,1
mis enfaiét,1
ja republique,1
venitiens compofces,1
doucement entremeflees,1
entremeflees puissance,1
platon efcrit,1
meilleure forme,1
republique compofee,1
foudain releué,1
releué difciple,1
difciple ari,1
faire vaille,1
composer ensemble,1
quoy aristote,1
aristote difpute,1
difpute contre,1
contre foy,1
republiques vicicufe,1
afçauoir extremitez,1
touteautre chose,1
chose ij,1
ij repvbliqvue,1
repvbliqvue moyen,1
encores vitieufe,1
vitieufe fera,1
fera meflange,1
autant üe,1
üe opinion,1
opinion mouuoir,1
mouuoir grans,1
grans troubles,1
troubles republiques,1
causer merucilleux,1
merucilleux effeéts,1
ilest befoin,1
befoin bien,1
bien examiner,1
caril fautesta,1
fautesta blirloix,1
ordonnances contraires,1
pourle regard,1
quandles republiques,1
republiques contraires,1
comefontla monarchie,1
aduifez bourgeois,1
bourgeois florence,1
opinion anciens,1
anciens meflange,1
rendroitla ícigneurieag,1
ícigneurieag peuple,1
advis pierre,1
pierre soderin,1
but menu,1
part souveriancté,1
seulementles anciennes,1
anciennes maifons,1
appelloyent premiere,1
conde cein,1
advis conícil,1
conícil auroyent,1
auroyent part,1
cognoiffance affaires,1
fculement faire,1
difpofer deniers,1
feroit manié,1
manié conseil,1
conseil privé,1
parles officiers,1
entremef ler,1
ler crois,1
crois fortes,1
puisse faire,1
detrois enfemble,1
fera differente,1
voyons proportion,1
proportion harmonique,1
compofee proportiona,1
mec differéte,1
ja miftion,1
miftion choses,1
choses naturelles,1
naturelles composé,1
composé fimples,1
vertu speciale,1
stel fimples,1
fimples dont,1
dont compoíé,1
miftion destrois,1
republiques enfemble,1
efpece differéte,1
veu puissance,1
populaire enfemble,1
ouueraineté iourau,1
iourau monarque,1
iour enfuiuant,1
enfuiuant moindre,1
peuple cult,1
cult seigneurie,1
tour souveraineté,1
senateurs romains,1
mort roy,1
auoyent puissance,1
puissance fouuc,1
raine certains,1
certains iours,1
auquel cas,1
cas neantmoins,1
auroit fortesde,1
fortesde republiques,1
quine laferoyent,1
laferoyent paslogue,1
mauuais mefnage,1
mefnage femme,1
femme commande,1
commande mari,1
mari rang,1
pofer monarchie,1
chose impoffible,1
compatible cffe,1
nefgauroit mesmes,1
mesmes imaginer,1
souveraineté chose,1
chose indiuifible,1
ecomme monstré,1
ment pourroit,1
pourroit departir,1
departir prince,1
marque souverianeté,1
doner loy,1
loy sujets,1
ugets obeiront,1
ontauff puif,1
sance faire,1
fera pourra,1
pourra donner,1
côtrainét receuoir,1
fauc con,1
cure neceffité,1
pouuoir foità,1
foità ensemble,1
quelarepublique cl,1
cl populaire,1
mo ps,1
liver seco,1
sinous donnons,1
donnons puissance,1
puissance peuple,1
peuple faire,1
faudra neantmoins,1
neantmoins confefler,1
uiflance donnee,1
donnee officiers,1
apartient peuple,1
depoftaux magistrats,1
peuple bien,1
bien destituer,1
estat fera,1
fera tousjours,1
tousjours populaire,1
prenonsles exéples,1
exéples mesmes,1
mesmes polybe,1
lacedemoniens compofé,1
compofé dcs,1
lesenat xxviii,1
querefpondror herodote,1
lequel met,1
met exemple,1
pure ariftocratict,1
refpondront us,1
us thucidide,1
ite pnt,1
difent parlant,1
parlant guerre,1
guerre peloponefiaque,1
dura xxj,1
entreles republiques,1
republiques populaires,1
feul but,1
but atheniens,1
changer ariftocra,1
ticsen democratics,1
erila ville,1
ville samos,1
intention lacedemoniens,1
lacedemoniens châger,1
châger estats,1
estats populaires,1
populaires seigneuries,1
faic executerent,1
executerent villes,1
villes grece,1
victoire lyfandre,1
athenes mefines,1
ftant souveraineté,1
donnant xxx,1
pella xxx,1
maniere lacedemoniens,1
etaux villes,1
villes dessamiens,1
fie mineure,1
donnerent souveraineté,1
souveraineté seigneurs,1
rappellansles bannis,1
quiauoyent tenu,1
fantles principaux,1
principaux factions,1
factions populaires,1
maximus tyrius,1
met exéple,1
exéple seigneuries,1
moniés premiers,1
ilfaudroit conuaincre,1
conuaincre méteric,1
méteric cesauteurs,1
cesauteurs là,1
estoiét lieux,1
lieux mesmes,1
part temps,1
temps fleuriffoient,1
fleuriffoient republiques,1
republiques atheniés,1
pourle moins,1
moins ferot,1
ferot croya,1
estle nom,1
nom roys,1
lycurgue auoitlaiffé,1
auoitlaiffé fei,1
gneurs yffus,1
yffus maifon,1
maifon hercules,1
oftéleur puiffan,1
dônce peuple,1
vray fort,1
fort ebranlez,1
roy ariftodenius,1
souverain lacedemoniens,1
lacedemoniens laiffé,1
laiffé enfans,1
leucippus meffe,1
roys indiuis,1
sempefchoient souvent,1
souvent ialoufic,1
fin dcpoiiillez,1
dcpoiiillez pat,1
pat lycurgue,1
estoitaussi prince,1
prince sang,1
sang souveraineté,1
souveraineté demeurant,1
demeurant lenomroyalen,1
lenomroyalen maifon,1
quelesroysen ui,1
laiffale nom,1
nom deroy,1
deroy prestre,1
appelloitle roy,1
roy sacrifices,1
pourfaire certain,1
certain facrifice,1
roy feul,1
feul faifoit,1
faifoit para,1
lequel neantmoins,1
neantmoins sujet,1
sujet pontife,1
pouuoir plutarque,1
pouuoyé ous,1
ous prestres,1
hit lycurgue,1
lycurgue roys,1
roys lacede,1
ayans voix,1
fans pouuoir,1
pouuoir comander,1
ainsau cotraire,1
cotraire côtraints,1
beiraux mandemens,1
