token_,count
iuste roy,5
mot tyran,2
prend plaifir,2
bien souvent,2
exemple princes,2
appeller tyrannie,2
empire romain,2
difficile trouver,2
empire maifon,1
auftriche continuer,1
continuer lon,1
gue fuite,1
fuite detellespreuétions,1
royaume norucgue,1
norucgue heredi,1
voire sujet,1
sujet fucceflion,1
fucceflion fémes,1
cause pretendu,1
pretendu douairiere,1
douairiere lorraine,1
comtefle palatin,1
filles criftierne,1
criftierne roy,1
roy dannemarc,1
marguerite vvolmar,1
vvolmar droit,1
droit succeslif,1
succeslif royne,1
royne royaumes,1
noruegue suede,1
voila quát,1
monarchie royale,1
difons troifieme,1
monarchie tyrannique,1
monarchie ttranniqtvf,1
francs sujets,1
pt truy,1
commce fiens,1
defaproprieté honnorable,1
prince sestoit,1
sestoit emparé,1
estat fans,1
fans confentement,1
confentement defes,1
defes citoyens,1
eítoit maiítre,1
là sappelloit,1
sappelloit tyra,1
iuste prin,1
platon refcriuät,1
refcriuät penis,1
penis tyran,1
done qualité,1
plat denis,1
denis tyran,1
tyran falut,1
denis tyràà,1
tyràà plato,1
plato falut,1
monftrer mot,1
eltoitaussi bien,1
bien attribué,1
attribué iuíte,1
iuíte prince,1
ilapert euidemment,1
riandre cítimez,1
cítimez entre,1
entre sept,1
ages grece,1
grece estoyentappcl,1
lez tyrans,1
ayans empictél,1
estat pays,1
parfineffe auoyent,1
auoyent enuahi,1
enuahi souveraineté,1
voyant vie,1
vie cxpofecàla,1
cxpofecàla mercy,1
mercy ennemis,1
feureté vie,1
entour perfonncs,1
groffe garnison,1
garnison fortereffes,1
leuer gros,1
gros tributs,1
voyäs vie,1
vie pouuoit,1
pouuoit cftre,1
cftre afleurce,1
ayans pauures,1
pauures amys,1
puiflans ennemis,1
mettoyentà mort,1
banniffoyent uns,1
uns enrichir,1
enrichir lesautres,1
perdus rauifloientauec,1
rauifloientauec biens,1
ty rans,1
rans extremement,1
extremement hays,1
quedenisle vieux,1
partie sicile,1
tousjours milfoldats,1
milfoldats garde,1
hommes cheual,1
cens galeres,1
galeres armecs,1
encotes pouuoit,1
pouuoit rangerfi,1
rangerfi peu,1
peu sujets,1
sujets afferuis,1
faisant defenfes,1
permettoit voler,1
trouveroit retournant,1
retournant fouper,1
fouper mai,1
neantmoins plutarque,1
plutarque confeffe,1
bon prince,1
repvblique ila,1
ila pañé,1
pañé eniustice,1
plusieurs princes,1
princes appellez,1
appellez roy,1
arrester qualitez,1
qualitez princes,1
attri buent,1
self tousjours,1
tousjours veu,1
prislesdeuifes belles,1
tiltres diuinis,1
yn sujets,1
ordinairementíe mocquent,1
mocquent beaux,1
beaux riltres,1
donnent bien,1
bien piquans,1
piquans ironie,1
ptolemees roys,1
mourir frere,1
fà mere,1
sujets lesappellerent,1
lesappellerent moquerie,1
offices facrez,1
facrez estéabhominables,1
estéabhominables mefchanceté,1
mefchanceté aby,1
commeletiltre royal,1
royal horreur,1
horreur romains,1
cause tarquinl,1
nom dictateur,1
cause sulla,1
gonfaloniers florence,1
cause françois,1
françois valori,1
princefoit monarque,1
monarque feigneu,1
rial quelques,1
quelques sujets,1
royal uns,1
tyran enuers,1
tyrannife riches,1
porte faueurau,1
faueurau menu,1
menu peuple,1
entre lestyrannies,1
plusieurs fortes,1
fibon prince,1
vice notable,1
trouve ficrud,1
ficrud tyrá,1
dlque chose,1
chose loüable,1
parainsi chose,1
chose trefmauuais,1
trefmauuais exéple,1
fort dágereufe,1
fairc finiftre,1
finiftre iugemét,1
bié cogneu,1
cogneu actions,1
fagemét balancé,1
balancé vices,1
exploits heroïques,1
mefchancetez capitales,1
àlafagon perses,1
donnoyent fentence,1
fentence condemnation,1
mal bien,1
pourquoy mettrons,1
mettrons encó,1
trepoisles extremitez,1
contre ty,1
ran detestable,1
affin difference,1
difference mieux,1
mieux remarquee,1
dy bon,1
entends parler,1
parler populairement,1
prince accompli,1
accompli vertus,1
vertus heroïques,1
parangon fagefle,1
fans blafme,1
tions rares,1
appelle bon,1
met cforts,1
cforts cftre,1
employer biens,1
roy codtus,1
lefquels estans,1
estans ad,1
victoire dependoit,1
dependoit mort,1
foudain facrifierent,1
facrifierent vic,1
moyfe quephilon,1
quephilon appelle,1
appelle lage,1
lage legiflateur,1
grid prophete,1
pria dieu,1
derayer pluftoft,1
pluftoft nom,1
nom liure,1
liure vie,1
pardonnaît peuple,1
aymant mieux,1
mieux damné,1
peur ple,1
ple fauué,1
bien tour,1
tour prince,1
prince debonnaire,1
vray perc,1
perc peuple,1
notable difference,1
difference roy,1
roy conformeaux,1
conformeaux loix,1
loix nature,1
letyranles foulle,1
foulle pieds,1
lvn entretient,1
entretient pieté,1
penfe feruir,1
gw mnm,1
mnm rm,1
rm era,1
bien public,1
tuition sujets,1
faic pou,1
pou profit,1
profit particulier,1
enrichi sujets,1
moyens dont,1
dont aduifer,1
ba tift,1
tift maifon,1
venge iniures,1
iniures public,1
pardonne fiennes,1
venge crucllemét,1
crucllemét iniures,1
pardon celles,1
honneur femmes,1
femmes pudiquesilautr,1
triomphe hotel,1
hotel prend,1
estreaduerti toute,1
toute liberté,1
fagement repris,1
repris quád,1
quád afailli,1
eflorce maintenir,1
maintenir fuger,1
fuger paix,1
met touítours,1
touítours diuifion,1
uns lesautres,1
engrefler confifcations,1
ouy fessujets,1
cache toufiour,1
amour peuple,1
craint sujets,1
doubte là,1
charge fiens,1
laneceffité publique,1
humele fang,1
roge os,1
cela mouelle,1
mouelle fugers,1
seulement lesaffoiblit,1
wn cherche,1
cherche gés,1
gés bienjpouremployeraux,1
bienjpouremployeraux charges,1
charges publiques,1
ploye larrós,1
donne estats,1
obuieraux cocuffions,1
autreles vend,1
vend cher,1
donner moyen,1
affoiblirle peuple,1
peuple larcins,1
couperlagorge lar,1
reputébo iufticier,1
mefure meurs,1
faços pied,1
pied gs,1
bin feruir,1
feruir loix,1
loix meurs,1
adoré sujets,1
autreles hait,1
arecours guerre,1
àfes sujets,1
nefait guerre,1
garnifon fiens,1
efiouift dun,1
dun reposafleuré,1
tranquilité haute,1
languiften perpetucllecrain,1
lvnattend vie,1
vie tref,1
euirer fupplice,1
fupplice eter,1
vnest honnoré,1
honnoré vie,1
defiré mort,1
diffamé vie,1
defchiréapres mort,1
befoin verifier,1
verifier cecy,1
cecy beaucoup,1
trouuós és,1
és hiftoires,1
tyrannie fidetestable,1
iusques efcholiers,1
ayent voulu,1
voulu gaignerle,1
gaignerle prix,1
tuerles tyrans,1
appelloit dia,1
tua tyran,1
tyran sycione,1
thebé mari,1
mari alexandre,1
ran phercans,1
penfer queletyran,1
queletyran puifle,1
puifle guarentir,1
guarentir force,1
plusfort empereurs,1
empereurs romains,1
auoyent quarante,1
quarante legions,1
legions ordinaires,1
autour personnes,1
affaffinez nombre,1
nombre republique,1
republique quelconque,1
mefines capitaines,1
capitaines gar,1
souvent tuez,1
chercat fiftà,1
fiftà caligula,1
repvblique mam,1
mam melus,1
melus sultans,1
quivoudra voir,1
œil là,1
là fin,1
fin niferable,1
niferable tyrans,1
lire vie,1
vie timoleon,1
verrales tyrans,1
tyrans arrachez,1
arrachez nid,1
nid tyrannie,1
depouillez ours,1
ours nuds,1
flaitriz iusques,1
iusques lamort,1
enprefence delaieuneffe,1
curs femmes,1
trainezaux cloaques,1
ftatues morts,1
morts ja,1
ja tyrannie,1
condamnecs publiquement,1
exccutees parles,1
parles bourreaux,1
os deterrez,1
gettez egouts,1
couratiers tyrás,1
