token_,count
puissance commander,6
parlement paris,5
magistrats inferieurs,4
passer outre,4
tribun peuple,4
princes souverains,3
puissance magistrats,3
approcher cour,3
magistrats fuperieurs,3
egal puissance,3
magistrats egaux,3
egaux puissance,3
college magistrats,3
magistrat inferieur,3
parlemét paris,3
parlement bourdeaux,3
recognoiflent maiesté,2
commander magistrats,2
fans exception,2
sous puissance,2
peu peu,2
toute puissance,2
pouuoir commander,2
porte parolle,2
roy vovs,2
pairs france,2
fans difficulté,2
cours souveraines,2
maius imperium,2
iuge entre,2
plusieurs lieux,2
entre plusieurs,2
tribuns peuple,2
mettre prifon,2
actions magistrats,2
garde auspices,2
iugé arrest,2
pouuons dire,2
perdu iustice,2
commeil faifoit,2
execution mandemens,2
magistrat fuperieur,2
merite cause,2
enuoyaau fupplice,1
gnon íc,1
íc prefente,1
prefente plein,1
plein vie,1
alors capitaine,1
capitaine charge,1
charge iis,1
iis executer,1
executer retourne,1
retourne proconful,1
proconful foldats,1
proconful irrité,1
irrité lcs,1
lcs mourir,1
premier parce,1
fecond parce,1
ilauoit cause,1
cause condemnation,1
homme mourirtrois,1
vfer iustement,1
abuser trefcruelle,1
ment puissance,1
autant detestable,1
appclny requeste,1
requeste civile,1
obftantla rigueur,1
rigueur difcipline,1
difcipline militaire,1
pvissance ve,1
ffrats uns,1
uns contre,1
tovte bien,1
bien ordonnce,1
ordonnce atrois,1
grez magistrats,1
appeller souverains,1
maiesté fupreme,1
moyens obeiflentaux,1
obeiflentaux uns,1
bas degré,1
ontaucun commandement,1
commandement magistrats,1
seulementfur particuliers,1
particuliers sujets,1
sujets reffort,1
quant magistrats,1
magistrats souverains,1
uns puissance,1
magistrats fans,1
pouuoir magistrats,1
magistrats sujets,1
sujets iurifdition,1
quant magilftrats,1
magilftrats souverians,1
recognoiflent fouuc,1
fort peu,1
moins prefent,1
prefent anciennemét,1
estat enuahi,1
enuahi quitient,1
quitient sous,1
degré monter,1
monter souveraincté,1
principalement magistrat,1
fans compagnon,1
force main,1
preuoft dcl,1
prafeélum pratorio,1
lequel commande,1
ment furtousles,1
furtousles vagiftrats,1
vagiftrats partoutl,1
lations gouuerneurs,1
iaçoit premiers,1
premiers ccft,1
ccft estat,1
pitaincs legions,1
legions prætoriaines,1
seius strabo,1
premier pourueu,1
pourueu office,1
office sous,1
scianus sous,1
sous tibere,1
donnerent peu,1
peu toute,1
lieutenans generaux,1
amis intimes,1
intimes defchargeant,1
defchargeant cognoiffance,1
cognoiffance detoutes,1
detoutes affaires,1
auoyentaccouftumé iuger,1
futla caufc,1
lus gransturifconfultes,1
martian sous,1
sous othon,1
papinian sous,1
sous seuere,1
vlpian sous,1
sous alexandre,1
cust diuifé,1
diuifé armes,1
gens iustice,1
estat preuoft,1
preuoft diuifé,1
amoindrir puissance,1
autant pouuonsnous,1
pouuonsnous dire,1
dire grans,1
grans maires,1
maires palais,1
princes franceen,1
franceen royaume,1
tenant general,1
general roy,1
aufquels pourroit,1
pourroit aucunement,1
aucunement aparagerle,1
aparagerle remier,1
remier bafcha,1
bafcha turquie,1
edegnare ægypte,1
cubs peinte,1
peinte sultans,1
maisle premier,1
premier bafcha,1
bafcha cede,1
cede enfans,1
enfans prince,1
abfence pere,1
commandement furles,1
furles capitaines,1
capitaines desforte,1
estat ve,1
puissance souveraine,1
souveraine decommäder,1
decommäder àtous,1
àtous magistrats,1
officiers fans,1
doit donner,1
donner seu,1
cas neceffité,1
parcommiflion seulement,1
onfaifoit anciennement,1
anciennement dictateurs,1
maintenant regens,1
absence fureur,1
bas aage,1
aage princes,1
bié certain,1
certain pen,1
pen prefence,1
prefence souverain,1
commiffaires cefle,1
ettoutainsi quetouts,1
quetouts fleuues,1
fleuues per,1
dent leurnom,1
amboucheure mer,1
mieres celestes,1
celestes prefence,1
prefence fouleil,1
perdent clarté,1
femblent rendre,1
rendre lumie,1
parolle pourle,1
pourle prince,1
prince souverain,1
foitau conseil,1
conseil privé,1
foiten cour,1
cour souveriane,1
vfe mots,1
vovs picr,1
etsi roy,1
roy abfent,1
prefident tenantla,1
tenantla place,1
place roy,1
roy dessus,1
dessus princes,1
ceroit fuiuant,1
advis pluralitéjau,1
pluralitéjau nom,1
nom cour,1
college puissance,1
iurifdiétion ordinaire,1
autant chancelier,1
chancelier poyet,1
poyet prefident,1
prefident conseil,1
fence duroy,1
duroy vfoitsouvent,1
vfoitsouvent deceste,1
deceste forme,1
forme parler,1
eze maiesté,1
outre poinéts,1
quoy plusieurs,1
verification edits,1
roy prefent,1
veuquela courales,1
courales mains,1
mains lices,1
aquele roy,1
roy commande,1
pourquoy porte,1
parolle roy,1
enceste forte,1
leroy vousdiét,1
lereply ceslettres,1
ouy procureur,1
fans mettre,1
advis prefence,1
