token_,count
nom collectif,4
plusieurs familles,3
puissance souveraine,3
plusieurs colleges,3
peu peu,3
quelques uns,3
colleges luges,3
bien souvent,3
dire corps,2
fans college,2
mot communauté,2
enuers sujets,2
princes magistrats,2
parle moyen,2
loix publiques,2
plufpart temps,2
vraye iustice,2
loy dieu,2
colleges inftituez,2
colleges particuliers,2
droit college,2
voix deliberative,2
collegues particulier,2
partie college,2
laiffer testament,2
toutela repub,2
foient iugez,2
parlement paris,2
iuge ordinaire,2
doitauoir lieu,2
tousen particulier,2
faire ordonnáce,2
fufift tiers,2
tiers college,2
estats corps,2
peuuent faire,2
tiers foyent,2
appeller lesautres,2
cü omnes,2
bien certain,2
puissance faire,2
comunautez licites,2
foyent punis,2
chefs punis,2
faute quelques,2
come difoit,2
roy henry,2
empereur charles,2
estats populaires,2
celle iuifs,2
estats aristocratiques,2
iustes royautez,2
estat populaire,2
estats peuple,2
estats particuliers,2
ordonné douze,2
corps colleges,1
pres parlé,1
parlé famille,1
iut dire,1
ordre nature,1
nature fui,1
uent famille,1
origine detoutes,1
detoutes commu,1
difons donc,1
donc premierement,1
premierement cause,1
cause corps,1
esen general,1
lamaniere punir,1
dernier lieu,1
lieu republiques,1
telle parties,1
communauté plusieurs,1
plusieurs chefs,1
chefs famille,1
bien famille,1
famille fans,1
toutainsi plusieurs,1
familles allices,1
allices amitié,1
auff plusieurs,1
plusieurs corps,1
communautez alliez,1
alliez puissance,1
puissance souveriane,1
famille communauté,1
communauté naturelle,1
college communauté,1
communauté civile,1
republique cela,1
munauté gouuernee,1
gouuernee puissance,1
aurany corps,1
ainsfeulemét plusieurs,1
parainsi mot,1
commun famille,1
proprementle corps,1
origine descorps,1
colleges venue,1
venue famille,1
tige principal,1
forty plusieurs,1
plusieurs branches,1
neceffaire ba,1
ftir maifons,1
voifiner orte,1
iusques mültitude,1
mültitude pouuát,1
pouuát mts,1
mts viure,1
viure lieu,1
efcarter plusloin,1
peu villages,1
villages cftans,1
cftans faits,1
faits bourgs,1
fcparez biens,1
fans magistrats,1
fans principauté,1
principauté souveraine,1
entroient aifément,1
aifément querelles,1
commes lifonsmesmes,1
lifonsmesmes és,1
fainctes efcritures,1
chaffoient foibles,1
foibles maifons,1
enuironner bourgs,1
bourgs foffez,1
railles telles,1
allierenfemble focictez,1
defendre maïfons,1
inuafion plusforts,1
carle poinét,1
farentreles premiers,1
premiers hommes,1
ruiner hommes,1
rendre efclanes,1
lifons thucidi,1
ilfe fiifoitmesmesen,1
fiifoitmesmesen toute,1
toute grece,1
grece peuauparauant,1
peuauparauant aage,1
republique auquel,1
auquel tempsle,1
tempsle brigandage,1
controit quelques,1
quelques voyagers,1
voyagers allas,1
allas mer,1
mer terte,1
premiere cho,1
ditlemesme autheur,1
mander unsaux,1
estes brigans,1
brigans mefheurs,1
mefines pia,1
ariftote mis,1
mis entre,1
entre efpeces,1
efpeces chafe,1
chafe brigandage,1
come hebricux,1
appellent grands,1
grands voleurs,1
puiffans veneurs,1
veneurs quefut,1
quefut nimroth,1
quoy femble,1
femble quela,1
quela loy,1
loy desolon,1
acu efgard,1
permet genéralément,1
genéralément for,1
mesmes predantur,1
predantur aus,1
pourueu enuers,1
premier traité,1
traité entre,1
entre romains,1
romains passeroientpoint,1
passeroientpoint beau,1
beau promontoire,1
vltra promontorium,1
promontorium pulchris,1
prada mercatura,1
mercatura gratia,1
gratia romanine,1
romanine nauigante,1
ditpolybe liure,1
cesar temps,1
mefmies arlat,1
arlat desalemans,1
desalemans dir,1
latrocinia nullam,1
nullam babent,1
babent infamiam,1
extra fines,1
fines cuinfque,1
cuinfque ciuitatis,1
ciuitatis ax,1
ax caiuuentutis,1
caiuuentutis exercenda,1
ac defidie,1
defidie minuéde,1
minuéde cag,1
cag fiers,1
fiers predicant,1
impunité voler,1
encores princes,1
ioindre parami,1
defenfe uns,1
uns desautres,1
faire communautez,1
crecs appellét,1
appellét peurs,1
herpes fratres,1
foyenten puys,1
ilsappellent frear,1
lont villageois,1
villageois vfans,1
vfans mesmefontaine,1
doriens appellentpaga,1
appelloit dexua,1
està dire,1
dire village,1
geoient ordinairement,1
ordinairement enfemble,1
ditfeste lafo,1
communauté entretenoit,1
commela flamme,1
flamme facree,1
montra premiere,1
premiere ardeur,1
ardeur entre,1
entre mary,1
meres enfans,1
freres entr,1
proches patens,1
parens alliez,1
peu fustrefroidie,1
dutout estainte,1
entretenue alliances,1
vnion defquelsa,1
defquelsa maintenu,1
maintenu plusieurs,1
plusieurs peuples,1
fansforme republique,1
efcric peuple,1
peuple hebrieu,1
hebrieu lon,1
guement fans,1
fans princes,1
viuant plaifir,1
plaifir tou,1
maisils entretenus,1
entretenus parcommunautez,1
parcommunautez familles,1
pourfuyuis descnnemis,1
auquel is,1
is donnoient,1
donnoient puissance,1
fcauoir dieu,1
dieu infpi,1
familles vnies,1
vnies ensemble,1
faifoit republique,1
moyen delapuissancesouveriane,1
pourquoy premiers,1
premiers princes,1
encores deícou,1
uert difficultez,1
ade maintenir,1
maintenir sujets,1
sujets pariustice,1
noientles confrairies,1
afin parties,1
corps republique,1
republique cftans,1
fuit ailé,1
ailé lad,1
lad os,1
ó ap,1
aifé dereiglertoute,1
dereiglertoute republique,1
voyons numa,1
numa roy,1
legiflateur romains,1
cftablit confrairies,1
colleges meíliers,1
chacune confrairie,1
confrairie ordonna,1
ordonna patrons,1
aboly lenom,1
lenom dessabins,1
ment romains,1
confrairie marchans,1
fustbaillé mercure,1
mercure patron,1
exemple solon,1
communautez permifes,1
uecpouuoir faire,1
faire ftatuts,1
ftatuts tels,1
nefust cótre,1
cótre loix,1
lycurgueaussi feulemét,1
feulemét permit,1
encores estroittement,1
estroittement commanda,1
entretenir celles,1
celles communau,1
lessujets prinfent,1
prinfent refeétion,1
refeétion colleges,1
colleges quinze,1
quinze quinze,1
ej ima,1
amitié iurce,1
commeaussi villes,1
villes grece,1
femblables confrairies,1
ilsappelloient tmápda,1
come italielesmesmes,1
italielesmesmes collegesestoyentappellez,1
collegesestoyentappellez sodaliria,1
entre cux,1
mangeans enfemble,1
enfemble plufpart,1
avoientautresiugesq mesmes,1
differend entreles,1
entreles compaignons,1
compaignons affo,1
amitié estlefeul,1
estlefeul fondement,1
fondement toute,1
toute focieté,1
beaucoup requife,1
requife entre,1
entre hommes,1
hommes quela,1
quela iustice,1
retenant droicture,1
faitbien souventles,1
souventles amis,1
amitié cedant,1
cedant droict,1
establift vraye,1
iustice naturel,1
leattendu feul,1
feul but,1
but loix,1
loix diuines,1
amourentre homes,1
hommes enuers,1
enuers dieu,1
mieux faire,1
vnion ordinaire,1
candiots anciennement,1
anciennement beuuoient,1
mangcoiét enfemble,1
amitié ray,1
euiter confufion,1
fexes feparez,1
mesmes voyons,1
voyons loy,1
fcftins paques,1
paques auoiresté,1
auoiresté comandez,1
comandez compaignies,1
compaignies dixà,1
dixà personnes,1
outre festins,1
festins pauillons,1
banquets ordinaires,1
ordinaires facrifices,1
dieu commande,1
ftre folennifez,1
folennifez toute,1
toute ioye,1
bien entretenu,1
entretenu enla,1
enla pri,1
mitine eglife,1
eglife chrestiens,1
ouuent tels,1
tels festius,1
baifers depieté,1
embraffemens charitables,1
uns donnoientauxautres,1
outre fraction,1
communication ordinaire,1
ortes dhommesavoient,1
dhommesavoient côfrairies,1
auoiét philosophes,1
philosophes entre,1
principalemét pythagoriens,1
fembloient ordinairement,1
viuoient plufpart,1
temps enfemble,1
voylaquantàla cause,1
progrez corps,1
fucceffion detemps,1
detemps reiglez,1
reiglez loix,1
coustumesen republiques,1
entendre facilement,1
facilement matiere,1
inftituez repvblique,1
repvblique lareligion,1
quát police,1
colleges esta,1
lis diftribuer,1
diftribuer laiustice,1
departir charges,1
donner ordre,1
ordre prouifions,1
mestiers neceflaires,1
neceflaires republique,1
etcc faire,1
faire college,1
college fera,1
fera particulier,1
peur faire,1
colleges vnis,1
vnis corps,1
come mestiers,1
tousles maiftres,1
maiftres fciences,1
outousles mapi,1
faire encores,1
tousles colleges,1
