token_,count
biens condamnez,5
pauvreté extreme,2
là nourris,2
laiffez heritiers,2
enrichir enfans,2
premier chef,2
loyers desaccufateurs,2
fomme pecuniaire,2
biens particuliers,2
gens bien,2
procureur fifcal,2
encores moins,2
uoir lieu,2
parles ordonnances,2
faire mourir,2
leze maicfté,2
fans moyen,2
releuent deluy,2
condamnez doib,1
doib uentestre,1
uentestre appliquex,1
appliquex fifque,1
bien lai,1
sex heritiers,1
chapitre depend,1
depend precedent,1
causes reduift,1
reduift lessujets,1
lessujets pauvreté,1
ofter tfe,1
biens descondánezaux,1
descondánezaux heritierslegitimes,1
js métaux,1
métaux enfans,1
ontautreappuiny efperäce,1
lafucceffió peres,1
autàt fera,1
fera gráde,1
gráde res,1
res esee,1
esee auureté,1
fera grád,1
grád nombre,1
aufquels droit,1
droit naturel,1
naturel fucceffion,1
fucceffion peres,1
peres appartiét,1
diuin doibuent,1
doibuent porter,1
porter peine,1
peine peres,1
ecnon seulement,1
seulement loy,1
loy dieu,1
naturelle femblent,1
femblent violees,1
violees telles,1
telles confifcations,1
encores difette,1
pauvreté voyent,1
voyent reduitslés,1
reduitslés enfans,1
mcímemét là,1
nourris delices,1
ouuent defefpoir,1
finir pauvreté,1
pauvreté prefle,1
nourris seigneurs,1
feruent boutique,1
ilsne commanceront,1
commanceront alors,1
alors moyens,1
moyens oftez,1
joint honte,1
contumelie infames,1
lesforce defe,1
defe bannir,1
bannir volontairement,1
ranger voleurs,1
forte con,1
pires perdu,1
perdu biens,1
lieu peine,1
peine doit,1
doit feruir,1
seulement vengeance,1
vengeance forfaits,1
diminuer nombre,1
nombre mefchans,1
feureté bons,1
vient pro,1
duire effects,1
effects couts,1
couts contraires,1
raifons briefuement,1
briefuement touchees,1
femblent neceflaires,1
empereur iuftinian,1
tiquee plusieurs,1
plusieurs pays,1
condamnez feront,1
feront laiffez,1
finon cas,1
cas leze,1
leze maiesté,1
maiesté premierchef,1
donnance nouuclle,1
contre loic,1
loic anciennes,1
donances fages,1
fages princes,1
voulu fans,1
fans cause,1
cause bien,1
bien grande,1
condamnez adiugez,1
adiugez public,1
reparation fautes,1
bien souvent,1
doitestre payeeau,1
payeeau public,1
public offenfé,1
auroit moyen,1
moyen punir,1
punir pecuniairement,1
peine ordinaire,1
qualité crimes,1
defrobbé public,1
doit farisfait,1
farisfait id,1
id cdueslbaáredvbleqve,1
cdueslbaáredvbleqve oiens,1
oiens mal,1
mal prix,1
destourner mefchans,1
mefchans aui,1
aui maux,1
maux monde,1
monde enrichir,1
bien fouuér,1
fouuér neleur,1
neleur chaut,1
chaut perdre,1
perdre vie,1
voire damner,1
foient heritiers,1
heritiers pilleries,1
oin verifier,1
verifier cecy,1
cecy exemples,1
caffius licinius,1
licinius lequel,1
lequel estanc,1
estanc accusé,1
conuaincu plusieurs,1
plusieurs larcins,1
voyant ciceron,1
alors prefident,1
prefident vestoit,1
vestoit robbe,1
robbe tiffue,1
affin prononcer,1
arrest portant,1
portant confifcation,1
confifcation biens,1
enuoya dire,1
dire ciceron,1
mort pendant,1
pendant lepro,1
parauant condemnation,1
champ deuant,1
deuant monde,1
monde estoufa,1
affin fauuer,1
fauuer biens,1
alors ciceron,1
voulut prononcer,1
ftoit bien,1
bien puissance,1
accufé fauuer,1
fauuer vie,1
vie quittant,1
quittant biens,1
iusques concurrence,1
concurrence fins,1
conclufions ac,1
plusieurs cas,1
cas femblable,1
loy sempronia,1
defendu decondamner,1
decondamner bour,1
geois romain,1
romain peine,1
peine mort,1
mefines flaitrir,1
flaitrir lo,1
lo portia,1
combien plutarque,1
mesmes ciceron,1
ciceron ecrit,1
ecrit ami,1
ami attique,1
cela entendre,1
loix dernieres,1
dernieres touchant,1
touchant peine,1
peine pillé,1
pillé public,1
estans preuenus,1
pasencores faites,1
tuez pardeíefpoir,1
fuflent coupables,1
pretium festinandi,1
dire homicides,1
homicides personnes,1
personnes auoyent,1
auoyent aduantage,1
condamné mort,1
mouruft regret,1
gnoiftre euidemment,1
euidemment plusieurs,1
plusieurs dificulté,1
dificulté dam,1
ner enrichir,1
grands foücts,1
empefche mefchans,1
ilsont enfans,1
enfans foyent,1
foyent beliftres,1
biens confifquez,1
pourquoy laloy,1
republique notable,1
notable interest,1
tans condamnez,1
condamnez foyent,1
foyent indigens,1
dire laloy,1
laloy dieu,1
attendu quc,1
quc biens,1
biens pere,1
pere pointauxenfans,1
yapoint fucceffion,1
fucceffion auquel,1
auquel iustementles,1
iustementles biens,1
biens oftez,1
oftez parauant,1
reaussi enfans,1
enfans defpoüillez,1
defpoüillez biens,1
feront induitsà,1
induitsà ven,1
figrande apparence,1
facent encores,1
encores pis,1
pis ayans,1
ayans biens,1
puissance vanger,1
dcboute enfans,1
enfans condamnez,1
condamnez premier,1
chef leze,1
sy ss,1
ss ey,1
detoutes fuccellions,1
fuccellions directes,1
laifle filles,1
moins puissance,1
puissance reuanger,1
falcidie biens,1
biens maternels,1
ilyabien inconuenient,1
condamnez laiffez,1
meurent estaints,1
trouvera personne,1
personne face,1
face frais,1
frais procc,1
dures ainsiles,1
ainsiles mefchancetez,1
mefchancetez demeureront,1
demeureront impunies,1
voila incon,1
ueniens part,1
refoudre chose,1
bien necessaire,1
necessaire iustes,1
iustes debtes,1
debtes publiques,1
publiques particulieres,1
frais procez,1
procez foyent,1
foyent pris,1
deduits biens,1
autrement ilne,1
feroit grande,1
grande poursuite,1
ment lesamendes,1
lesamendes foyent,1
foyent priles,1
priles biés,1
biés con,1
pourueu celà,1
celà pren,1
seulement meubles,1
quant propres,1
demeurét heritiers,1
crime capital,1
aqucfts foyentconfifquez,1
vendus offrant,1
frais proces,1
furplusfoit employé,1
employé œu,1
urcs publiques,1
publiques charitables,1
demeurant propres,1
propres heritierslc,1
quoy faifant,1
faifant pourra,1
pourra obuieràla,1
obuieràla pauvreté,1
extreme enfans,1
auarice calumniateurs,1
tyrannie mauuais,1
mauuais princes,1
euafion mefchans,1
impunité desforfaits,1
confifquer lespropres,1
lespropres heritages,1
heritages affectez,1
affectez familles,1
grande apparence,1
permis lesaliener,1
lesaliener partestament,1
plusieurslieux difpofition,1
difpofition entre,1
entre vifs,1
