token_,count
nombre sujets,4
bonnes meurs,4
papiers cenfiers,3
roy seruius,3
lon mettoit,3
parce moyen,3
chose belle,2
chacune ville,2
nombre peuple,2
dieu commande,2
mettoit denier,2
fix cens,2
cens cinquante,2
unt ciuium,2
ciuium capita,2
capita ccc,2
ille trouua,2
gens bien,2
denombrement biens,2
pourle moins,2
peu peu,2
reformation abus,2
empire là,2
celà depend,2
forclos senat,2
cenfure ecclefiaftique,2
inquifiteur foy,2
telles censures,2
vaut mieux,2
ensvr enbonstermes,1
rsr chose,1
autant auons,1
auons traitter,1
traitter finances,1
befoing parler,1
parler cenfu,1
trous magistrats,1
gueres sn,1
sn neceffaire,1
neceffité euidente,1
vtilité grande,1
rss ent,1
qualité personnes,1
mst ttl,1
declaration biens,1
his comment,1
comment chose,1
veu peuples,1
peuples grecs,1
latins toute,1
toute ancien,1
neté vfé,1
estimation biens,1
biens particulier,1
demofthene extraict,1
extraict papiers,1
cenfiers difoit,1
parlant peuple,1
reuenu territoire,1
atique montoit,1
montoit foixante,1
foixante talents,1
fix millions,1
efcuz couronne,1
romains imitateurs,1
imitateurs grecs,1
grecs és,1
és choses,1
choses loüables,1
fceurent trefbien,1
trefbien empoigner,1
empoigner coustume,1
porter rome,1
cause fort,1
fort loüé,1
iaçoit peuple,1
caffé edits,1
ordonnances roys,1
donné chafle,1
cenfure demeura,1
fondement finances,1
charges publi,1
continuee personne,1
personne confuls,1
confuls diftraits,1
affaires guerre,1
office cenfeurs,1
fix confuls,1
auoyent exercé,1
premiers appellez,1
appellez cenfeurs,1
cenfeurs fu,1
papirius sempronius,1
sempronius quicurent,1
æmylius mamercus,1
mamercus retrancha,1
temps censure,1
censure dixhui,1
ettostapres coustume,1
coustume fuiuie,1
fuiuie routes,1
routes villes,1
mesmement colonies,1
colonies romaines,1
apportoyent rome,1
rome papiers,1
estat rouf,1
jours continué,1
mesmes dictareur,1
dictareur celar,1
print peine,1
aller maifon,1
maifon maison,1
maison faire,1
office cenfeur,1
appellaft magiffer,1
magiffer morum,1
empereur augufte,1
augufte retour,1
retour rome,1
victoire marc,1
marc antoine,1
senat arrest,1
arrest don,1
charge cenfeur,1
appellant prefeclum,1
prefeclum morum,1
hit fois,1
fois denombrement,1
denombrement citoyens,1
citoyens romains,1
seulement bourgeois,1
bourgeois romains,1
quicftoyent efpars,1
efpars toutl,1
ainsaussi sujets,1
sujets chacune,1
chacune prouince,1
onques empereur,1
laiffaft belestat,1
belestat toucl,1
empire cestuy,1
estat difcontinué,1
difcontinué sous,1
sous latyrannie,1
latyrannie tibere,1
repris claude,1
empereur fft,1
delaiflé sous,1
sous neron,1
derechef continué,1
continué sous,1
sous vefpafian,1
fiftle xxv,1
oubs tyrannie,1
tyrannie domitian,1
nomma cenfeur,1
cenfeur perpetuel,1
cinquante enuiron,1
empereur decius,1
decius declarer,1
declarer senat,1
senat valerian,1
valerian cenfeur,1
office fuc,1
fuc delaifle,1
empire fik,1
fik decliner,1
vray elt,1
elt empereurs,1
empereurs grece,1
grece erigerent,1
erigerent bien,1
bien office,1
pellerent magifirum,1
receuoir infinuations,1
ades publiques,1
telle dignité,1
puissance anciens,1
anciens cenfeurs,1
bien certain,1
certain lcs,1
lcs villes,1
villes sujettes,1
auoyent encores,1
encores cenfeurs,1
cenfeurs sous,1
émpercur traian,1
senateurs chacune,1
ville efleuz,1
efleuz cenfeurs,1
voir cpiftre,1
cpiftre plincle,1
plincle ieune,1
fans aller,1
aller loing,1
lifons roy,1
roy childebert,1
eufronius euefque,1
euefque tours,1
lequel ordonna,1
leuaft denom,1
brement sujets,1
cores clée,1
clée venize,1
mesmement venize,1
fft magistrats,1
seignori sopra,1
sopra ben,1
ben vivere,1
annee parauant,1
auois mis,1
mis lumiere,1
parlant estat,1
auoyent oublié,1
oublié neceffaire,1
estoyentles repvblique,1
repvblique cenfeurs,1
voulu nommer,1
nommer cenfeurs,1
feuerité nom,1
