token_,count
estat populaire,43
forme republique,7
seigneurs ligues,7
plusieurs seigneurs,7
puissance souveraine,6
gens bien,6
moindre partie,5
menu peuple,5
auons monstré,4
grands perfonnages,4
republiques populaires,4
estats populaires,4
puissance commander,4
bien fort,3
gens ramaffez,3
bien souvent,3
republique populaire,3
quelques uns,3
fera tousjours,3
estat aristocratique,3
peu seigneurs,3
loix nature,2
liberté naturelle,2
populaire estle,2
bien public,2
equalité biens,2
monstré dessus,2
comment pourroit,2
plusieurs testes,2
choses facrees,2
ramaffez pieces,2
maiesté souveraine,2
affemblee peuple,2
faire magistrat,2
roy macedoine,2
rebut peuple,2
peuple mal,2
telles gens,2
peuple puissance,2
publique populaire,2
iiij republique,2
pierre soderin,2
peuple florence,2
laurens medicis,2
toute nobleffe,2
monstré deuant,2
vraye image,2
image republique,2
loy dieu,2
hommes fages,2
bien voulu,2
entre seigneurs,2
principal fondement,2
ordre nature,2
mediocrité loüable,2
conseil privé,2
aucune puissance,2
mal ailé,2
quela monarchie,2
estat peu,2
entre plusieurs,2
manier affaires,2
qualité noblefle,2
reste peuple,2
douze cens,2
conseil cens,2
quant duc,2
sept iuges,2
guerres civiles,2
tire foy,2
foy ruine,2
bien mieux,2
tousjours mieux,2
guerre civile,2
veu mesmes,2
droit fucceflif,2
uns veulent,2
quela puissance,2
prince souverain,2
plusieurs bons,2
vaut mieux,2
republique comparaison,1
publiques legit,1
legit imes,1
ct royal,1
ë puissance,1
puissance royale,1
royale eff,1
eff meilleure,1
aque fortes,1
fortes derepubliques,1
cauoir peuple,1
grande partie,1
commandeauec puissance,1
bien moindre,1
chacune loüable,1
feulemét fuyr,1
fuyr vicieu,1
prince pernicieufe,1
plusieurs pire,1
gereufc tyrannie,1
tyrannie celle,1
celle peuple,1
encores mauuaife,1
perfonc comande,1
fuyós dócces,1
dócces vices,1
faifons chois,1
chois meilleure,1
meilleure formes,1
formes legiti,1
estatlegitime populaire,1
affin queletoutíoit,1
queletoutíoit mieux,1
mieux efclarci,1
mettray comoditez,1
premiereméton dire,1
populaire loüable,1
cherche egalité,1
droiture loix,1
fans faucur,1
faucur acceptio,1
acceptio personne,1
constitutions civiles,1
civiles loix,1
diftribué richeffes,1
estats honneurs,1
honneurs uns,1
populaire tend,1
tend but,1
but là,1
efealer hommes,1
finon efgallantles,1
efgallantles biens,1
fans priuilege,1
prerogatiue quelconque,1
come lycurgue,1
lycurgue apresauoir,1
apresauoir chágé,1
estat royal,1
royal populaire,1
bruflé obligations,1
partagé terresau,1
terresau fort,1
alorsil print,1
print grád,1
grád plaifir,1
voyát champs,1
champs lestas,1
lestas gerbes,1
auarice unsretranchee,1
arrogance raualee,1
pestes pernicieufes,1
pernicieufes foyent,1
foyent republiques,1
combien moyen,1
moyen banniffoit,1
banniffoit encores,1
encores rapi,1
peuuét auoirlieu,1
lafocieté humaine,1
humaine entrete,1
nir amitié,1
equalité hors,1
quoy faisant,1
faisant liberté,1
iustice efgale,1
efgale tousjours,1
tousjours rendué,1
fans crainte,1
crainte tyränie,1
douceur viefociableà,1
viefociableà femble,1
femble reduire,1
reduire hommes,1
hommes felicité,1
felicité nature,1
nature monstre,1
encoresil femble,1
femble fort,1
fort confiderable,1
estle beau,1
quilya tousjours,1
tousjours democraues,1
democraues grands,1
grands orateurs,1
confultes tifans,1
faction peu,1
peu fei,1
neurs entr,1
monarque empefche,1
empefche sujets,1
sujets attenter,1
ilfemble quela,1
quela vraye,1
vraye marque,1
marque republique,1
populaire seulement,1
ioüift bien,1
partageant chacunles,1
chacunles biens,1
biens communs,1
lieu peu,1
feul monarchie,1
monarchie femble,1
femble tourner,1
tourner bië,1
bië public,1
public particulier,1
arien defirer,1
magistrats foyent,1
foyent obciflans,1
obciflans loix,1
sujets magistrats,1
fem ble,1
ble cela,1
cela mieux,1
mieux gardé,1
loy dame,1
oilales principaux,1
principaux points,1
dire our,1
our fouftenirl,1
beau luftre,1
luftre apparence,1
effect raifons,1
raifons femblent,1
femblent toiles,1
toiles araignes,1
fort fubriles,1
grande force,1
premier lieu,1
neus gardee,1
côme monstré,1
quant biens,1
quantaux honneurs,1
feroitaussi contre,1
contre laloy,1
laloy nature,1
uns fages,1
aussiordônéles uns,1
uns pourgouuerner,1
quant àla,1
àla liberté,1
auroit magistrats,1
estat quelconque,1
tat magifters,1
tát côtrerolleurs,1
quant bien,1
republique oùil,1
oùil mal,1
mal gouuerné,1
móftréenfon lieu,1
veut meilleur,1
meilleur iugement,1
tefmoignage digne,1
estat atheniens,1
fuiuila for,1
republiqueen tousjours,1
tousjours mefchäs,1
mefchäs meil,1
fontfoulez pieds,1
grands capitaines,1
capitaines aage,1
