token_,count
('roy', 'france'),11
('roy', 'françois'),7
('traité', 'paix'),7
('entre', 'princes'),6
('faire', 'mourir'),6
('empereur', 'charles'),5
('roy', 'macedoine'),5
('roy', 'charles'),4
('fix', 'mois'),4
('roy', 'frâce'),4
('amitié', 'perpetuelle'),4
('garder', 'foy'),4
('traité', 'alliance'),3
('roy', 'dannemarc'),3
('plein', 'senat'),3
('roy', 'louis'),3
('alliance', 'egale'),3
('peine', 'vie'),3
('traité', 'entre'),3
('entrele', 'roy'),3
('roy', 'nauarre'),3
('roy', 'caftille'),3
('faire', 'guerre'),3
('fans', 'confentement'),3
('roy', 'naples'),3
('roy', 'perle'),3
('donné', 'foy'),3
('donna', 'foy'),3
('cas', 'pareil'),3
('prince', 'souverain'),3
('marquis', 'albert'),3
