token_,count
('conseil', 'privé'),14
('advis', 'senat'),6
('conseil', 'particulier'),5
('estat', 'populaire'),4
('cens', 'senateurs'),4
('voix', 'deliberative'),4
('outre', 'senat'),4
('conseil', 'estroit'),4
('cas', 'pareil'),4
('decret', 'senat'),4
('toute', 'republique'),3
('ence', 'royaume'),3
('bien', 'souvent'),3
('entree', 'senat'),3
('empereur', 'augufte'),3
('republiques', 'populaires'),3
('fix', 'cens'),3
('senat', 'romain'),3
('anciens', 'grecs'),3
('affaires', 'fecrettes'),3
('privé', 'conseil'),3
('ad', 'senatum'),3
('conseil', 'sept'),3
('decrets', 'senat'),3
('puissance', 'commander'),3
