token_,count
('estat', 'populaire'),33
('peu', 'peu'),9
('menu', 'peuple'),6
('estats', 'populaires'),6
('guerres', 'civiles'),6
('guerre', 'civile'),6
('cftat', 'populaire'),5
('bien', 'souvent'),4
('populaire', 'monarchie'),4
('peuple', 'romain'),4
('contre', 'gré'),3
('puissance', 'commander'),3
('roy', 'fez'),3
('empire', 'romain'),3
('empereur', 'charles'),3
('neuf', 'cens'),3
('alexandre', 'medicis'),3
('grands', 'estats'),3
('cens', 'cinquante'),3
('estat', 'florence'),3
('fix', 'mois'),3
('ariftocratie', 'estat'),3
('civile', 'entre'),3
('force', 'main'),3
('estat', 'venize'),3
