token_,count
('hautes', 'planettes'),16
('mois', 'septembre'),11
('roy', 'france'),9
('creation', 'monde'),8
('ruines', 'republiques'),7
('changemens', 'notables'),7
('premier', 'roy'),7
('nombre', 'parfait'),7
('grande', 'conionction'),6
('ville', 'capitale'),6
('fin', 'monde'),6
('iour', 'septembre'),6
('roy', 'macedoine'),6
('laloy', 'dieu'),5
('sept', 'cens'),5
('iefus', 'chrift'),5
('print', 'ville'),5
('iusques', 'dernier'),5
('toute', 'nature'),4
('mouuemens', 'celestes'),4
('beaucoup', 'moins'),4
('iulius', 'maternus'),4
('prendre', 'garde'),4
('horofcope', 'ville'),4
('douze', 'degrez'),4
('monde', 'iusques'),4
('tire', 'foy'),4
('neuf', 'cens'),4
('cens', 'cinquante'),4
('deluge', 'vniuerfel'),4
('chose', 'impoffible'),4
('ayansles', 'yeux'),4
('loy', 'dieu'),4
('suede', 'depouillé'),4
('grands', 'princes'),4
('ruines', 'monarchies'),4
('harmonie', 'defaut'),4
('causes', 'naturelles'),4
('nobre', 'fix'),4
('changemens', 'republiques'),4
('dernier', 'roy'),4
('huet', 'capet'),4
('fondation', 'rome'),4
('puissance', 'dieu'),3
('grandes', 'conion'),3
('marc', 'varron'),3
('fans', 'cause'),3
('lucas', 'gauric'),3
('calcul', 'philon'),3
('dephilon', 'hebrieu'),3
('figne', 'poiflons'),3
('notables', 'republiques'),3
('estoiles', 'fixes'),3
('plusieurs', 'guerres'),3
('pluficurs', 'pays'),3
('roy', 'defrance'),3
('feize', 'cens'),3
('conionétions', 'hautes'),3
('marc', 'antoine'),3
('ville', 'hierufalem'),3
('sultan', 'suleyman'),3
('triplicité', 'aquatique'),3
('oril', 'certain'),3
('ona', 'veu'),3
('impoffible', 'nature'),3
('harmonie', 'lydiene'),3
('nobre', 'parfait'),3
('nombre', 'nuptial'),3
('faftes', 'romains'),3
('iusques', 'auguftule'),3
