token_,count
('estat', 'populaire'),8
('places', 'fortes'),6
('guerres', 'civiles'),6
('fans', 'murailles'),5
('art', 'militaire'),5
('bien', 'munie'),4
('fortifier', 'villes'),4
('fans', 'aller'),4
('bien', 'souvent'),4
('faire', 'guerre'),4
('empereur', 'charles'),4
('difcipline', 'militaire'),4
('bataille', 'contre'),3
('moins', 'encores'),3
('republique', 'bien'),3
('faire', 'teste'),3
('guerre', 'civile'),3
('seigneurs', 'ligues'),3
('menu', 'peuple'),3
('entré', 'pays'),3
('roy', 'pirrhus'),3
('prince', 'souverain'),3
('gens', 'guerre'),3
('fecours', 'alliez'),3
('ligue', 'offenfiue'),3
