token_,count
('estat', 'populaire'),43
('forme', 'republique'),7
('seigneurs', 'ligues'),7
('plusieurs', 'seigneurs'),7
('puissance', 'souveraine'),6
('gens', 'bien'),6
('moindre', 'partie'),5
('menu', 'peuple'),5
('auons', 'monstré'),4
('grands', 'perfonnages'),4
('republiques', 'populaires'),4
('estats', 'populaires'),4
('puissance', 'commander'),4
('bien', 'fort'),3
('gens', 'ramaffez'),3
('bien', 'souvent'),3
('republique', 'populaire'),3
('quelques', 'uns'),3
('fera', 'tousjours'),3
('estat', 'aristocratique'),3
('peu', 'seigneurs'),3
