token_,count
faire mourir femme,2
cftoyent contraires coustumes,1
contraires coustumes lieux,1
coustumes lieux quadil,1
ftion fuccefsions aual,1
vouloit faire indiuifible,1
faire indiuifible contrela,1
indiuifible contrela coustume,1
contrela coustume vicomté,1
coustume vicomté paris,1
lestraitez familles foyent,1
familles foyent sujets,1
foyent sujets loix,1
sujets loix chefs,1
loix chefs famille,1
chefs famille sujets,1
famille sujets princes,1
sujets princes reins,1
voila quant difference,1
difons maintenant membres,1
maintenant membres famille,1
expedient renouueller loy,1
renouueller loy repudiation,1
xp mefnagefe souuerne,1
mefnagefe souuerne commandement,1
viureà sh plaifir,1
rangee sous puissance,1
toute puissance commanderautruy,1
puissance commanderautruy publique,1
commanderautruy publique particuliere,1
puissance publique gift,1
publique gift souverain,1
ployent sous loy,1
mádement particulier chefs,1
particulier chefs mefnages,1
moindre partie toutle,1
partie toutle corps,1
toutle corps nom,1
corps nom colle,1
comandement mefnages prend,1
mefnages prend mari,1
prend mari enuers,1
mari enuers féme,1
pere enuers enfans,1
gneur enuers esclaves,1
maiftre enuers feruiteurs,1
autant droit gouvernement,1
droit gouvernement toute,1
gouvernement toute republique,1
mefnages depend fçauoir,1
depend fçauoir bien,1
fçauoir bien commander,1
dirons ordre puissance,1
ordre puissance commander,1
fuiuant diuifion auons,1
diuifion auons pofee,1
appellós liberté naturelle,1
nefoufrir comandement os,1
comandement os mesmes,1
tousjours coforme volôté,1
coforme volôté dieu,1
puifle bié có,1
ilfaut apprendre cômander,1
apprendre cômander foymesme,1
cômander foymesme rédant,1
foymesme rédant raison,1
rédant raison puissance,1
raison puissance cómander,1
hebrieux difoienten comun,1
difoienten comun prouerbe,1
comencer charité foymesme,1
estautre chose rédre,1
chose rédre ap,1
petits ployables àla,1
ployables àla raifon,1
premier commandement dieua,1
commandement dieua establi,1
dieua establi edit,1
parlant premiertua frere,1
comandement dôné parauatau,1
dôné parauatau mari,1
parauatau mari dessusla,1
mari dessusla femme,1
porte double fens,1
literal puissance maritale,1
appelle quafi tousjours,1
quafi tousjours fem,1
femble beaucoup anger,1
beaucoup anger cftrc,1
aufquelles penfoitle moins,1
penfoitle moins quandil,1
moins quandil efcriuoit,1
biena monstré lage,1
monstré lage rabin,1
theologiens difcours moral,1
pourle regard puissance,1
regard puissance mari,1
puissance mari femme,1
origine toute focieté,1
toute focieté humaine,1
entens celle ett,1
celle ett legitime,1
propre marinon concubine,1
tousles peuples regeté,1
peuples regeté bo,1
regeté bo droit,1
dons fiancecfoit sujeteau,1
fiancecfoit sujeteau fiancé,1
tenue dele fuyure,1
eutle fancéfmettre main,1
mari droit ciuil,1
fiancéauoit vfé main,1
vfé main mile,1
doit puni capialement,1
puni capialement termes,1
voire contract pallé,1
contract pallé parole,1
pallé parole prefent,1
quela loy appelle,1
cetoutesfois quela droite,1
quela droite puissance,1
droite puissance maritale,1
aquife fla femme,1
sen croire matiere,1
question profits mariage,1
femme sous puissance,1
sous puissance mari,1
esclave enfant famille,1
us enfans demeuréttousjours,1
enfans demeuréttousjours puiffan,1
ilayt emancipé fils,1
emancipé fils marié,1
famille trouble perpetucl,1
parainsi femme condi,1
sous puissance beau,1
puissance beau perezaufsi,1
beau perezaufsi bien,1
homme libre mariant,1
libre mariant fille,1
mariant fille famille,1
fille famille puissance,1
va demeurer maison,1
demeurer maison beau,1
maison beau pere,1
bien toutcautre chose,1
toutcautre chose ilioüifle,1
chose ilioüifle droits,1
romaines veulent fille,1
veulent fille mariee,1
menec amaifon mari,1
contre loy nature,1
veut maiftre maison,1
puifle donerloy àfafamille,1
côtre loy dieu,1
veut quela femme,1
quela femme lail,1
mere fuyurele mari,1
mari veux femme,1
aufsi lesloix romaines,1
exempte femme marice,1
femme marice puissance,1
marice puissance pere,1
cóme plutarque laconiques,1
lafemme bij repvblique,1
bij repvblique mariee,1
repvblique mariee parle,1
estois fille faifois,1
fille faifois cômandements,1
faifois cômandements pere,1
puifque fuis marie,1
autremét femme fouleroit,1
femme fouleroit pieds,1
fouleroit pieds cómandemens,1
pieds cómandemens mari,1
quitteroit quâd bon,1
quâd bon fembleroit,1
pretes excufantles loix,1
excufantles loix romaines,1
loix romaines ontadioufté,1
romaines ontadioufté plusieurs,1
ontadioufté plusieurs exceptions,1
incouenies refulteroiet lafemme,1
hors puissance pater,1
accord ence pointlà,1
laféme doit obeiffance,1
doit obeiffance comandemens,1
obeiffance comandemens mari,1
pointenla puissance mari,1
caril certain parla,1
certain parla loy,1
parla loy romule,1
seulementle mariauoit commandement,1
mariauoit commandement lafemme,1
pouuoir faire mourir,1
figure proces cas,1
pourauoir pole vnenfant,1
peu peula rigueur,1
peula rigueur desloix,1
adultere permis discretion,1
permis discretion parens,1
discretion parens femme,1
pratiqué temps tibere,1
mari repudiät fafemme,1
