token_,count
alliance faits entre,2
sept cantons catholiques,2
neantmoins cantons catholiques,2
efleu capitaine chef,2
toutesles villes lachaie,2
capitaines chef acheans,2
eb republique bonne,1
desaffociez partau profit,1
porte rich domage,1
elt pourquoy voyons,1
pourquoy voyons diltinétion,1
voyons diltinétion citoyés,1
diltinétion citoyés estats,1
dee prefque toute,1
outre diuifió generale,1
diuifió generale fpeciales,1
generale fpeciales beaucoup,1
fpeciales beaucoup republiques,1
nosanciens gaulois auoyentles,1
gaulois auoyentles druides,1
cóme lifons diodore,1
ancien legiflateur hippo,1
damus diuifa citoyens,1
diuifa citoyens gendarmes,1
fans cause calumnié,1
efforceatt faire citoyens,1
faire citoyens republique,1
citoyens republique egaux,1
republique egaux droits,1
jours uns moins,1
protection difference entre,1
difference entre alliez,1
entre alliez effrangers,1
prince obligé maintenir,1
obligé maintenir parla,1
maintenir parla force,1
parla force desarmes,1
desloix sujets feureté,1
sujets feureté perfonncs,1
sujets obligation reciproque,1
enuers af franchis,1
estapresfon prince fauuerain,1
laloy vse mot,1
vse mot protexit,1
th protection fpecial,1
emporte aucune sujetion,1
aucune sujetion cit,1
sujetion cit proteétion,1
comman dement proteéteur,1
fans dimi nution,1
dimi nution maiesté,1
nution maiesté adherans,1
carle prince souverain,1
maisle protecteur contente,1
accommode autruy bien,1
coit profit questuaire,1
aufft liberalement promis,1
liberalement promis faire,1
promis faire chose,1
faire chose autruy,1
quia officio merces,1
officio merces debetur,1
celle faite defédre,1
contre violence mefchans,1
quoy romule roy,1
romule roy romains,1
choifis conseil privé,1
ourles maintenir protection,1
laifferoit defense adherant,1
ignominie auoyent quité,1
tables portoit peine,1
portoit peine interdits,1
patronus clienti fraudem,1
clienti fraudem faxit,1
plutarque bien adherans,1
bien adherans bailloyent,1
argent patrons marier,1
patrons marier filles,1
ila pris lesadherans,1
pris lesadherans pourafächis,1
depuisles grands seigneurs,1
grands seigneurs derome,1
commencerent prendre protection,1
protection ville desyracufe,1
ftrangers cas pareil,1
fequentoyentla ville rome,1
auoyent auf fleurs,1
auf fleurs protecteurs,1
affranchi doitles corueesau,1
doitles corueesau patron,1
adherant doit coruces,1
dre liberté estreingrat,1
affráchi doit partie,1
doit partie fesbiés,1
partie fesbiés patron,1
adherant doit fucceffion,1
doit fucceffion protecteur,1
combien vaffal aye,1
vaffal aye beaucoup,1
aye beaucoup choses,1
beaucoup choses fem,1
forte plusieurs confusion,1
carle vaflal doit,1
vaflal doit lafoy,1
acquis seigneur droit,1
seigneur droit commis,1
jauantage vaffal homme,1
vaffal homme lige,1
departir fans onfentement,1
fans onfentement prince,1
imple vaflal pape,1
doit feruice seigneur,1
