token_,count
faire hommes libres,1
hommes libres esclaves,1
confentemét peuplesa voulu,1
acquis bonne guerre,1
vaincus foyentesclaves vaincueurs,1
chic establie tyrannique,1
veu mesmes lifons,1
laiffant enfans vneterre,1
enfans vneterre ye,1
vneterre ye acquife,1
reigle veut droit,1
veut droit guerre,1
fuperieur faire iustice,1
villes imperiales almaigne,1
faute restituer appartient,1
restituer appartient autruy,1
cela monftre bien,1
apointde fuperieur commande,1
quela force meímes,1
force meímes reputee,1
meímes reputee iuste,1
autrementíi voulons mefler,1
entre droit ennemy,1
droit ennemy guerre,1
entre iuste prince,1
entre guerre iustement,1
guerre iustement denoncee,1
anciens romains appelloient,1
romains appelloient vo,1
voyons lestyrannics bientost,1
lestyrannics bientost runies,1
mesmemét monarchies feigneu,1
commeles anciennes monar,1
estla plusancienne monarchie,1
plusancienne monarchie toute,1
monarchie toute fie,1
ao sujets esclaves,1
croyons paul louc,1
appellent esclaves grád,1
etliraifon pourquoy monarchie,1
pourquoy monarchie seigneuriale,1
monarchie seigneuriale lus,1
seigneuriale lus durable,1
lus durable quelesautres,1
sujets tiennétla vie,1
quilesa conquestezà iustetiltre,1
raualle bien fort,1
bien fort courages,1
fort courages sujets,1
esclave recognoiffant condition,1
contraire hommes quifontfrancs,1
fion veut afferuir,1
ayantle cœur genereux,1
difons maintenant monarchie,1
maintenant monarchie royale,1
rend obeiffant loix,1
obeiffant loix nature,1
delire sujets enuers,1
laiffantla liberté naturelle,1
lay adiouftéces derniers,1
adiouftéces derniers mots,1
demeurantneantmoins fcigneurs perfon,1
iladuient monarque seigneurial,1
ftement conquestéle pays,1
conquestéle pays defes,1
pays defes ennemis,1
seigneuril deuient roy,1
change monarchie seigneuriale,1
monarchie seigneuriale royale,1
pourquoy plinele ieunc,1
plinele ieunc difoit,1
ieunc difoit traian,1
principis fedem obtines,1
fedem obtines domino,1
obtines domino locus,1
dif fcrence bien,1
fcrence bien remarquee,1
bien remarquee desanciens,1
remarquee desanciens perfes,1
mesmes ariftoteauoit aduerty,1
ariftoteauoit aduerty ale,1
comporter enuers grecs,1
lant greécsfuffent iugez,1
greécsfuffent iugez vertu,1
toute laterre fuit,1
laterre fuit cité,1
lon cäp donjon,1
tay mis noftre,1
mis noftre dcfinitió,1
noftre dcfinitió sujets,1
dcfinitió sujets foyent,1
sujets foyent obeiffans,1
foyent obeiffans monarque,1
obeiffans monarque royal,1
cul gift maiesté,1
gift maiesté souveraine,1
qle roy doit,1
roy doit obeir,1
doit obeir loix,1
obeir loix nature,1
guider fesaétions là,1
fesaétions là iustice,1
là iustice naturelle,1
luifante fplendeur soleil,1
doncques vraye marque,1
vraye marque monar,1
prince rend doux,1
ployable loix nature,1
delire fagets obeiffans,1
craint dieu furtout,1
courtoisaux gens bien,1
ugets obeiflent loix,1
obeiflent loix roy,1
royaux loix nature,1
taelle roy enuers,1
roy enuers sujets,1
obeiffance sujets enuersleroy,1
douce harmonie uns,1
harmonie uns auccles,1
pourquoy monarchie doit,1
monarchie doit appeller,1
doit appeller royale,1
estat droit fucceflif,1
come ancics roys,1
hucididca trefbié remarqué,1
royaume deferé vertu,1
deferé vertu foy,1
royaume parlaloy salique,1
roy vienne election,1
faifoit temps heroïques,1
enquoy toutesfoisil con,1
aumes pays septentrional,1
royaume baillé vieil,1
faifoient arabes roy,1
donné pur don,1
esclave roy numidie,1
quiauoit eíte reduitte,1
eíte reduitte cafar,1
reduitte cafar forme,1
cafar forme prouince,1
bien come royau,1
repvbeiqve mede naples,1
sicilefut donnéà charles,1
donnéà charles france,1
resà louis france,1
louis france premier,1
france premier duc,1
futaussi pratiqué henri,1
royaume fils edouart,1
àluy fubftitua marie,1
ioint quelle testamentfut,1
quelle testamentfut confitmé,1
tifié parle peuple,1
noftre aage coíme,1
aage coíme medicis,1
cpt seigneurs per,1
parce cheual hannile,1
cheual hannile premier,1
prince conqueste royaume,1
conqueste royaume force,1
gouuerne equitablemét royau,1
itelivedu noy seruius,1
vequeenim prater vim,1
prater vim quicquam,1
vim quicquam ad,1
quicquam ad ius,1
ad ius regni,1
ius regni babebat,1
souvent veu voleur,1
faire prince vertueux,1
former iuste royauté,1
campfon roy caramanie,1
ægypte parles mammelucz,1
charles france frere,1
france frere fain,1
demandoient prince sang,1
prince sang royal,1
vicomtes danclerie nobel,1
danclerie nobel cfleus,1
nobel cfleus seigneurs,1
cfleus seigneurs milan,1
prince efleu nobleffe,1
commeles anciens arabes,1
anciens arabes elifoient,1
arabes elifoient vieil,1
laiffe definition roy,1
definition roy baillec,1
commande defir sujets,1
lieu roy deuinttyran,1
telles definitions seulement,1
definitions seulement lans,1
seulement lans fondement,1
letiltre jab emporte,1
jab emporte maiesté,1
croit incompatible icelle,1
auroit puissance doner,1
puissance doner loy,1
doner loy sujets,1
ainsau contraire feroit,1
contraire feroit contraint,1
feroit contraint receuoirla,1
contraint receuoirla loy,1
iustes princesdu môdeferoienttyrans,1
estjil trouveroit feul,1
trouveroit feul roy,1
roy neferoit fimple,1
neferoit fimple magistrat,1
rois viennent pat,1
viennent pat fucceffion,1
roy mesmes alexandre,1
um rca eevre,1
descendu droictc ligne,1
droictc ligne sang,1
droit fuc ceffif,1
fuc ceffif paruenu,1
ceffif paruenu couronne,1
faudroit confefler roys,1
poignec grecs fuflent,1
grecs fuflent barbares,1
nou monftrerons euidemment,1
monftrerons euidemment lieu,1
dange rcux estat,1
mettre roys election,1
ily fortes roys,1
trouve compte premier,1
propre peuples barbares,1
roy vient droit,1
vient droit fucceffif,1
quatriefme propre lacedemoniens,1
fuccefion perc fils,1
chef maison seigneur,1
maison seigneur esclaves,1
quant premiere forte,1
premiere forte roys,1
parauant pittacus roy,1
pittacus roy corinthe,1
timondas roy negrepont,1
honneur deuant yeux,1
tenir sujetion cíclaues,1
efcriture faincte certifie,1
faincte certifie premier,1
certifie premier monarque,1
premier monarque seigneurial,1
monarque seigneurial nemrod,1
laiffans principauté enfans,1
principauté enfans droit,1
enfans droit fucceffif,1
bien verifié fuitte,1
verifié fuitte nombre,1
fuitte nombre roys,1
nombre roys aflyriens,1
ligues venans faillir,1
peuples partie pro,1
maintenus figneuries aristocratiques,1
quant appelle roys,1
appelle roys lacedemonne,1
pitaines chef hereditaires,1
puissance royale infeparable,1
royale infeparable maicfté,1
republique aines chef,1
aines chef droit,1
chef droit fucceffif,1
souvent seigneurie donnoi,1
seigneurie donnoi charge,1
donnoi charge citoyens,1
charges capitaines chef,1
combien agesi laus,1
agesi laus fustl,1
laus fustl roys,1
charge capitaine chef,1
capitaine chef quelaseigneurie,1
chef quelaseigneurie nel,1
ent capitaines chef,1
emporte puissance roya,1
capitaines chef acheans,1
sujets estats acheans,1
damocritus capitaine chef,1
condamnerent trente escus,1
