token_,count
fans pouuoir adioufter,2
pouuoir adioufter diminuer,2
pp os os,1
os os gem,1
so men republique,1
fans lefquelles loy,1
veu loy fisnifie,1
loy fisnifie chose,1
fisnifie chose commandement,1
chose commandement souverain,1
peine appofec loy,1
forte toute force,1
toute force loix,1
gift ontle commandement,1
puissance contraindre sujets,1
hene appelloitles nerfs,1
repvdpbliqve roit condamné,1
empereur lotaire empottalc,1
lotaire empottalc pris,1
prefquetous lesautres iurifconfültes,1
difant lotaire egnam,1
lotaire egnam tulerat,1
fed axo equum,1
forte quela questio,1
quela questio demeuree,1
questio demeuree indecife,1
doit bien entendue,1
bien entendue confequence,1
entendue confequence quelle,1
confequence quelle tire,1
quelle tire foy,1
difficulté venue lo,1
defquels expofoyentles loix,1
pris garde changement,1
garde changement furuenu,1
carilest bien certain,1
bien certain ueauparauant,1
yauoit magistraten rome,1
cuflent puissance glayue,1
puissance glayue furles,1
glayue furles citoyens,1
quiest beaucoup moins,1
eulement puissance condamner,1
puissance condamner citoyen,1
condamner citoyen verges,1
requelte catonle tribun,1
catonle tribun peu,1
seulement magistrats puissance,1
pouuoir iuger citoyen,1
carle menu peuple,1
toit referuéla cognoiffance,1
perdre droit bourgeoisie,1
grands estats peuple,1
estats peuple euf,1
commce ordonné loix,1
ciceron contreuenu banni,1
diétateur sulla publiales,1
sulla publiales loix,1
publiales loix iugemens,1
loix iugemens publiques,1
lefquelles erigea titre,1
ofhices ordinaires certain,1
ordinaires certain nombre,1
debuoient iuger menu,1
iuger menu peuple,1
menu peuple iugcoit,1
telle forte lespreteursa,1
uoient leçon parefcrit,1
pouuoient passer feul,1
tiroiét fort certain,1
fort certain nombre,1
certain nombre iuges,1
nombre iuges particuliers,1
uoient cftre iuges,1
cftre iuges loix,1
iuges loix iudiciaires,1
ouy deuanttout peuplelesaccufations,1
portoit iuge tablettes,1
iuge tablettes diuerfes,1
tablettes diuerfes couleurs,1
destrois tablettes fans,1
tablettes fans mot,1
fans mot dire,1
cela faiton contoit,1
preteur vestoit robe,1
vestoit robe tiflue,1
robe tiflue pourpre,1
toiten haut fiege,1
haut fiege place,1
fiege place publique,1
revs parvm cavisse,1
parvm cavisse videtvr,1
trouvez men teurs,1
qvid mei ivdicii,1
mei ivdicii sat,1
peine loix executec,1
condamné vuidoit pays,1
ueurs faififfoient bien,1
tal mettoiten prifon,1
voylala formeordinaire condamnations,1
formeordinaire condamnations publiques,1
condamnations publiques faites,1
publiques faites parles,1
faites parles magistrats,1
estoyentque fimples executeurs,1
fimples executeurs loix,1
adioufter diminuer vnfeul,1
diminuer vnfeul poinét,1
peine portee lafentcnce,1
poflhumius ante cal,1
maias prodiiffet neque,1
prodiiffet neque excufatus,1
neque excufatus effet,1
excufatus effet repvbliove,1
effet repvbliove toiét,1
dinairemctdes gráds perfonnages,1
fans obliger loix,1
obliger loix penales,1
dutemps papinianjl empe,1
dona puissance preuoft,1
puissance preuoft rome,1
cognoiltre extraordinairement crimes,1
extraordinairement crimes quels,1
hors ville quarante,1
ville quarante lieuës,1
quarante lieuës ronde,1
auoiét cognoiflance causes,1
cognoiflance causes civiles,1
cognoifloiét pluficurs crimes,1
pluficurs crimes extraordinaires,1
loy iurifdiction trefample,1
puissance ol cestc,1
ol cestc cause,1
cestc cause appellez,1
cause appellez potestats,1
gouverneurs prouinces flentla,1
prouinces flentla puissance,1
flentla puissance glaiue,1
quisappcllentencor prefent podestats,1
orilcft notoire parles,1
notoire parles maximes,1
parles maximes droict,1
peuuentcondänerà telle peine,1
telle peine quii,1
peine quii voudtor,1
donc conclure preuoft,1
quicognoiflentextraordinairement crime public,1
execution laloy seulement,1
bié prince souverain,1
propre celui pourueu,1
propre pourueu qualité,1
pourueu qualité magistrat,1
quant premiere queltion,1
appartiennent larepublique proprieté,1
hormisen monarchie seigneuriale,1
demeurant prouifio fou,1
come auons dessus,1
peuuét cítreapropriez particuliers,1
confirmé longue poffeffion,1
longue poffeffion tiltre,1
poffeffion tiltre bonne,1
tiltre bonne foy,1
detoutes iurifdictios feudales,1
anciénement estoict commiffions,1
estoict commiffions reuocablesau,1
