token_,count
creation monde iusques,4
faire grandes choses,2
grandes choses creatures,2
confeffe merueilleux effects,2
puissance dieu monstre,2
dieu monstre ad,2
neantmoinsil retire aussitostquand,2
retire aussitostquand plaift,2
beaucoup moins effects,2
fembloit parfaite plusieurs,2
refolu parles difcours,2
parles difcours secundus,2
difcours secundus philofophe,2
quiluy meit deuátles,2
atribue pasla ruine,2
mesmes mouuemét lune,2
defquelles copernic monstré,2
recherches fontappuyees vnehy,2
soleil estoitau signe,2
opinion iulius maternus,2
tousles animaux aage,2
animaux aage parfait,2
clure soleil estoiten,2
soleil estoiten libure,2
laloy dieu porte,2
mois abib deflors,2
estle moys mars,2
fans difficulté entre,2
difficulté entre hebrieux,2
mois septembre pourle,2
septembre pourle premier,2
apparence iuger changemens,2
come plusieurs maifons,2
plusieurs maifons deuant,2
maifons deuant getter,2
deuant getter fondemens,2
caril veut dire,2
veut dire maifons,2
estofes estimees plusieurs,2
estimees plusieurs aages,2
mme ille voir,2
ille voir vitruue,2
appelle murailles detuille,2
murailles detuille cuite,2
detuille cuite feu,2
prendre thefme celeste,2
antimachus lyrius efcrit,2
diuersaccidensaduenus sept cens,2
áneetroifiefme fixiefme olym,2
peu deuanttrois heuresapres,2
deuanttrois heuresapres midy,2
loin peuple belliqueux,2
peuple belliqueux monde,2
caril met venus,2
met venus oppofiteau,2
venus oppofiteau soleil,2
chose incopatible na,2
arepris fans cause,2
fans cause iulius,2
cause iulius maternus,2
mercureloing soleil detrois,2
soleil detrois lignes,2
abfurdité grande thefme,2
grande thefme tarnu,2
met foleil taureau,2
veu auons monstré,2
souvent villes rafees,2
mesmesil differend rome,2
differend rome thefme,2
rome thefme cri,2
arresteray donc pointà,2
donc pointà telles,2
moins encoresau dire,2
encoresau dire cardan,2
fouftient derniere cftoille,2
caufé tousles grands,2
tousles grands empires,2
veut cíbloüirles yeux,2
cíbloüirles yeux ceu,2
getter dire parvneabfurdité,2
mouuement estoilles fixes,2
quela fondation derome,2
fondation derome estau,2
sen failloit fignes,2
failloit fignes entiers,2
chose estrange dire,2
horofcope ville conftätinople,2
trouvéenla librairie papeau,2
librairie papeau vatican,2
papeau vatican lettres,2
vatican lettres grecques,2
euefque lucas gauric,2
lune cinquiefme lyon,2
cueur ciel verfean,2
heures foleil leuät,2
trouve vnautre extrait,2
vnautre extrait varicä,2
ansapres iefus chrift,2
césau parauát iefus,2
lors establirentle royaume,2
establirentle royaume thrace,2
dura royaume establi,2
royaume establi gaulois,2
establi gaulois iusquesau,2
gaulois iusquesau temps,2
iusquesau temps clyarus,2
rafa fond comble,2
donnant territoire perin,2
forcee galien empereur,2
orient continuerent iusques,2
conduite baudouin comte,2
baudouin comte flandres,2
ottroyer empires monde,2
ellea cfté verticale,2
nó feulemét verticale,2
feulemét verticale lesoleil,2
verticale lesoleil estantau,2
lesoleil estantau midy,2
