token_,count
citoyens garder loix,2
prince force main,2
defaite romainsaduintle fecond,1
romainsaduintle fecond jour,1
embrafement carthage grande,1
embrafement ville romesous,1
ville romesous totilas,1
romesous totilas roy,1
totilas roy gots,1
ande chrift sept,1
chrift sept cens,1
sept cens sept,1
ticímcannec roderic roy,1
roderic roy efpaigne,1
sept césfeptáte ansapres,1
ilsen chaffez ferdinand,1
felon vray cal,1
auons exemple affez,1
exemple affez notable,1
laviétoire hebrieux côtre,1
hebrieux côtre aman,1
iusques celle iudas,1
chabec contre antioque,1
contre antioque noble,1
ouilfe trouuc cés,1
trouuc cés quaráte,1
dire sept fois,1
iour moys dadar,1
gufte cut vaincu,1
cut vaincu marc,1
vaincu marc antoine,1
empire romain fousfa,1
romain fousfa puiffancc,1
bien notable changemens,1
notable changemens estranges,1
changemens estranges aduindrentalors,1
croit chose infinie,1
plucher menu hiftoires,1
pourroit moyen recueillir,1
moyen recueillir verité,1
recueillir verité certaine,1
coniecturer aucunement changemens,1
aucunement changemens estats,1
nepubliques peuuent aduenir,1
gedes grandes conionctions,1
autant fcience telles,1
fcience telles choses,1
telles choses feureté,1
changemens repf bli,1
nefe doit faire,1
doit faire coup,1
fommairement faire pouuoit,1
autant prefomptios quenous,1
prefomptios quenous ja,1
quenous ja auons,1
ja auons remarquees,1
pourenfaire demonstration certaine,1
fcience influences celestes,1
influences celestes fetoit,1
celestes fetoit bien,1
fetoit bien cognue,1
emporteroit pointde neceflité,1
enfuit bien fageffe,1
prudence dieuadôné hommes,1
maintenir xepubliques bien,1
xepubliques bien ordonnees,1
bien ordonnees estat,1
lesfages pointsujets aftres,1
là lafchent bride,1
lafchent bride appetits,1
bride appetits déreiglez,1
peuuent cfchaperles effe,1
ts corps celestes,1
entend envn prouerbe,1
disant dicufera paflerlaroüe,1
dicufera paflerlaroüe dessuseux,1
cottuett force aftres,1
trouvé moyens chágerles,1
contre cours naturel,1
cours naturel afin,1
naturel afin guerir,1
afin guerir aifément,1
pourquoy fage politique,1
preuoyantles changemens uiaduiennent,1
changemens uiaduiennent naturellement,1
uiaduiennent naturellement republiques,1
ile remedes conuenables,1
remedes conuenables ruine,1
force mal grande,1
verra iour critique,1
issue quien aduiendra,1
fçauans medecins ac,1
césles violents fymptomes,1
violents fymptomes bons,1
homme haut degré,1
haut degré fanté,1
alors grande crainte,1
tombe extreme maladie,1
lage politique voyant,1
