token_,count
difpofer testament immeubles,2
ene melignecicar lalignee,1
fraim demeuroiéten mótaig,1
vers partie septentrion,1
mentplus robuftes sang,1
voifins rononcoient coníones,1
afin derecognoiftre uns,1
derecognoiftre uns vainqueurs,1
uns vainqueurs faifoient,1
vainqueurs faifoient prononcer,1
faifoient prononcer schibolet,1
tuez nombre quarante,1
bien certain peuple,1
certain peuple hebrieu,1
peuple hebrieu tenoit,1
hebrieu tenoit lors,1
tenoit lors plufque,1
lors plufque purité,1
plufque purité sang,1
purité sang ituiolable,1
nature lieux châge,1
lieux châge bien,1
châge bien fortla,1
bien fortla prolation,1
fortla prolation naturelle,1
prolation naturelle hommes,1
cela voir partout,1
parce peu ple,1
peu ple metvne,1
ple metvne lau,1
metvne lau lieu,1
lau lieu desautres,1
lieu desautres confones,1
prononcer beaucoup doucemét,1
geneuois meridional venitien,1
quifut lamarque venitiens,1
lamarque venitiens recogneurent,1
venitiens recogneurent lesfuyars,1
faifant pronocer cabre,1
pouuoiét venir bout,1
come cas pareil,1
cas pareil firét,1
pareil firét montpelier,1
firét montpelier édition,1
montpelier édition aduint,1
édition aduint temps,1
aduint temps roy,1
temps roy charles,1
tuer frácois läguedouy,1
forme sabins pronôçoient,1
sabins pronôçoient fircus,1
voila quant naturelles,1
quant naturelles inclinations,1
naturelles inclinations peuples,1
fcauoir quelle forte,1
quelle forte traiter,1
forte traiter capituler,1
traiter capituler auecles,1
capituler auecles uns,1
moyens remedier av,1
remedier av chan,1
etoutesles causes feditions,1
excefliues peu sujets,1
pauvreté extreme plufpart,1
histoires lon peur,1
lon peur date,1
peur date voir,1
là ontpretendu plusieurs,1
ontpretendu plusieurs causes,1
epvelique taffent bien,1
taffent bien souventautre,1
bien souventautre chose,1
souventautre chose liberté,1
auoiét peu efpargner,1
peu efpargner toute,1
efpargner toute vie,1
outreles coruces deuoiétà,1
coruces deuoiétà ceuxquiles,1
deuoiétà ceuxquiles auoiét,1
ceuxquiles auoiét afran,1
neantmoins ilsavoient nombre,1
ilsavoient nombre infiny,1
viennent ordinairement trauaillez,1
forte quefe voyans,1
quefe voyans liberté,1
payeraux creanciers profiten,1
creanciers profiten deniers,1
plusils alloient auant,1
hebrieux appellent morfa,1
seulementronge debteur iusques,1
debteur iusques os,1
ainsaussi fucce fang,1
faifoit fin pauures,1
fin pauures estans,1
pauures estans mul,1
sefleuoient contreles riches,1
pourquoy platon appelloit,1
platon appelloit richeffes,1
pourà quoy obuier,1
plusieurs fort loüee,1
appellant mere nourrice,1
mere nourrice paix,1
amitié entre fu,1
inequalité fource inimitiez,1
veutaussi haut honneur,1
veut rcueré pauures,1
loufie extreme defe,1
extreme defe voir,1
defe voir autant,1
moins acablez pauvreté,1
pourquoy plusieursanciés legiflateurs,1
plusieursanciés legiflateurs diuifoient,1
legiflateurs diuifoient biens,1
diuifoient biens egalemét,1
biens egalemét àchacun,1
egalemét àchacun sujets,1
noftrememoire thomas more,1
thomas more chá,1
quelafeule voye falut,1
voye falut publicest,1
hommes viuent communauté,1
viuent communauté biens,1
nouuelle colonie hebains,1
alla fans faire,1
riches vouloient faire,1
vouloient faire part,1
faire part biés,1
part biés pauures,1
rycurgue auecle däger,1
auecle däger vie,1
partagea egalement heritages,1
etcombien quesolon peust,1
quesolon peust faire,1
peust faire lefemblable,1
téneluy manquoit attendu,1
ottroya recifion dá,1
recifion dá obliga,1
argent receu lacedemone,1
leroy agis voulàt,1
agis voulàt reduiretoutál,1
veu beau feu,1
puisilcommencça biens pourles,1
biens pourles partager,1
pourles partager egale,1
nabisle tyran prisla,1
tyran prisla ville,1
autrepour diuifer lá,1
diuifer lá heritages,1
lá heritages cha,1
heritages cha cun,1
owantibus res ad,1
res ad plebem,1
ad plebem optimates,1
plebem optimates accen,1
qe pl xs,1
pl xs elvre,1
xs elvre cotnoviesm,1
quoy romainsayent equitables,1
mieux entendusau iustice,1
entendusau iustice peuples,1
troyé recifion generale,1
recifion generale debtes,1
tantoft our tiers,1
appailer foudain troubles,1
forte iseigneurs rhuriens,1
lemenu peuple fevoyant,1
peuple fevoyant endebté,1
chaflales riches biés,1
equalité biens uefpernicieufe,1
biens uefpernicieufe republiques,1
fondement lusaffeuré foy,1
focieté quelconque durable,1
foy gift promeffes,1
gift promeffes conuentions,1
promeffes conuentions legi,1
donc lesobligations caffees,1
tage telles abolitions,1
telles abolitions generales,1
nuisent bien souventaux,1
bien souventaux pauures,1
carles pauures vefucs,1
trebien peu rantes,1
contraireles vfuriers preuiennent,1
commeil aduintquäd solon,1
parauant vfuriers fenti,1
vfuriers fenti lafumee,1
emprunterent argent coftez,1
telles abolitions donne,1
abolitions donne occafion,1
donne occafion prodigues,1
prunterà prix cefoit,1
ioindre pauures defef,1
attente telles abolitions,1
penferoità menager fagemét,1
lesinconueniens tellesabolitionsfont grands,1
grands partage efgal,1
partage efgal terres,1
dire partage bien,1
autruy vevolericsous voile,1
yaiamais hayne gráde,1
laialoufie entre egaux,1
entre egaux fource,1
egaux fource destroubles,1
ync occafions peust,1
occafions peust mouvoir,1
peust mouvoir hippodamus,1
mouvoir hippodamus legiftateur,1
hippodamus legiftateur milefien,1
faire pauures efpoufe,1
quoy die solon,1
ila fue degtez,1
fue degtez citoyens,1
platon fiit estats,1
econdeles uns riches,1
uns riches quelesautres,1
equalité heritages coufiours,1
uifantles biens testes,1
peust voir deuant,1
voir deuant yeux,1
ayátles uns douze,1
chose feroit ridicule,1
feroit ridicule pays,1
ridicule pays pluralité,1
pays pluralité femmes,1
pluralité femmes per,1
oùiladuient souvent homme,1
souvent homme cinquante,1
homme cinquante enfans,1
iuftin efcrit herotimus,1
efcrit herotimus roy,1
herotimus roy departhe,1
roy departhe fix,1
departhe fix cens,1
fix cens enfans,1
enabien quiont voulu,1
quiont voulu obuierà,1
voulu obuierà inconuenient,1
mus legiflateur milefien,1
ariftote atrouvéfort bon,1
maisil moyen bánirle,1
moyen bánirle furplus,1
bien executer loy,1
executer loy cruelle,1
loy cruelle platon,1
lequel limitéle nombre,1
limitéle nombre decitoyensà,1
nombre decitoyensà quarante,1
taaft lefurplusau prix,1
thomas more chancelier,1
moins fcize enfansen,1
fcize enfansen famille,1
pouuoit commáderá nature,1
combien quephidon legiflateur,1
quephidon legiflateur corinthien,1
legiflateur corinthien vla,1
corinthien vla fagement,1
fant dcfenfes expreffes,1
dcfenfes expreffes baftir,1
expreffes baftir corinthe,1
baftiraux fauxbourgs paris,1
is multitude citoyens,1
empefche tousjours feditions,1
sujets foient diuifez,1
foient diuifez fans,1
diuifez fans moyen,1
adüientés republiques ordinairement,1
republiques ordinairement ouil,1
ordinairement ouil ps,1
ouil ps citoyens,1
laiffant doc arriere,1
lité republiques formees,1
uoient conferuer appartient,1
establir iustice naturelle,1
quiont voulu siecle,1
voulu siecle nombre,1
siecle nombre citoyens,1
diuifion partages doit,1
partages doit faire,1
formantvne nouuellerepubliqueés pays,1
nouuellerepubliqueés pays cóquestez,1
diuifion doit lignées,1
moins prerogatiue lyne,1
prerogatiue lyne lignees,1
fuyuant loy dieu,1
ayát choisi lignee,1
choisi lignee leuy,1
lignee leuy donner,1
leuy donner droit,1
hormis maifons villes,1
affignala difme chacune,1
difme chacune lignee,1
estoiét douze dixiefmes,1
douze dixiefmes sas,1
dixiefmes sas main,1
sas main mette,1
quireuiennérpour moins foisautat,1
moins foisautat chacune,1
foisautat chacune lignee,1
chacune lignee choses,1
lignee choses deduites,1
aineeffe referue maifon,1
auoitla difme leuites,1
chacune maison particulieremét,1
aineeffe fois aurät,1
fois aurät heritiers,1
aurät heritiers meu,1
ino defaut malles,1
defaut malles degré,1
neantmoinsa gardé entre,1
hormis celle leui,1
rage egal heritages,1
entre puifnez partage,1
puifnez partage egal,1
partage egal fuccef,1
horsle droict dubie,1
ahnquc telle inequalité,1
telle inequalité cause,1
chelles exceffiues peu,1
exceffiues peu sujets,1
viennentles meurtres entre,1
meurtres entre freres,1
troubles entre leslignecs,1
guerres civiles entre,1
civiles entre sujets,1
faits demeurent contrepoix,1
cit entre vifs,1
garde laloy dieu,1
hetitages alienez retournerontl,1
outrele droit duretrait,1
droit duretrait lignager,1
introduit loy dieu,1
quoy faifantles pau,1
contraints vendre fubuenir,1
vendre fubuenir neceflitez,1
moyen vendre fruits,1
leuces heritages iusquesau,1
heritages iusquesau cinquaticfme,1
mauuais menagers feront,1
menagers feront cotraints,1
feront cotraints faire,1
cotraints faire vie,1
faire vie dure,1
auarice conqueras fera,1
conqueras fera retrachec,1
neferoit fort confiderable,1
fort confiderable va,1
confiderable va public,1
ouuerture fefait rompre,1
fefait rompre foy,1
rompre foy iustes,1
foy iustes couentions,1
occasion mutins empoignent,1
troubler estat sousl,1
tousjours recifion debtes,1
ftoiten diminuantles interests,1
rentes quiontlonguement couru,1
ànt denier xxv,1
eít vieux mots,1
vieux mots venize,1
loy dieu quitte,1
dieu quitte debtes,1
quitte debtes creanciers,1
donne fcptiefme refpit,1
tient pourfüite debteurs,1
arresterle cours vfuriers,1
donner foulagement perpetuel,1
foulagement perpetuel pauures,1
fuiure loy dieu,1
defendu toute forte,1
loy feroit iniuste,1
pourle regard estrangers,1
permis baillerà vfure,1
vfoient prerogatiue enuers,1
prerogatiue enuers estrangers,1
loy atousjours estéfort,1
atousjours estéfort eltimee,1
estéfort eltimee legiflateurs,1
cauoir kepvblique denier,1
vfure mois reuenoit,1
tie centicíme efcu,1
centicíme efcu denier,1
vfurier tiroir profit,1
loy depuisrepublice requeste,1
depuisrepublice requeste tribun,1
requeste tribun duilius,1
duire demie once,1
demie once pat,1
once pat mois,1
paran demy denier,1
ellene pouuoit cgaler,1
pouuoit cgaler fort,1
vfure entierement interdite,1
entierement interdite loy,1
feditions ordinaires quiaduenoiét,1
ordinaires quiaduenoiét mefpris,1
quiaduenoiét mefpris loix,1
mefpris loix vfuraires,1
monterabien toftiusques haut,1
toftiusques haut poinét,1
nent sous voile,1
sous voile religion,1
attendu debteuren tire,1
debteuren tire profit,1
tire profit creancier,1
abusent loy dieu,1
loy dieu quile,1
uerture grande met,1
grande met pieces,1
aufhila permiffion choses,1
va peu licéce,1
peu licéce debordee,1
vfure centre chrestiés,1
trouvé bon republique,1
arien quiplus donne,1
faute ordinaire princes,1
ticulier trouvé bon,1
trouvé bon public,1
autant defenfe matiere,1
defenfe matiere loix,1
inutile fans peine,1
aussilaloy genutia mal,1
genutia mal executee,1
peu peu aneantie,1
tousjours forte bonesloix,1
iusquesà laloy gabinia,1
reigla haute vfure,1
hors faiét marine,1
creancier prend danger,1
prend danger foy,1
mal executee prouinces,1
oü lon prestoità,1
neceflité extreme emprunte,1
lid insatiable preste,1
peine vfuriers feuere,1
vfuriers feuere republique,1
feuere republique candie,1
vouloit emprunter faifoit,1
emprunter faifoit contenance,1
faifoit contenance ra,1
forte debteur payoit,1
pouuoit demander iustice,1
ésachaptsà erte finance,1
ilest bien vray,1
premier concil nice,1
està dire cinquante,1
emprunte téps char,1
cl bien aile,1
auantage apresla moit,1
attédu presté pouuoit,1
presté pouuoit autant,1
pouuoit autant gaigner,1
autant gaigner cult,1
gaigner cult véduau,1
cult véduau temps,1
véduau temps charté,1
debte neceffaire celle,1
neceffaire celle là,1
reiglé vfures enuers,1
vfures enuers payfans,1
enuers payfans centen,1
payfans centen deniers,1
vfüre fruits enuers,1
fruits enuers seulement,1
moulina voulu corrigerle,1
voulu corrigerle texte,1
corrigerle texte grec,1
contre verité exemplaires,1
difference bien gráde,1
bien gráde uns,1
ordonnance iuftinian pauure,1
iuftinian pauure payfan,1
receuoit bien profit,1
quite treize mines,1
treize mines blé,1
mines blé moiffon,1
douze uil empruntoit,1
uil empruntoit temps,1
empruntoit temps charté,1
feroit quite tiers,1
quite tiers mine,1
mis ordinairement bailler,1
ordinairement bailler cinquante,1
vaut beaucoup mieux,1
arrester loy dieu,1
bienfait creancier fera,1
creancier fera beaucoup,1
fera beaucoup meritoire,1
rable prester fans,1
prester fans profit,1
receuoir pauures payfans,1
vfure poignce deblé,1
cct pourquoy nehemie,1
receuoir vfure entreux,1
fuiuant exemplele decret,1
exemplele decret nice,1
decret nice inferé,1
nice inferé decrets,1
donné vogue rentes,1
vogue rentes conftituecs,1
peu vlage parauant,1
interestsont manté fihaut,1
partie pratiquees republiques,1
pratiquees republiques ligues,1
iaçoit ordonnances france,1
interests fans inte,1
paffé enforce loy,1
delà estaduenu vfuriersfuccent,1
estaduenu vfuriersfuccent clang,1
vfuriersfuccent clang pauures,1
clang pauures toute,1
pauures toute licence,1
mesmementés villes maritimes,1
genesil atel vail,1
ànt cens milducats,1
repvblioye dam centenier,1
thomas marin fois,1
marin fois autant,1
artisan mefprife boutique,1
lelaboureur quite labeur,1
noble véd heritages,1
tirer cens rentes,1
cens rentes conftituees,1
lieu réte fonciere,1
hi quince ícauent,1
quince ícauent mestier,1
ícauent mestier gaigner,1
autant craindre estats,1
craindre estats larepublique,1
prefque autant bien,1
autant bien uetout,1
bien uetout lereste,1
centiefme partie sujets,1
partie sujets republiques,1
fant tiers estat,1
neantmoins prenoient fucceflions,1
prenoient fucceflions coftez,1
gotioient reuenu benefices,1
lieux mesmemét tailles,1
mesmemét tailles perfonelles,1
esténeceffaire faire inio,1
vuider mains heritages,1
eglife certain temps,1
angleterre edit roy,1
edit roy edouart,1
acquerir aucuns immeubles,1
portéen grande charte,1
fem ble auoiresté,1
ble auoiresté auff,1
auoiresté auff defendu,1
auff defendu anciennement,1
trouuons comtes flandres,1
comtes flandres heritiers,1
flandres heritiers prestres,1
coustumeabolie pape vrbain,1
eglife vuiderleurs mains,1
vuiderleurs mains desimmeubles,1
apofer testament laizà,1
testament laizà fiance,1
pasenterréen royaume mortenlieu,1
royaume mortenlieu fainét,1
cuft laiffé chose,1
laiffé chose àl,1
offcial adreflant premier,1
adreflant premier prestre,1
