token_,count
faire fonds finances,3
cens escus couronne,3
fols fix deniers,3
millions neufcens foixante,2
faire fondsaux finances,2
paye temps guerre,2
temps roy louis,2
douze fois moindre,2
roy france paya,2
està peu pres,2
estat finances dreffé,2
squenous parlé dons,1
jw plussouventfont aflignez,1
ainsiqueles nerfs republique,1
nerfs republique finances,1
come difoit ancien,1
difoit ancien orateur,1
enauoirla vraye cognoiffance,1
premier moyenshonnestes faire,1
moyenshonnestes faire fonds,1
fecond employer profit,1
toucherons poinéts ordre,1
quant premier poinctjil,1
premier poinctjil plusieurs,1
poinctjil plusieurs gráds,1
plusieurs gráds doéteursen,1
gráds doéteursen matiere,1
fçauent beaucoup moyens,1
beaucoup moyens faire,1
moyens faire fonds,1
nont jamais vrayefcience,1
cause laiffant maiftres,1
laiffant maiftres fineffes,1
iefuiuray bien cu,1
bien cu foin,1
cu foin finances,1
cherché moyens hônestes,1
moyens hônestes fonder,1
hônestes fonder reuenu,1
fonder reuenu republique,1
víer moyens deshonnestes,1
comeilen print souventà,1
print souventà là,1
souventà là fembloient,1
là fembloient mieux,1
fembloient mieux entendus,1
mieux entendus affaires,1
entendus affaires politiques,1
cftoient contens territoire,1
maistre lycurgue enfeignez,1
vouloiét faire conquerans,1
quiau roy perfe,1
come agesi laus,1
cause seigneurie sparte,1
gaigné ennemis feroit,1
ennemis feroit gardé,1
feroit gardé autrefor,1
gardé autrefor epargne,1
trelor fans fonds,1
fucét contraints reto,1
difoit ancien capitaine,1
finances foient bafties,1
affeurees für vnfondement,1
für vnfondement certain,1
oril afept moyens,1
afept moyens general,1
moyens general faire,1
general faire fonds,1
faire fonds fináces,1
premier estau domaine,1
estau domaine republique,1
furles dons desamis,1
fixiefme marchans aportent,1
marchans aportent emportent,1
aportent emportent marchandifes,1
feptiefme impofts sujets,1
semble estrele honneste,1
quetous anciens monarques,1
tranfportoient nouuclles colonies,1
aff gnoient outre,1
gnoient outre rues,1
certains lieux propres,1
lieux propres republique,1
communs tousen general,1
certain domaine affermé,1
baillé particuliers certain,1
particuliers certain temps,1
payer rentes reuenusau,1
rentes reuenusau trefor,1
afin fubuenir fraiz,1
fubuenir fraiz republique,1
etmesmes lifons romulé,1
diuifa territoire entrois,1
territoire entrois parties,1
affignant tiers pourletem,1
rent iournaux terre,1
auroit deflors auant,1
deflors auant certain,1
auant certain temporcl,1
certain temporcl affecté,1
temporcl affecté facrifices,1
enoultrevn domaine füfifant,1
tretenir maifon roy,1
fubuenir defpenfes publiques,1
princesne greuent peuple,1
combien roys auoiét,1
roys auoiét domaine,1
auoiét domaine toute,1
long téps parauant,1
téps parauant ezechicl,1
donnecà dauid roy,1
dauid roy achis,1
demeura tousjours domaine,1
tousjours domaine roys,1
afin princes contraints,1
princes contraints dechargerd,1
monarquesonttenu po loy,1
maine ublic doitestrc,1
ublic doitestrc lainct,1
decernant lettres patentes,1
lettres patentes reünion,1
ferment venants couronne,1
ilfust dir perpetuité,1
neantmoinsil fo urs,1
fo urs sujet,1
urs sujet drachapt,1
netouchent pointle domaine,1
ordon nances royaume,1
seulement contre particuliers,1
contre princes sang,1
ausli comune roys,1
ontaccouftumé frire ferment,1
frire ferment ncrien,1
ferment ncrien aliener,1
ncrien aliener domaine,1
garde bien républiques,1
bien républiques popu,1
récoit prefcription quelcoque,1
plüfieurs voulu limiter,1
voulu limiter fix,1
mesmesle roy henry,1
uis lafeigncurie lucerne,1
obliger pourluy fomme,1
auoyerhug fiftrefponfeal ambafladeur,1
toute communauté lucerne,1
mcfmes ordonnances cftoient,1
ordonnances cftoient fainctemét,1
cftoient fainctemét gardecs,1
fainctemét gardecs belles,1
gardecs belles republiques,1
belles republiques populaires,1
republiques populaires onques,1
grands perfonnages temiftocle,1
firét faifir domai,1
ncpublic vfurpé particuliers,1
vfurpé particuliers longue,1
particuliers longue fuite,1
queiamais lshommces prefcriuétcontre,1
lshommces prefcriuétcontre dieu,1
bien souvent lestraittez,1
souvent lestraittez faits,1
lestraittez faits entre,1
faits entre princes,1
quc conferuation domaine,1
quelles princesne peu,1
uétaliener preiudice public,1
angleterre taitte pape,1
nebailleroit domaine fráce,1
domaine fráce deliurance,1
fráce deliurance roy,1
io traitté madric,1
autant couftumcancienne ceroyau,1
ordonnances peu ples,1
quiertles confentemés destroisestats,1
alexandre roy poloigne,1
fuyuant dilpofition dudroict,1
alienationfe faccen temps,1
faccen temps serre,1
lors ennemis entrez,1
ennemis entrez dedans,1
entrez dedans pays,1
méqu garde ésalienations,1
garde ésalienations biens,1
ésalienations biens pibpilliiges,1
biens pibpilliiges oi,1
tousjours estimee commeles,1
estimee commeles pupilles,1
iiij republique recifion,1
fans aquereurs puissent,1
aquereurs puissent reperer,1
puissent reperer prix,1
reperer prix chosesaliences,1
prix chosesaliences reünion,1
chosesaliences reünion domaine,1
republique apporte prince,1
apporte prince dot,1
prince dot efpoux,1
dot efpoux pourlatuition,1
roys nefe peuuentaproprier,1
nefe peuuentaproprier enforte,1
peuuentaproprier enforte quelconque,1
cause pertinax empereur,1
pertinax empereur romain,1
empereur romain effacer,1
romain effacer nom,1
effacer nom graué,1
nom graué heritagesdomaniaux,1
estoitle propre domaine,1
antonin piteuxsentretenoit biens,1
enífes propres heritages,1
commc hit bonroy,1
hit bonroy france,1
appellé pere peuple,1
voulut mefler patrimoi,1
crigeant chambre bloys,1
chambre bloys terresde,1
bloys terresde bloys,1
quelques uns pensé,1
licite princes souverains,1
republiquefoit bonne pair,1
pluspourla neceffité publique,1
quoy pericles ambaffa,1
interestà quoy financesfuf,1
affeurezen bonne paix,1
roientleuees temps paix,1
feroient miles depoft,1
miles depoft autemple,1
bien difference entre,1
difference entre letrefor,1
prince peutauoir dn,1
peutauoir dn trefor,1
dn trefor particulier,1
trefor particulier patrimoine,1
permis prendredu trefor,1
prendredu trefor public,1
anciens appelloient erarium,1
particulier sappelloit fifcus,1
jamais faute flateurs,1
ontsouvent induit princes,1
induit princes vendrele,1
princes vendrele domaine,1
vendrele domaine public,1
neantmoins appuyce fondement,1
appuyce fondement ruineux,1
gait allez domaine,1
leplus souvent acquis,1
là mesmes exempts,1
mesmes exempts charges,1
tage commiflions decernees,1
commiflions decernees pouralienerle,1
decernees pouralienerle domaine,1
vendu àla raifon,1
àla raifon denier,1
iacoit lestetres feodales,1
lestetres feodales iustice,1
feodales iustice foiét,1
iustice foiét ordinairemencestimees,1
vendues denier trente,1
ds lux eéfées,1
lux eéfées tan,1
eéfées tan ls,1
tan ls lt,1
ls lt sns,1
lt sns ms,1
sns ms vd,1
ms vd odd,1
war bet yr,1
estimee cingfols chacunfeu,1
payé jiares delà,1
jiares delà iustice,1
prenans estimation domaine,1
extraits chambre contes,1
chambre contes rendus,1
contes rendus receueurs,1
parce profit baffe,1
exerce liege principal,1
interest fomme totale,1
payé peur monter,1
accouftumé rendre conte,1
rendre conte parties,1
conte parties cafuelles,1
parties cafuelles out,1
cafuelles out vhc,1
out vhc petite,1
vhc petite partie,1
oren affermantle domaine,1
laiffent payer charges,1
payer charges felon,1
charges felon biens,1
apa foufre alienations,1
foufre alienations dudomainc,1
deniers quien reuicnnent,1
nefont mis rétes,1
mis rétes conftituees,1
penfent bien menager,1
donné moins lont,1
moins lont merité,1
faute su rachepter,1
su rachepter domaine,1
republique tombe fiebure,1
tombe fiebure chaud,1
fiebure chaud mal,1
vend aussiles commu,1
oit payer charges,1
noftreroya bien iuste,1
bien iuste cause,1
estat general finá,1
ccs drellé moys,1
drellé moys ianuier,1
faitaucune recepte domaine,1
annee roy françois,1
parle estat alienations,1
estat alienations domaine,1
toient quatorze millions,1
quatorze millions neufcens,1
vingts sept quinze,1
sept quinze fols,1
fans comprendre douze,1
pais guyenea rachepté,1
domaine roy demeure,1
roy demeure prefque,1
demeure prefque alien,1
quinze oufeize millios,1
oufeize millios pourle,1
vaut cinquante millions,1
tres terres feodales,1
estéalienez finonau denier,1
quandil feroit rachepté,1
ucroit pres millions,1
eroit pourentretenir magnifiquement,1
pourentretenir magnifiquement ja,1
magnifiquement ja maifon,1
ja maifon roy,1
payer pluspart gaiges,1
pluspart gaiges officiers,1
fans toucher charges,1
toucher charges ordinaires,1
etfi doit faire,1
doit faire comparaifon,1
estat finances royaume,1
ilbonne part domaine,1
royne entretient magnifiquement,1
entretient magnifiquement maifon,1
vray paix affeurec,1
bié feruy maintenir,1
enuoyé ciel noftre,1
ciel noftre roy,1
noftre roy hé,1
pourlarestablir premiere fplendeur,1
conferuation domaine republiques,1
mieux menagé enla,1
menagé enla monarchie,1
peuuent bien public,1
bien public particulier,1
efforceà gratifier amis,1
bien achepter faucur,1
achepter faucur peupleaux,1
faucur peupleaux defpens,1
peupleaux defpens public,1
diftribua peuple tetritoire,1
peuple tetritoire capoüe,1
rabaifferles encheres fermiers,1
apresauoir mains graiffecs,1
metellus eribun peuple,1
mandier grace popu,1
ofter peages ports,1
fftfaire distribution degrands,1
distribution degrands deniers,1
teuenoient bon finances,1
cela nece pasen,1
nece pasen monarchie,1
reuenu affeuréque domaine,1
droiét mettre impoft,1
mettre impoft lux,1
uxo ns ze,1
cas neceflité vrgente,1
entrer lus auantau,1
lus auantau domaine,1
fecond moyen faire,1
moyen faire fondsaux,1
afin remployer aucunementles,1
remployer aucunementles finances,1
aucunementles finances efpuilces,1
finances efpuilces guerte,1
doit faire peu,1
faire peu ple,1
peu ple guerrier,1
faifoientles anciens romains,1
combien fac villes,1
fac villes forceesfust,1
villes forceesfust foldats,1
trefors estoiét por,1
quant villes renduës,1
parauant difcipline militaire,1
difcipline militaire corrompue,1
finances vaincus portees,1
vaincus portees trefor,1
portees trefor rome,1
cuyuregaigné furles samnites,1
parlant gaulois delà,1
gaulois delà monts,1
delà monts dir,1
capitaine furius porta,1
furius porta capitol,1
porta capitol foixante,1
efpargne defpoüille grece,1
cens eícus couronne,1
æmilen raporta macedoine,1
raporta macedoine fois,1
fiftmettre quarante millions,1
quarante millions conte,1
liure tite liue,1
efpargne rome defpoüille,1
rome defpoüille peuples,1
defpoüille peuples vain,1
capitaines craignants reprimende,1
apportoient woufioursgrandes fommes,1
condamné groffes amendes,1
africain futaussi compris,1
escus couronne quoy,1
couronne quoy futcondamnéle,1
quoy futcondamnéle roy,1
tioque lemoyen viétoire,1
obtenu contre lay,1
combien capitaine lucule,1
capitaine lucule premier,1
enrichit defpoüille ennemis,1
bien voulu remarquer,1
ploye volontiers finances,1
volontiers finances pourles,1
finances pourles frais,1
pourles frais guerre,1
reuient efcu elpargne,1
bien souventleíacest donné,1
souventleíacest donné parauant,1
donné parauant villes,1
parauant villes oient,1
villes oient prinfes,1
orles romains contentoient,1
romains contentoient tresors,1
ainsils condamnoient vaincusà,1
condamnoient vaincusà ea,1
vaincusà ea partie,1
ea partie territoire,1
anciennement ides partic,1
eneut condamnez perdre,1
condamnez perdre quart,1
feruie roy herules,1
roy herules odouacre,1
quetempsapres hortatius roy,1
hortatius roy lombards,1
roy lombards condamnales,1
lombards condamnales vaincus,1
payertous moitié reuenu,1
moitié reuenu terres,1
romains avoientfaitaux boyens,1
avoientfaitaux boyens long,1
boyens long tempsau,1
long tempsau parauant,1
declaira pays general,1
confifquez droit guerre,1
traittant anelois fermiers,1
lesromainsíe tousjours môftrez,1
tousjours môftrez celacourtois,1
enuoyans colonies ville,1
colonies ville habiter,1
ville habiter lesterres,1
habiter lesterres conquestces,1
diftribuansà certaine quantité,1
moyen chaffoient pays,1
chaffoient pays pauures,1
contreles peuples vaincus,1
lefquels peuá peu,1
peuá peu contraétoient,1
peu contraétoient mariages,1
obeifloient volontiers romains,1
parce moyen ontremply,1
moyen ontremply terre,1
ontremply terre colonies,1
gloire immortelle iustice,1
lieu plufpart princes,1
plufpart princes vainqueurs,1
mettent garnifons gendar,1
feruent em piller,1
qué moyen apresla,1
moyen apresla conqueste,1
apresla conqueste naples,1
obeiffance denos roys,1
reuoltent contre efpaignols,1
aufh bien bas,1
bien bas pays,1
bas pays flandres,1
pays flandres premiere,1
flandres premiere occafio,1
premiere occafio prefentera,1
garnisons fans colonies,1
encorestrouuons sultan mchemet,1
sultan mchemet roy,1
mchemet roy turcs,1
trouuamoyen faire fondsaux,1
ilenuoya pays conquestez,1
ilprint moitié fruits,1
moitié continuant renteperpetuelle,1
affignant certains heritages,1
moinsjà charge defe,1
charge defe trou,1
uerenguerre feroient mandez,1
certain nombre che,1
aduenantla mort timariot,1
fruits feroient acquis,1
feroient acquis prince,1
eustpourueu timar pat,1
timar pat forme,1
pat forme debenefice,1
etgeneralement difme fucceflions,1
difme fucceflions feroit,1
fucceflions feroit prince,1
querans lés pays,1
impofition sujets anciens,1
clairs deniers finances,1
deniers finances turquic,1
guerre conduite fans,1
conduite fans noul,1
roys castille quafi,1
castille quafi lefemblable,1
quafi lefemblable indes,1
lefemblable indes occidentales,1
forme debenefice seulement,1
charge trouveren guerre,1
faifant fruicts fiens,1
fruicts fiens parforme,1
fiens parforme regale,1
prenantau furplusle quint,1
furplusle quint perles,1
efpaigne presc uatre,1
presc uatre milliôs,1
appcllele pee seuille,1
come ift cóqueste,1
ift cóqueste royaume,1
cóqueste royaume maccdoinc,1
peuple romain defchargé,1
laiz testa mentaires,1
donatiôs entre vifs,1
trancherons couri parce,1
peu prince uidonnent,1
moins encores reçoiuent,1
encores reçoiuent fans,1
reçoiuent fans rendrela,1
fans rendrela pareille,1
ca í ynprince,1
í ynprince donneau,1
ynprince donneau riche,1
empereur turqs estaller,1
turqs estaller hau,1
estaller hau lieu,1
met veuë peuple,1
prefens faits amis,1
faits amis bié,1
amis bié quiluy,1
bié quiluy fonttributaires,1
dônerà cognoiftr combien,1
cognoiftr combien ilest,1
combien ilest redoubté,1
ilest redoubté estrangers,1
defraye magnificéce tou,1
magnificéce tou ambassadeurs,1
tou ambassadeurs princes,1
ambassadeurs princes porte,1
ilfeul porte pref,1
porte pref princes,1
pref princes tiennent,1
princes tiennent ambaffadeurs,1
tiennent ambaffadeurs ordinaires,1
ambaffadeurs ordinaires trouuons,1
ordinaires trouuons anciens,1
trouuons anciens vfoyent,1
anciens vfoyent autrement,1
vfoyent autrement dons,1
huy donne souvent,1
lesanciens donnoyent aducrfité,1
lors quc annibalauoit,1
quc annibalauoit pref,1
aterré romains dominant,1
romains dominant italie,1
àromela valeur cens,1
valeur cens escus,1
ferent don remerciant,1
firentle femblable enucrs,1
femblable enucrs nic,1
ph ron roy,1
ron roy sicile,1
quileur donna couronne,1
oire heureux prefage,1
vferétainsi enuers ambraciotes,1
sb lors degráds,1
lors degráds prefens,1
fuffet extreme neceffité,1
honeur uns doner,1
jamais parcilen aduerfité,1
estoiét fuperftitieux receuoir,1
ftoiffa quelques nauires,1
enuoyerétleurs ambaffadeurs auxroys,1
ayás peu moyé,1
carle roy hieron,1
roy hieron enuoyaen,1
hieron enuoyaen pur,1
enuoyaen pur donz,1
donna orla valeur,1
orla valeur dexvirr,1
cés escus couróne,1
argét beaucoup pl,1
muids pourles facrifices,1
outre matiere infinie,1
forte seigneurie rodez,1
seigneurie rodez vicille,1
rodez vicille ftatue,1
vicille ftatue brifee,1
quelques vaifleaux froiffez,1
randement enrichie largefles,1
enrichie largefles princes,1
lifons quafi femblable,1
quafi femblable premier,1
femblable premier ptolemec,1
premier ptolemec enuers,1
ptolemec enuers ville,1
commu nauté habitans,1
aufquels enuoya valeur,1
enuoya valeur cens,1
valeur cens foixante,1
feize escus couronne,1
rachepter esclaves nation,1
vingts efcuzcouronre sacrifices,1
maffif mettre temple,1
mettre temple dieu,1
interprettes tournerent bible,1
fera sotto bien,1
sotto bien feant,1
bien feant petits,1
feant petits princes,1
accepter dons honnorables,1
dons honnorables grands,1
honnorables grands princes,1
bien conuenable peuple,1
conuenable peuple romain,1
peuple romain refufertelles,1
romain refufertelles largeffes,1
laiz testamentaires grands,1
testamentaires grands royaumes,1
auoyentregné feureté sous,1
feureté sous protection,1
honneste loyer luftice,1
decedoyent fans hoirs,1
fans hoirs mafles,1
hoirs mafles procreez,1
mafles procreez corps,1
moyen prolemee roy,1
prolemee roy cyrene,1
eumenes roy pergame,1
nicomede roy bithynnie,1
coétius roy alpes,1
polemon roy pont,1
roy pont laifferent,1
pont laifferent peuple,1
laifferent peuple romain,1
peuple romain heritier,1
romain heritier biens,1
quant dons sujets,1
anciens appelloyent oblations,1
vfent prieres obte,1
bien souvent contrainte,1
souvent contrainte telles,1
contrainte telles pric,1
entends mot don,1
liberalement offert prince,1
offert prince sujet,1
iuifs donnoyent empereurs,1
donnoyent empereurs maintenus,1
empereurs maintenus priuile,1
tourna peu peu,1
peu peu fubfide,1
peu fubfide contraint,1
iusques contrainte oftee,1
demeurans dons voluntaires,1
auoyent obtenu eris,1
oire contre ennemis,1
voluntairement ottroyé roys,1
entretenir honnestement estat,1
roys perle contentoyent,1
prefens voluntaires diuerfesefpeces,1
darius changeale premierles,1
changeale premierles efpeces,1
premierles efpeces monnoycs,1
outre péfions extraordinaires,1
temps guerre bien,1
guerre bien pourluy,1
bien pourluy faire,1
pourluy faire feruice,1
faire feruice maison,1
corte allant pays,1
faifoit pericles enuers,1
pericles enuers capitaines,1
dire queiamaisles seigneurs,1
queiamaisles seigneurs ligues,1
entretenir finances general,1
aguerrir lugers defpens,1
loir donner moyen,1
donner moyen querelleurs,1
faitneäts vuider pays,1
coptes payeur desligues,1
extraordinaires reuenoiét pourle,1
reuenoiét pourle moins,1
pourle moins fix,1
moins fix fept,1
fix fept vingts,1
fept vingts millivres,1
pasesté moindres cens,1
article penfions ligues,1
couchéau chapitre defpenfe,1
huit cens douze,1
cens douze fols,1
mans fix vingts,1
fix vingts douze,1
vingts douze millivres,1
outrela paye temps,1
gages lagarde suifles,1
expedientaux grands princes,1
grands princes donner,1
princes donner penfionsaux,1
donner penfionsaux fecretaires,1
íeruiteurs domestiques ennemis,1
experience amonstré bien,1
amonstré bien souvent,1
amoyé maintenir estat,1
forte place monde,1
place monde feratousjours,1
monde feratousjours prife,1
escus puiffe entrer,1
befoignafi bien parle,1
bien parle moyen,1
parle moyen defes,1
moyen defes penfionnaires,1
afsujetit toute grece,1
etles roys perle,1
caril bien difficile,1
bien difficile quece,1
prend neface chose,1
efperance profit aduenit,1
profit aduenit crainte,1
ila donne public,1
donne public lafcheté,1
carles princes donnent,1
princes donnent gueres,1
donnent gueres pen,1
lions notables estrangers,1
ferment contre patrie,1
almaigne diette vvormes,1
faitil cesteanneclà prince,1
cesteanneclà prince deccdé,1
offrirà ambaffadeur nom,1
ambaffadeur nom fo,1
nom fo maiftre,1
pefcher detour fo,1
detour fo pouuoir,1
ó fiftrié preiudice,1
fiftrié preiudice paye,1
tels penfiônaires fort,1
penfiônaires fort craindre,1
facile enla monarchiefondeeen,1
enla monarchiefondeeen prince,1
trefors fuflent eput,1
lob ger cdae,1
hp sel ali,1
sel ali mn,1
ali mn uq,1
mn uq iri,1
uq iri ifm,1
péfions particulieres fecrettes,1
né peuuétestre fecret,1
petit nombre harangucurs,1
lepr milescus penfion,1
estat acheás deuotion,1
estat péfions ligues,1
dónoit penfions patticulieres,1
penfions patticulieres ensuifle,1
patticulieres ensuifle neuf,1
ensuifle neuf cens,1
neuf cens personnes,1
outre penfionaires particuliers,1
neuf cens quartre,1
cens quartre vingts,1
quartre vingts dixneuf,1
cust mieux donner,1
mieux donner moitié,1
donner moitié penfions,1
moitié penfions peu,1
penfions peu gens,1
gran ds fans,1
ds fans acquit,1
voud roit biés,1
roit biés mode,1
biés mode cftredefcouuert,1
come certain milord,1
certain milord anglois,1
auquel roy louis,1
roy louis xr,1
donoit escus péfion,1
feruir defcharge enuers,1
defcharge enuers roy,1
enuers roy seulement,1
receueroit bien pélion,1
roy demädoit fottinftäment,1
coômcil couftumierfe ioücr,1
couftumierfe ioücr ennemis,1
mettre defiance uns,1
defiance uns desautres,1
dauantage ades choses,1
ades choses nó,1
choses nó feu,1
pourlefquelles payela péfion,1
viénent ligue cóte,1
quoy pericles loüé,1
lequel rendat comptes,1
rendat comptes coucha,1
comptes coucha chapitre,1
coucha chapitre defpéfe,1
chapitre defpéfe article,1
defpéfe article escus,1
fans dire ja,1
dire ja cause,1
article fans vouloir,1
loyauté perfonnage manimét,1
perfonnage manimét delarepublique,1
péfionnaire fecret deliurâtaquit,1
rié faire faueur,1
faire faueur donne,1
faueur donne lapenfion,1
cause deles faire,1
deles faire entrer,1
faire entrer querelles,1
comeil estaduenu suisse,1
estaduenu suisse plusieurs,1
suisse plusieurs fois,1
uoiét moins lesautres,1
inftrance péfions particulieres,1
péfions particulieres mises,1
particulieres mises entre,1
mises entre mains,1
entre mains receucurs,1
roy empefcha disant,1
cheroit pluftoftfa liberté,1
