token_,count
,1511
mari,45
femme,44
puissance,30
femmes,18
loy,16
bien,16
cause,13
pere,11
fans,11
maris,11
encores,9
faire,7
coustume,7
droit,7
mariage,7
aufsi,7
lafemme,7
peine,7
mort,7
romains,7
loix,6
famille,6
toute,6
enfans,6
maiftre,6
dieu,6
premier,6
forte,6
chose,6
peuples,6
doit,6
parties,6
adultere,6
cela,6
republique,5
corps,5
commandement,5
sous,5
enuers,5
plusieurs,5
fille,5
veut,5
mourir,5
parens,5
coustumes,4
repudiation,4
publique,4
comandement,4
esclaves,4
dire,4
raifon,4
maritale,4
appelle,4
fem,4
con,4
permis,4
esclave,4
cas,4
peu,4
romaines,4
contre,4
vin,4
orité,4
laloy,4
honneur,4
repudier,4
iuge,4
cap,4
chefs,3
mefnages,3
prend,3
fçauoir,3
commander,3
mesmes,3
tousjours,3
puifle,3
hebrieux,3
moins,3
regard,3
libre,3
main,3
prefent,3
quela,3
question,3
enfant,3
seigneur,3
beau,3
maison,3
sujette,3
lieu,3
monde,3
beu,3
crime,3
faifoient,3
fort,3
vie,3
peres,3
acte,3
romulus,3
monftrer,3
mot,3
magistrat,3
anciens,3
outre,3
infamie,3
perdu,3
quelaloy,3
lors,3
quelques,3
conuentions,3
feparation,3
per,3
dignité,3
verb,3
bal,3
repvblique,2
lieux,2
paris,2
sujets,2
difference,2
expedient,2
liberté,2
naturelle,2
plaifir,2
autruy,2
donne,2
personne,2
magistrats,2
particulier,2
colle,2
autant,2
homme,2
raison,2
có,2
foymesme,2
obeiflance,2
parlant,2
porte,2
double,2
fens,2
moral,2
quafi,2
principalement,2
femble,2
rabin,2
maymon,2
theologiens,2
estla,2
origine,2
humaine,2
celle,2
legitime,2
tousles,2
mauuais,2
veu,2
canoniftes,2
defamille,2
us,2
mariant,2
mariee,2
nature,2
come,2
homere,2
carla,2
parle,2
bon,2
fembleroit,2
accord,2
obeiffance,2
pouuoir,2
pourauoir,2
empereur,2
fafemme,2
combien,2
neantmoins,2
marc,2
caton,2
iurifconfulte,2
manu,2
personnes,2
qua,2
funt,2
manus,2
roy,2
royaume,2
feruitude,2
extreme,2
dot,2
gaulois,2
monstre,2
toutainsi,2
feule,2
mati,2
