token_,count
,1116
roy,20
prince,20
bien,18
vie,14
sujets,13
tyran,12
peuple,11
princes,10
mort,9
tyrannie,8
iuste,7
entre,7
tyrans,7
estat,6
là,6
bon,6
vertu,6
plusieurs,6
honneur,6
souvent,6
empereur,6
cause,5
fans,5
tousjours,5
faire,5
empire,4
monarchie,4
biens,4
fiens,4
mot,4
auoyent,4
pouuoit,4
uns,4
femmes,4
ty,4
fort,4
royal,4
ran,4
contre,4
foy,4
feruir,4
empereurs,4
republique,4
combien,4
personne,4
grands,4
mefchant,3
ennemis,3
gardes,3
impofts,3
cela,3
rans,3
peu,3
nom,3
enuers,3
moins,3
chose,3
vices,3
difference,3
mieux,3
appelle,3
dieu,3
tour,3
loix,3
plaifir,3
vertueux,3
craint,3
moyen,3
guerre,3
hiftoires,3
iusques,3
force,3
caligula,3
exemple,3
neron,3
caracala,3
parauant,3
doit,3
peuples,3
changement,3
bonté,3
veu,2
maifon,2
dannemarc,2
droit,2
commce,2
citoyens,2
tref,2
prin,2
neur,2
denis,2
falut,2
ayans,2
pays,2
voyant,2
tributs,2
cftre,2
lesautres,2
enfans,2
mal,2
hommes,2
mai,2
neantmoins,2
repvblique,2
roys,2
mourir,2
fà,2
pere,2
offices,2
romains,2
florence,2
monarque,2
quelques,2
vice,2
notable,2
tyrá,2
vertus,2
exploits,2
heroïques,2
pourquoy,2
affin,2
iustice,2
pieté,2
met,2
liure,2
peur,2
vray,2
nature,2
public,2
tuition,2
vengeance,2
venge,2
iniures,2
prend,2
quád,2
amour,2
fang,2
os,2
seulement,2
estats,2
autreles,2
donner,2
mefure,2
meurs,2
hay,2
gar,2
haute,2
honnoré,2
exemples,2
ayent,2
alexandre,2
quarante,2
personnes,2
voir,2
fin,2
parles,2
cruautez,2
infamie,2
afhn,2
lumiere,2
forte,2
ciel,2
monde,2
dira,2
ncantmoins,2
frayeur,2
loir,2
phalaris,2
heliogabale,2
ps,2
cux,2
tuer,2
senat,2
mains,2
contraire,2
xenophon,2
tiré,2
corfaires,2
villes,2
bas,2
pourle,2
fplendeur,2
feroit,2
estle,2
traian,2
quine,2
extre,2
pres,2
appeller,2
nefe,2
autrement,2
duc,2
cffrené,2
licence,2
aduient,2
douceur,2
romain,2
magistrats,2
onques,2
doux,2
finances,2
difficile,2
trouver,2
encores,2
rigoureux,2
seuerc,2
auftriche,1
continuer,1
lon,1
gue,1
fuite,1
detellespreuétions,1
royaume,1
norucgue,1
heredi,1
taire,1
voire,1
sujet,1
fucceflion,1
fémes,1
pretendu,1
douairiere,1
lorraine,1
comtefle,1
palatin,1
filles,1
criftierne,1
ontremonitré,1
marguerite,1
vvolmar,1
succeslif,1
royne,1
royaumes,1
noruegue,1
suede,1
voila,1
quát,1
royale,1
difons,1
troifieme,1
tyrannique,1
ttranniqtvf,1
iiil,1
francs,1
esclaves,1
pt,1
truy,1
grec,1
defaproprieté,1
honnorable,1
fignifioitautre,1
choseanciénemét,1
sestoit,1
emparé,1
confentement,1
defes,1
compagno,1
eítoit,1
maiítre,1
cestuy,1
sappelloit,1
tyra,1
fage,1
platon,1
refcriuät,1
penis,1
done,1
qualité,1
plat,1
refpôfe,1
tyràà,1
plato,1
monftrer,1
eltoitaussi,1
attribué,1
iuíte,1
ilapert,1
euidemment,1
pittaque,1
pc,1
riandre,1
cítimez,1
sept,1
ages,1
grece,1
estoyentappcl,1
lez,1
empictél,1
parforce,1
parfineffe,1
enuahi,1
souveraineté,1
cxpofecàla,1
mercy,1
contraints,1
feureté,1
estrágers,1
entour,1
perfonncs,1
groffe,1
garnison,1
fortereffes,1
foudoyer,1
tenir,1
leuer,1
gros,1
voyäs,1
afleurce,1
pauures,1
amys,1
puiflans,1
mettoyentà,1
banniffoyent,1
enrichir,1
perdus,1
rauifloientauec,1
extremement,1
hays,1
voulus,1
lifons,1
quedenisle,1
vieux,1
partie,1
sicile,1
milfoldats,1
garde,1
cheual,1
cens,1
galeres,1
armecs,1
frctees,1
encotes,1
rangerfi,1
afferuis,1
faisant,1
defenfes,1
affembler,1
manger,1
femble,1
parenté,1
permettoit,1
voler,1
def,1
pouiller,1
trouveroit,1
retournant,1
fouper,1
plutarque,1
confeffe,1
ila,1
pañé,1
eniustice,1
appellez,1
arrester,1
qualitez,1
attri,1
buent,1
self,1
mefchants,1
deresh,1
bles,1
prislesdeuifes,1
belles,1
tiltres,1
