token_,count
,2049
prince,59
lettres,41
magistrat,40
bien,37
magistrats,36
doit,31
faire,24
iustice,22
contre,20
edits,16
loy,16
chose,16
loix,15
ordonnances,15
puissance,14
mandement,14
mandemens,14
fans,14
peuple,13
priuileges,12
empereur,12
roy,12
republique,11
souverain,11
executer,11
sujets,10
quelques,10
estat,10
nature,10
maiesté,9
contraire,9
droit,9
autrement,9
charge,8
auons,8
souvent,8
obeir,8
foyent,8
feroit,8
verifier,8
iuste,8
fort,7
outre,7
plusieurs,7
princes,7
pluftoft,7
cause,7
debuoir,7
cela,7
inique,7
dieu,7
execution,7
passer,7
grands,6
uns,6
deuant,6
sous,6
foy,6
public,6
tion,6
dessus,6
patentes,6
seulement,6
question,6
faifoit,6
peine,6
commande,6
ferment,6
edi,6
opinion,6
iuges,6
ordonnance,6
mettre,6
publique,5
commandement,5
force,5
anciens,5
dire,5
publier,5
gens,5
combien,5
cas,5
mots,5
claufe,5
grande,5
ottroy,5
neantmoins,5
profit,5
roys,5
vray,5
con,5
civile,5
honneur,5
encores,5
prendre,5
mourir,5
naturelle,5
remonftrances,5
mande,5
temps,5
ment,5
tousjours,5
quitter,5
verité,5
loyer,4
beaucoup,4
fortes,4
iuger,4
celle,4
toute,4
temple,4
magi,4
estats,4
parle,4
personne,4
raifon,4
priuilege,4
difference,4
requeste,4
papinian,4
appartient,4
mandements,4
difoit,4
choses,4
veut,4
aucunement,4
bon,4
garder,4
cognoiflance,4
exemple,4
autant,4
iugement,4
proceder,4
voyant,4
voulu,4
publices,4
louis,4
cour,4
demettre,4
voir,4
mort,4
diuifion,3
lors,3
ofhciers,3
petits,3
faits,3
regard,3
lequel,3
particulier,3
qualité,3
comment,3
pourquoy,3
quelle,3
dignité,3
quelles,3
prouifion,3
peu,3
guerre,3
mot,3
empereurs,3
noftre,3
faites,3
importance,3
caffer,3
conscience,3
merite,3
philippe,3
deiustice,3
forme,3
icelles,3
donnee,3
quoy,3
quant,3
mieux,3
nom,3
icelle,3
difant,3
veu,3
egypte,3
iurer,3
equité,3
iniustes,3
mef,3
honneste,3
entre,3
sujet,3
prin,3
iusques,3
cognoift,3
donner,3
tenir,3
parauant,3
iniques,3
vtilité,3
naturel,3
refcripts,3
coustume,3
neron,3
erreur,3
refolu,3
publication,3
parlement,3
doubte,3
vfé,3
mesmes,3
forte,3
reuoquec,3
mesmement,3
moindre,3
dy,3
contraint,3
feront,3
vertu,3
pouuoit,3
declairer,3
nul,3
va,3
empire,3
senat,3
donné,3
celà,3
enquerir,3
vie,3
armee,3
charges,2
court,2
pris,2
choifis,2
jours,2
portez,2
parles,2
là,2
giftrats,2
donnoit,2
decommander,2
capitaines,2
courte,2
maisil,2
republiques,2
celles,2
premiers,2
peuuent,2
appeller,2
souveraine,2
fuperieurs,2
particuliers,2
qve,2
port,2
defaire,2
befoin,2
ployer,2
commander,2
foient,2
per,2
cognoiftre,2
orité,2
fou,2
vim,2
ac,2
souverian,2
personnes,2
maniere,2
lesautres,2
bié,2
edit,2
proces,2
condamnez,2
particuliere,2
defquels,2
diuerfes,2
femblable,2
comman,2
dement,2
be,2
pro,2
proprement,2
expedient,2
fecretaires,2
commandemens,2
plufpart,2
varieté,2
fimple,2
feel,2
demens,2
prouince,2
laiffant,2
notoire,2
ordinairement,2
ad,2
auquel,2
fois,2
porter,2
contrainte,2
adreffees,2
charles,2
bel,2
ticulier,2
tire,2
faifoient,2
clause,2
preteurs,2
corriger,2
cfté,2
appelloit,2
teurs,2
àla,2
declaration,2
certain,2
perfonnage,2
ceroyaume,2
vouloit,2
ftoit,2
met,2
lifons,2
plutarque,2
portent,2
cognoiffance,2
difficulté,2
come,2
porté,2
donc,2
aucune,2
tuer,2
voler,2
pauures,2
cruautez,2
villes,2
seigneur,2
tenu,2
termes,2
bornes,2
prefumer,2
vouluft,2
diftin,2
humaines,2
abfoluë,2
enuers,2
commandé,2
receut,2
ti,2
cruel,2
gouuerneur,2
loir,2
obligé,2
ftat,2
nest,2
lieu,2
moins,2
alors,2
pape,2
docteurs,2
peuples,2
affin,2
vmbre,2
ottroyez,2
entend,2
dommageable,2
feconde,2
touchant,2
long,2
fin,2
oufrance,2
iours,2
mandé,2
rebellion,2
commis,2
obtenir,2
contreuenu,2
foufrance,2
auoirfait,2
pline,2
commun,2
croit,2
claire,2
trouve,2
trouvent,2
contrai,2
opinions,2
infinie,2
tient,2
iniuste,2
difpute,2
quád,2
banni,2
bonnes,2
defenfes,2
us,2
lacour,2
menaces,2
prefident,2
nombre,2
voyantla,2
obeiffance,2
deflors,2
querir,2
fion,2
ordonna,2
mandato,2
telle,2
sm,2
verification,2
receuable,2
estar,2
commiflion,2
iceux,2
cat,2
hommes,2
sages,2
touf,2
permis,2
danger,2
propos,2
finon,2
contraints,2
reduire,2
grandes,2
forcer,2
religion,2
em,2
condamné,2
telles,2
auroit,2
actions,2
iniustice,2
def,2
note,2
anciennement,2
examiner,2
dcuant,2
interest,2
endroit,2
is,2
magiltrat,2
chancelier,2
duc,2
vaut,2
caracala,2
