token_,count
,752
magistrats,22
estat,16
republique,16
bien,11
faire,10
difcord,9
peuple,9
afin,8
contre,8
uns,7
entre,6
tousjours,6
ennemis,6
romains,6
marc,5
quoy,5
entr,5
toute,5
public,5
doit,5
corps,5
sujets,5
come,5
grands,5
contraires,5
guerre,4
moins,4
senat,4
accord,4
autant,4
falut,4
ambition,4
vertueux,4
alors,4
forte,4
peu,4
cefar,4
foyent,4
populaire,4
duc,3
perpetuel,3
peust,3
charge,3
moyen,3
civiles,3
expedient,3
humain,3
auquel,3
vnis,3
actions,3
chef,3
telle,3
honneur,3
roy,3
donc,3
dire,3
mieux,3
fans,3
gens,3
bons,3
mefchans,3
particulier,3
seigneurs,3
parties,3
dieu,3
victoire,3
monarchie,3
mois,2
louis,2
changement,2
uoient,2
fix,2
extremitez,2
affeuré,2
guerres,2
officiers,2
bon,2
foiét,2
foient,2
liaifon,2
enfemble,2
maintenir,2
hayne,2
pied,2
yeux,2
em,2
fin,2
iuger,2
pourroit,2
contraire,2
tion,2
publiques,2
quelle,2
armec,2
souvent,2
advis,2
biens,2
republiques,2
inimitiez,2
bonne,2
cofté,2
inimitié,2
homme,2
honneste,2
grads,2
beaux,2
alexandre,2
combatre,2
donna,2
diffenfion,2
quád,2
beau,2
aller,2
lieu,2
raifon,2
aufquels,2
neceflaire,2
beaucoup,2
autrement,2
demeurent,2
cincinat,2
conful,2
empefcher,2
republi,2
tribun,2
pourquoy,2
caton,2
cenfeur,2
premiere,2
mettoit,2
compaignon,2
mal,2
fois,2
aage,2
mesmes,2
romain,2
voix,2
teste,2
mauuais,2
parles,2
fort,2
con,2
contrarieté,2
froid,2
douce,2
part,2
neron,2
capitaine,2
hannibal,2
liuius,2
ruine,2
cenfeurs,2
fabius,2
max,2
dangereux,2
differend,2
lepide,2
fuluius,2
danger,2
querelles,2
gráds,2
craindre,2
prince,2
puissance,2
nombre,2
souverains,2
xrepwbeique,1
neantmoinsle,1
procureurs,1
fain,1
chäcelier,1
fecretaires,1
perpetuels,1
flo,1
rentins,1
ordonnerent,1
cftat,1
eau,1
afranchis,1
tyrannie,1
comte,1
valentin,1
voulurent,1
deflors,1
enauantfust,1
perpetucl,1
quela,1
nepublique,1
mouuement,1
cftats,1
ofhces,1
cho,1
ferme,1
stable,1
ellefe,1
repofer,1
maisl,1
ordonnácetoft,1
abolic,1
retomberét,1
auant,1
civile,1
cu,1
senateurs,1
continuez,1
changez,1
rechan,1
gez,1
gardé,1
vniuerfel,1
continuation,1
of,1
ficiers,1
continuelles,1
ditions,1
qve,1
question,1
fcauoir,1
fem,1
nd,1
blerfriuole,1
doubté,1
pedient,1
voireneceffaire,1
eps,1
magiltrats,1
vnisen,1
voloté,1
tousen,1
rs,1
semble,1
yn,1
cueur,1
consentement,1
embraffent,1
bié,1
etsilestainsi,1
ordônec,1
reffem,1
blerau,1
membres,1
ioints,1
merucilleufe,1
combien,1
neantmoins,1
quandil,1
befoin,1
ayde,1
tousjoursà,1
fecouru,1
fortifient,1
fanté,1
beauté,1
alle,1
greffe,1
toutle,1
aduenoit,1
entraffent,1
main,1
coupaft,1
dextre,1
fuplan,1
taft,1
fenestre,1
doigts,1
creuaflent,1
mebre,1
pefchaft,1
voifin,1
certain,1
demeureroit,1
tronqué,1
mutilé,1
depend,1
union,1
amiable,1
comment,1
cíperer,1
vni,1
principaux,1
doiuentallier,1
diuorce,1
deuiendrôt,1
partifans,1
bientostfe,1
feront,1
fouftenir,1
actios,1
pefcherót,1
pendát,1
mutuelle,1
magi,1
ftrats,1
foufrira,1
aduiendra,1
ift,1
puccl,1
lg,1
wm,1
mr,1
tps,1
mà,1
dllwvre,1
qvatriesmie,1
plutarque,1
pourfuiuans,1
entrerent,1
jeialoufie,1
pafflion,1
demembrerent,1
pieces,1
iflue,1
xeuton,1
attendre,1
capitainesfont,1
justice,1
clperer,1
iuges,1
diuifez,1
factions,1
veu,1
opiner,1
ialoufie,1
ioter,1
hazard,1
vie,1
agefylaus,1
lacedemoniens,1
plusilluftres,1
onques,1
raualler,1
credit,1
auctorité,1
lyfandre,1
cafloit,1
fesfentences,1
iugeoit,1
defpit,1
feulemét,1
court,1
cer,1
ainque,1
diffenfions,1
peste,1
capitale,1
prennét,1
racine,1
nourriture,1
accroiffement,1
haynes,1
neceffaire,1
tuition,1
defeníe,1
delarepublique,1
amitié,1
voi,1
ales,1
railons,1
dyn,1
estle,1
carla,1
vertu,1
illuftre,1
combatue,1
nefe,1
monstre,1
finon,1
piqué,1
exploits,1
vaincre,1
ennemy,1
lant,1
grad,1
taxilas,1
indes,1
offroit,1
royaume,1
affez,1
che,1
prest,1
receuoir,1
ioyeux,1
alexadre,1
sifaut,1
combattions,1
ensemble,1
fera,1
ditque,1
volerez,1
poinét,1
magnifique,1
ciuil,1
royal,1
alorsilluy,1
pays,1
orinfiny,1
donques,1
leshommes,1
produit,1
effects,1
hommes,1
lafches,1
poltrons,1
nature,1
poin,1
çonnez,1
viuement,1
deialoufie,1
fruit,1
quon,1
recueillir,1
malen,1
seulementafin,1
ayent,1
aucune,1
prinfe,1
urpasser,1
bun,1
debien,1
mefchäs,1
feu,1
lement,1
facent,1
encores,1
loient,1
pofleffion,1
tyran,1
nic,1
butineront,1
ruinerôtle,1
aduenir,1
atoute,1
ind,1
treaccuferont,1
decouuriront,1
larrecins,1
concuffions,1
esbrebis,1
fontiamais,1
plusaffeurees,1
fino,1
loups,1
tremangent,1
aduient,1
philippe,1
comines,1
angleter,1
teque,1
fcigneurss,1
entretuent,1
pauure,1
ple,1
demeure,1
inuafion,1
lage,1
conseil,1
voyant,1
laonepvetptove,1
appius,1
refiftoit,1
ouuertemét,1
pourempefcher,1
lenombre,1
tribups,1
doublé,1
laiffez,1
lusils,1
ferontmoins,1
saccorderont,1
cari,1
flloit,1
feul,1
conferuer,1
quc,1
iufqu,1
clode,1
cens,1
cinquanteans,1
prefentarequeste,1
palla,1
force,1
loy,1
ordonné,1
oppofition,1
donne,1
louange,1
fageffe,1
vértu,1
faifoit,1
famille,1
tousjoursdiffenfion,1
feruiteurs,1
decouurir,1
pratiques,1
tenir,1
ceruel,1
celle,1
poufloit,1
magistrat,1
accuser,1
verfant,1
mesmeaccufa,1
cinquan,1
tc,1
quarante,1
accusé,1
craignant,1
efclaucs,1
mai,1
larepublique,1
demeuroient,1
bonsa,1
mis,1
pillaffent,1
là,1
puisla,1
nefut,1
fleurissante,1
ordonna,1
fomme,1
argent,1
bibule,1
ourachapterle,1
confulat,1
ennemi,1
debouterluceius,1
amy,1
cesar,1
suetonc,1
plusloing,1
auonsle,1
tefmoignage,1
tulle,1
memoires,1
gaulois,1
auoiét,1
couftu,1
ancienneté,1
mettre,1
pique,1
menu,1
eitoit,1
efcla,1
cftre,1
garenty,1
outrages,1
pilleries,1
faisans,1
contreroollez,1
cux,1
doubte,1
affeurec,1
ques,1
futaussila,1
cause,1
fage,1
lycurgue,1
legiflateur,1
diffenfio,1
roys,1
lacede,1
mone,1
vouloitaussi,1
enuoyaft,1
ennemisen,1
baffade,1
netrahiffent,1
treroollez,1
figure,1
