token_,count
,785
biens,26
bien,14
enfans,11
condamnez,8
confifcations,8
public,8
moyen,8
heritiers,6
dieu,6
princes,6
cause,6
foyent,6
domaine,6
fifque,5
fera,5
peine,5
seulement,5
encores,5
moyens,5
mefchans,5
leze,5
dire,5
fans,5
republique,5
publiques,5
prince,5
roy,5
faire,5
pauvreté,4
loy,4
là,4
con,4
doit,4
empereur,4
plusieurs,4
grande,4
monde,4
ciceron,4
mort,4
ac,4
condamné,4
mourir,4
laloy,4
loyers,4
delateurs,4
chose,4
propres,4
crime,4
estat,4
maicfté,4
extreme,3
peres,3
alors,3
vie,3
lieu,3
bons,3
pays,3
feront,3
finon,3
cas,3
amende,3
prix,3
enrichir,3
affin,3
parauant,3
puissance,3
apparence,3
moins,3
inconuenient,3
personne,3
frais,3
particulieres,3
autrement,3
fomme,3
meubles,3
calumniateurs,3
fin,3
accufateurs,3
donner,3
autant,3
monarchie,3
vertueux,3
acquis,3
sujets,3
faute,3
parles,3
royaume,3
coustume,3
quin,2
nombre,2
fucceffion,2
droict,2
femblent,2
nourris,2
facent,2
vanger,2
oftez,2
voleurs,2
raifons,2
exemples,2
ordonnance,2
laiffez,2
maiesté,2
anciennes,2
mal,2
caffius,2
prononcer,2
arrest,2
confifcation,2
deuant,2
fauuer,2
cufateurs,2
mefines,2
combien,2
mesmes,2
ill,2
iuges,2
estans,2
coupables,2
testaments,2
auoyent,2
grands,2
confifquez,2
pourquoy,2
attendu,2
premier,2
chef,2
cinquiesme,2
desaccufateurs,2
face,2
iustes,2
lesamendes,2
damnez,2
pecuniaire,2
pourueu,2
quant,2
vendus,2
proces,2
employé,2
œu,2
charitables,2
quoy,2
faifant,2
pourra,2
tyrannie,2
desforfaits,2
heritages,2
familles,2
permis,2
enfuit,2
eglife,2
particuliers,2
pourroit,2
calumnier,2
gens,2
argent,2
innocent,2
neantmoins,2
procureur,2
fifcal,2
poffible,2
auons,2
principalement,2
peuple,2
uoir,2
calum,2
niateurs,2
pauures,2
tousjours,2
couronne,2
neron,2
mains,2
caril,2
ordonnances,2
refponds,2
pourfaire,2
flateurs,2
condamner,2
anciennement,2
parens,2
comté,2
comte,2
àla,2
terres,2
releuent,2
deluy,2
rome,2
euiter,2
coeuvres,2
choses,2
trefor,2
liv,1
cin,1
esm,1
doib,1
uentestre,1
appliquex,1
eglise,1
lai,1
sex,1
iii,1
chapitre,1
depend,1
precedent,1
causes,1
reduift,1
lessujets,1
ofter,1
