token_,count
,2292
argent,77
deniers,57
poids,47
grains,42
monnoyes,31
marc,31
cuiure,30
roy,29
monnoye,26
prix,23
bien,23
forger,22
fin,19
peu,19
pieces,19
loy,19
fols,18
douze,17
liure,17
moins,16
beaucoup,14
autant,14
carats,14
fix,14
metaux,13
billon,13
temps,12
feize,11
escus,11
gros,11
cens,11
france,10
peuple,10
faire,10
encores,10
princes,10
forte,10
argét,10
dire,10
fol,10
efcu,10
once,10
lieu,10
royaume,9
metail,9
remede,9
moyen,9
carat,9
republique,9
huit,9
abus,9
faux,8
estain,8
partie,8
marcs,8
piece,8
tournois,8
profit,8
corps,7
fans,7
feroit,7
cours,7
perte,7
vray,7
moitié,7
quoy,7
tousjours,7
denier,7
fera,7
laliure,7
valeur,7
grande,7
fort,7
charles,7
sujets,6
prince,6
laloy,6
pur,6
empereur,6
œuure,6
couronne,6
volume,6
efpaigne,6
efgale,6
celle,6
doubles,6
quant,6
ancien,6
pays,6
mesmes,6
quatorze,6
onze,6
neuf,6
petit,6
puiffe,5
deloy,5
pape,5
monnoyeurs,5
fimples,5
mefler,5
orfeures,5
proportion,5
ouurage,5
affin,5
quars,5
reaux,5
pres,5
falfifier,5
coing,5
donner,5
quarante,5
onces,5
italie,5
fer,5
parce,5
officiers,5
maffe,5
foyent,4
deuant,4
parle,4
menu,4
feront,4
attendu,4
fion,4
monoyes,4
combien,4
defenfes,4
plomb,4
jamais,4
oü,4
souvent,4
cher,4
eau,4
peuuent,4
orà,4
hui,4
paris,4
faifant,4
toute,4
part,4
demi,4
cinquante,4
chacune,4
marque,4
petits,4
blanche,4
està,4
dragme,4
grece,4
ray,4
valoit,4
plusieurs,4
romains,4
neantmoins,4
estimation,4
chambre,4
tiers,4
mis,4
diminué,4
argentle,4
sept,4
voir,4
grecs,4
quantité,4
fois,4
dommage,4
def,4
medailles,4
res,3
plufque,3
faifoit,3
raison,3
maiftres,3
hormis,3
fils,3
icelle,3
particulier,3
doit,3
choses,3
personne,3
estat,3
chose,3
quiest,3
pied,3
philippe,3
pierre,3
arragon,3
come,3
differente,3
donc,3
rome,3
peine,3
ordonnance,3
lors,3
telle,3
bonté,3
vouloir,3
hors,3
moindre,3
leger,3
ment,3
xxr,3
quart,3
françois,3
foible,3
neceffaire,3
difent,3
affiner,3
difficulté,3
xxii,3
vnze,3
decuiure,3
noftre,3
marchans,3
valent,3
befoin,3
celles,3
cause,3
anciennement,3
payez,3
huitiefme,3
xxiii,3
anciens,3
pline,3
francs,3
lieux,3
lifons,3
dauantage,3
tour,3
valoir,3
sous,3
dorer,3
fept,3
ioint,3
blancs,3
autruy,3
iusques,3
niers,3
voit,3
quinze,3
foixante,3
venize,3
pefant,3
appelle,3
forgé,3
xxix,3
dixhuit,3
ca,3
trouvé,3
outre,3
estla,3
mónoye,3
droit,3
monnoycs,3
haute,3
certain,3
forgeaft,3
voftre,3
efgal,3
nt,2
hommes,2
gleterre,2
pourla,2
ry,2
porté,2
comptes,2
foy,2
monde,2
icy,2
rié,2
pauure,2
icelles,2
incroyable,2
inconueniens,2
ila,2
gaiges,2
ordonnances,2
finances,2
ront,2
craindre,2
fal,2
ilfe,2
malorque,2
roys,2
fuiuant,2
fenfes,2
billonneurs,2
foiblages,2
meflange,2
couleur,2
nature,2
obuier,2
tion,2
biens,2
miftion,2
ze,2
vage,2
mi,2
fonte,2
neceflaire,2
pourle,2
mettre,2
tienne,2
regard,2
desmonnoyes,2
ouurages,2
ordinaires,2
prefque,2
matiere,2
archimede,2
defrobé,2
vfage,2
print,2
caril,2
aliage,2
iacoit,2
pale,2
impoffible,2
iu,2
combienil,2
cogneu,2
difference,2
autát,2
xix,2
forgéen,2
parles,2
defenfe,2
affineurs,2
afhnement,2
poinçon,2
dechet,2
faisant,2
cfgale,2
gent,2
vint,2
quatriefme,2
feu,2
ciment,2
fragilité,2
regions,2
efpeffeur,2
dont,2
pourront,2
donnance,2
xl,2
abufer,2
changement,2
commeil,2
efpai,2
differentes,2
payement,2
amendes,2
droits,2
comun,2
forge,2
louis,2
xxu,2
rentes,2
téps,2
quin,2
orientales,2
mains,2
roüilleure,2
nouslifons,2
estoitàla,2
estima,2
meilleur,2
cét,2
dira,2
diminution,2
entre,2
cinquiefmes,2
deforte,2
parcy,2
xv,2
nois,2
septentrion,2
hebrieux,2
perfes,2
republiques,2
palais,2
doré,2
temple,2
roüil,2
necef,2
auf,2
raportent,2
notable,2
confentement,2
occident,2
arrester,2
retenant,2
diminue,2
dir,2
croit,2
liards,2
occa,2
argentà,2
estranger,2
veu,2
kk,2
mal,2
bel,2
ccc,2
nouueaux,2
cccc,2
leroy,2
demeurant,2
pareille,2
almaigne,2
maintenant,2
noftres,2
huict,2
cui,2
angleterre,2
trente,2
dif,2
eten,2
vaut,2
plusforte,2
naples,2
perd,2
changes,2
pair,2
parlent,2
difficile,2
mots,2
monnoyers,2
mafle,2
pars,2
contre,2
ftable,2
ducat,2
cou,2
rant,2
vraye,2
iustement,2
folidus,2
maiftre,2
cores,2
grain,2
vieil,2
ap,2
francois,2
orient,2
auquel,2
quarts,2
anciés,2
gennes,2
sennes,2
caftille,2
portugal,2
piftolets,2
exemple,2
defaire,2
defsous,2
nom,2
dessus,2
meímes,2
testons,2
soleure,2
lucerne,2
vndreual,2
quine,2
quc,2
mesmesle,2
aucunement,2
millivres,2
cela,2
racine,2
ceffera,2
fraude,2
sujet,2
banni,2
receuoir,2
tou,2
estrangeres,2
public,2
euiterà,2
fraiz,2
henri,2
ui,2
quafi,2
fuprimer,2
seigneuriage,2
deduir,2
ville,2
cognoiffance,2
auoyent,2
pures,2
requeste,2
noye,2
ilen,2
forgec,2
dy,2
per,2
maicfté,2
entendre,2
grace,2
trouuoit,2
receuoit,2
xxx,2
marcà,2
voila,2
moulees,2
rompué,2
ferlins,2
nes,2
forme,2
medaille,2
gale,2
mat,2
pezant,2
feruir,2
lames,2
mónoycs,2
marteau,2
attique,2
àla,2
iournee,2
ii,1
uod,1
roo,1
tv,1
tq,1
uns,1
peux,1
vu,1
lil,1
ps,1
os,1
oué,1
ré,1
quantauxtreforiers,1
necefl,1
fices,1
donnez,1
gentils,1
honneur,1
ble,1
illuftre,1
ille,1
anciénement,1
ditzioint,1
faiten,1
septébre,1
liii,1
raux,1
precederont,1
hoftel,1
confe,1
mens,1
desaydes,1
nefonten,1
preflion,1
desofhciers,1
chambres,1
porré,1
vaffaux,1
releuent,1
moye,1
hommage,1
treforiers,1
itri,1
infini,1
ducs,1
comtes,1
barons,1
grands,1
fcigneu,1
droient,1
chofc,1
agenoiller,1
offices,1
artifan,1
moten,1
dempescher,1
alterees,1
falfifices,1
ghap,1
iil,1
lmefemble,1
merite,1
cí,1
veutestablir,1
fagemen,1
hb,1
reformer,1
abbus,1
plustrauaille,1
varier,1
riches,1
pauures,1
chacü,1
neral,1
regoiuent,1
domage,1
tantil,1
viéne,1
reiglerle,1
incertaine,1
estatau,1
contracts,1
incertains,1
charges,1
taxes,1
tionsincertaines,1
peines,1
pecuniaires,1
amédes,1
limite,1
ftumes,1
erontaussi,1
muables,1
incertai,1
plusieursaffaires,1
publiques,1
fufpens,1
ifices,1
guarends,1
debteurs,1
altererle,1
dessujets,1
desestrangers,1
traitent,1
fiquent,1
siens,1
sujetau,1
droict,1
courirl,1
infamie,1
monnoyeur,1
