token_,count
corps naturel,3
qualites elements,2
fubftances elements,2
fimples elements,2
elements corps,2
corps naturels,2
origine datis,1
datis toute,1
toute fubftance,1
veuille prendre,1
fubftance contraire,1
contraire fubftance,1
fabflances elements,1
quelle forte,1
forte meflangent,1
meflangent corps,1
ftances elements,1
rant contraires,1
mun accord,1
arregarde monde,1
monde vniuerfel,1
accomply choses,1
fois enfcigné,1
torité pluficurs,1
pluficurs graues,1
cons fers,1
lieu icy,1
obtenir cognoiifance,1
cognoiifance repreuue,1
grands difficultez,1
difficultez fcience,1
fcience naturelle,1
toute chose,1
ame refoudre,1
donc eqoit,1
choses compolées,1
compolées fu,1
prsmler réfoluentaux,1
réfoluentaux elements,1
lesfoyent compofées,1
parauant declairé,1
declairé démonstration,1
euft efté,1
efté beaucoup,1
beaucoup necessaire,1
manifefte fcns,1
corps diffol,1
uent matiere,1
matiere elementaire,1
tifon bois,1
bois brufle,1
enuolle aueclz,1
aueclz flamme,1
ioh feu,1
eau vapeur,1
air fumée,1
aterre cendre,1
chafcune rctirauca,1
element venue,1
personne dira,1
cendres bois,1
bois confommez,1
confommez feu,1
feu foyent,1
foyent accidents,1
fubftances corps,1
corps cript,1
cript ualié,1
vfage datureis,1
siles fubftances,1
tl fecon,1
fecon dá,1
tredic petit,1
petit fx,1
fx corps,1
corps mixtionez,1
plusieurs formes,1
formes fubftantielles,1
fubftantielles faa,1
faa aít,1
maurs ac,1
ac erlyn,1
erlyn meíme,1
meíme fubieét,1
fubieét cout,1
cout enfemble,1
ame fuyue,1
ja fois,1
andre accidentelles,1
monftré na,1
na gueres,1
bae quecelène,1
quecelène pouuoit,1
pouuoit faire,1
facultex infi,1
aui efti,1
onne ainsique,1
ainsique penfe,1
penfe estime,1
elements demeurent,1
demeurent entieres,1
ensembles forme,1
forme corps,1
corps mixtioné,1
pource derniere,1
derniere for,1
donne nom,1
nom composé,1
cle ments,1
substance elements,1
corps mixrioné,1
clcripr aucr,1
hr roes,1
semble ailleurs,1
quahd eícript,1
elements rie,1
rie ac,1
lior let,1
let ance,1
ance premïter,1
premïter livar,1
livar tc,1
tc prie,1
chose triple,1
triple cfprit,1
cfprit animaux,1
fubftance acréezou,1
acréezou cendre,1
cendre chose,1
chose finon,1
finon terre,1
animaux estans,1
estans diftilez,1
diftilez alambic,1
nent eau,1
eau separation,1
separation ferofité,1
perdant toute,1
toute faucur,1
caron raconte,1
faustine femme,1
marc augu,1
fte beuft,1
beuft fang,1
deceuc femblance,1
queur donnoit,1
fang effaçaft,1
effaçaft entierement,1
entierement fefpric,1
fefpric defir,1
iouir compagnie,1
compagnie gladiateur,1
gladiateur aimoit,1
aimoit outrance,1
empereur commode,1
retira merueil,1
leufement femblance,1
femblance dudi,1
semble aduis,1
void cecy,1
mefmc seu,1
seu cle,1
emplaftre composé,1
composé choses,1
fois eftans,1
eftans meflangez,1
confondus enfemble,1
enfemble laiffent,1
laiffent aucune,1
aucune apparence,1
apparence femblance,1
encores moins,1
ap arence,1
arence fimples,1
lesquels nature,1
nature parfeéts,1
vertu totalement,1
totalement diftinétc,1
diftinétc cle,1
gallien vfé,1
vfé bien,1
bien propos,1
propos exem,1
ple preuuer,1
preuuer cerchons,1
apperc euidemment,1
elements demeure,1
demeure feuleméc,1
feuleméc choses,1
choses meflangées,1
inconuenient aurcit,1
foyent corps,1
corps narurels,1
aw dcs,1
dcs xandre,1
xandre aphrodifée,1
choses futfent,1
futfent accomplies,1
accomplies accidents,1
accidents pourroyeut,1
pourroyeut abf,1
abf fter,1
fans aucune,1
aucune fubftance,1
hofes compofécs,1
compofécs redui,1
decadance accidents,1
accidents elementaires,1
finallement nombre,1
nombre infiny,1
infiny indiuidus,1
lefquels voyons,1
voyons rc,1
foudre parten,1
parten eau,1
eleméts nes,1
appctifferoyét rié,1
rié infinité,1
fuft detra,1
ior conti,1
nuclle productió,1
productió choses,1
eftát mal,1
mal cóuenable,1
toute doétrine,1
quc baftie,1
efloignée raifon,1
chaleur eff,1
philofiphes accident,1
accident elements,1
imple feu,1
fois plusieurs,1
plusieurs trouuent,1
qríi tenu,1
accidents corps,1
corps mix,1
telle estél,1
opinis iean,1
iean duns,1
excellence efprit,1
efprit fuft,1
fuft appellé,1
appellé docteur,1
docteur fubril,1
fubitances elements,1
elements foyenc,1
foyenc pees,1
ld ir,1
ir ts,1
premier live,1
live foycnt,1
foycnt corps,1
accomplitfent moyen,1
regarde raifons,1
raifons prece,1
faudra neceffairement,1
ele milieu,1
fcauoir accidents,1
fubftance dzs,1
dzs eleméts,1
fufimetce sous,1
sous certitude,1
facultez elements,1
qualitez fubftances,1
faute replique,1
tres eui,1
facultes elements,1
chofc accidents,1
accidents mefincs,1
enfuiuroit moins,1
moins contre,1
contre opinion,1
accidents cle,1
ments demcurerovent,1
demcurerovent corps,1
corps mefle,1
cultez demeurent,1
faire mefine,1
mefine confu,1
fion art,1
ó fatle,1
fatle plat,1
curs corps,1
fois condition,1
condition eaux,1
rôc avecles,1
avecles eaux,1
choses vnétucuies,1
vnétucuies ies,1
ies vuctueufes,1
alexandre aphrodifeé,1
aphrodifeé trompe,1
trompe grandement,1
huile peur,1
peur meflerauec,1
meflerauec corps,1
melle facilement,1
facilement greíícs,1
