token_,count
cec aibi,1
pie died,1
ilâpres difpute,1
metaux yavne,1
chose moyenne,1
moyenne appcellé,1
grecs agyurüdu,1
mifes donné,1
donné ala,1
ala grece,1
grece facènde,1
facènde sxcr,1
qux rameaux,1
vné acre,1
acre moyenne,1
moyenne entres,1
entres plantes,1
ine plante,1
argent inoyenne,1
inoyenne entre,1
entre arbres,1
croiffe arbre,1
difference entre,1
aeyvetd ey,1
ey por,1
por gz,1
ée aliment,1
aliment racines,1
rameaux coutiers,1
coutiers defcorce,1
moultfe deho,1
entre lefquelles,1
lefquelles croift,1
argent jette,1
jette hors,1
hors terre,1
aucune apparence,1
apparence notable,1
notable raci,1
chose fabuleule,1
poétes efcript,1
efcript rameaux,1
finon voulions,1
voulions entendre,1
entendre pommes,1
communement pommes,1
bien meures,1
belles pommes,1
cuillizs dema,1
dema virgiie,1
virgiie aionrdhny,1
aionrdhny mande,1
pure ts,1
bois deuiennent,1
deuiennent pierre,1
auient fort,1
fort fonuent,1
comine nousavons,1
deuiennent telle,1
meht pierre,1
té figure,1
coulent aupres,1
aufquels lexpe,1
ailliac aupres,1
claitmont auuergne,1
fort mont,1
ois remarquer,1
remarquer cecy,1
cenae vie,1
ículcipeni duc,1
rnefme cor,1
cor pens,1
ions finon,1
pots fonefcorce,1
corcher efcorée,1
efcorée deuiens,1
quine fonc,1
fonc seulement,1
seulement differents,1
differents couleurs,1
aussien proprietez,1
premiere forte,1
forte exquife,1
exquife beauté,1
peuple indie,1
indie faic,1
faic gräd,1
gräd cas,1
seulement arrefter,1
arrefter hemor,1
ragie flux,1
flux fang,1
reprimer blan,1
ches fleurs,1
fleurs femmes,1
fieurs facultez,1
lefquelles divines,1
là vient,1
vient corail,1
corail beaucoup,1
beaucoup plusprecieux,1
plusprecieux indes,1
cipallement temps,1
aufquel rochers,1
afrique efté,1
efté efpuifez,1
efpuifez richeifes,1
richeifes coraline,1
moutfe corail,1
appellons coraline,1
exquis remede,1
remede tuer,1
tuer vers,1
entierement fleftrie,1
fleftrie vieilletfe,1
plinea efcripr,1
coraux portent,1
portent raid,1
femblable cerifes,1
artifice ouuriers,1
ouuriers degeu,1
degeu pline,1
pline autremét,1
autremét diligent,1
diligent inquifiteuz,1
inquifiteuz nature,1
accouftumé tournoyer,1
polir petits,1
petits sm,1
sm fragments,1
sacrronx xi,1
xi ents,1
ents corail,1
corail façon,1
façon bouté,1
donne occafion,1
occafion plusieurs,1
fuft fruit,1
voyons bien,1
bien rameaux,1
rameaux kpetices,1
kpetices branches,1
branches coraux,1
là iu,1
tiréleurs aliments,1
aliments raci,1
nesveu aufli,1
plusieurs choses,1
deuiennent molles,1
dures pierre,1
tirée cauer,1
nes terre,1
expoléeau soleil,1
soleil acquiert,1
acquiert durté,1
durté prefque,1
prefque inuincible,1
feroit difficile,1
difficile vouloir,1
vouloir affeurerle,1
affeurerle mefine,1
siles rameaux,1
aryupédurdpor eftoyent,1
eftoyent petits,1
porteroit publiquement,1
publiquement monítre,1
arbre pierre,1
fin fecond,1
fecond liure,1
