token_,count
allient ensemble,2
nature uns,2
animaux blancs,2
entendra bien,2
fay entendu,1
entendu ré,1
ré uber,1
cents bre,1
is pais,1
pais bergiers,1
bergiers cienrent,1
cienrent certain,1
loup rauagera,1
rauagera toute,1
toute voc,1
voc bergerie,1
donne loi,1
ietter dedans,1
ypte porte,1
porte ani,1
maux efpece,1
beaucoup grands,1
aucune region,1
cout vaches,1
nes grands,1
brebis graffes,1
feule queué,1
queué mouton,1
mouton plu,1
plu cinquante,1
cinquante grhiffe,1
efti mer,1
mer proceder,1
eau nil,1
chaleur celeste,1
ifenr meíme,1
meíme fœcondité,1
fœcondité ciel,1
ciel indes,1
fois hommes,1
hommes fort,1
fort tits,1
tits regions,1
regions là,1
vfent moins,1
moins aliments,1
herbages bettes,1
bettes bruftes,1
certain accraif,1
lement moyen,1
rée chaleur,1
res marins,1
marins fonc,1
fonc grands,1
grands fans,1
fans comparaiípa,1
comparaiípa animaux,1
animaux terreitres,1
entre animaux,1
portet rancune,1
rancune uns,1
oryx lyon,1
elephant rhino,1
rhino rot,1
cheual chameau,1
crocodil lg,1
lg neunmon,1
id srcrti,1
ow xv,1
abeille crapaud,1
millan bu,1
alonëtte chardéneret,1
chatuanc hi,1
hi corneille,1
cerein iafne,1
ophiomache vipere,1
ennemis fans,1
wcunement oflencez,1
cause contracieté,1
contracieté nature,1
lefquels neceffzitement,1
neceffzitement violence,1
liserfité nature,1
cueillic miel,1
miel plantes,1
crapaud renin,1
fois quelques,1
quelques animaux,1
animaux poiat,1
poiat guerre,1
guerre haine,1
portent vas,1
vas aurres,1
seulement pren,1
dre pafture,1
aigron pefche,1
pefche ax,1
ax poiffons,1
poiffons nourriture,1
bien vray,1
antipathie fort,1
fort grande,1
grande certains,1
certains animaux,1
fed efté,1
efté appellée,1
appellée grecs,1
grecs rapièrrros,1
trouble moins,1
moins cheual,1
coq lyon,1
pource uele,1
uele naturel,1
deftiné combat,1
vil oppose,1
oppose founenc,1
founenc chose,1
chose plu,1
trroisizsms íoit,1
íoit composé,1
composé natures,1
natures éoncraires,1
chose né,1
né peur,1
din contraire,1
contraire exterjeur,1
äinf reuiendroit,1
autrement faudtoit,1
fuften vain,1
nature derefte,1
fonc fort,1
fort differents,1
differents espece,1
tels cerf,1
ensemble familie,1
ayent aucune,1
aucune femblan,1
cause conuerfation,1
accouftumé viure,1
viure entemble,1
tois conuerk,1
tion cause,1
cause bien,1
bien souvent,1
longue durée,1
nent four,1
four nourriture,1
nourriture place,1
toufiours fufhfante,1
fufhfante for,1
nir pafturc,1
pafturc fans,1
fans controuerfe,1
telle tourtourelle,1
loriot ka,1
millan corbeau,1
desquels fort,1
fort repoutfe,1
repoutfe coufiours,1
coufiours foiblc,1
trcs perfecutent,1
perfecutent incetfamment,1
incetfamment diffimil,1
tude nature,1
deuore œufs,1
iaunet rue,1
rue tourtourelie,1
emerillon vautovr,1
crex verdon,1
bruan portét,1
qué lang,1
peur mefler,1
mefler go,1
autié srection,1
srection xv,1
chose fabulcufe,1
antipathie contrarieté,1
contrarieté nature,1
nature animaux,1
pourthaflent fin,1
fin manger,1
loup tue,1
tue bre,1
afne fauuage,1
renard poules,1
tan pefch,1
indifferemment fortes,1
fortes tourrourelles,1
lyon donc,1
donc emneny,1
emneny taureau,1
aigleau vautour,1
nile char,1
vientque animaux,1
blancs ks,1
ks pires,1
couleur blanche,1
blanche autrement,1
autrement recerchée,1
recerchée cause,1
cause beauté,1
cipallemerz remarqué,1
remarqué veritable,1
veritable hommes,1
peau noire,1
noire dettoubs,1
dettoubs poil,1
poil blanc,1
obfcruer prennant,1
prennant garde,1
garde gorge,1
gorge rachetée,1
rachetée marques,1
marques noires,1
veoid chevaux,1
chevaux blancs,1
deflous poil,1
poil noiraflre,1
humeur aqueufe,1
aqueufe abondeaux,1
abondeaux animaux,1
aufquels raison,1
feulsment lieu,1
mas terre,1
terre blanche,1
blanche quelle,1
quelle mefpri,1
fée laboureurs,1
contraire noire,1
noire nef,1
