token_,count
vet emen,1
emen tmm,1
tmm img,1
img oe,1
oe sscrton,1
rameau donne,1
donne lv,1
ceuoir faueurs,1
couppé parolle,1
parolle defaut,1
faculté discerner,1
discerner faueurs,1
faueurs perd,1
uelle chose,1
chose ariftote,1
pris garde,1
garde arrefté,1
arrefté chose,1
chose infaillible,1
animal pouuoit,1
pouuoit viure,1
viure fans,1
fans gouft,1
auós veu,1
veu prince,1
laiffé viure,1
viure infques,1
infques tát,1
tát efté,1
efté rué,1
ftaft viande,1
viande fauces,1
fauces acres,1
nappergeuoie parle,1
parle gouft,1
chose moins,1
moins eftrange,1
homme perdu,1
perdu gouft,1
parauant incroyable,1
homme peuft,1
peuft perdre,1
perdre parolle,1
parolle langue,1
langue entiere,1
oreilles libres,1
euft monftré,1
monftré contraire,1
elies fecim,1
penfe ariftote,1
conuaincu contraire,1
contraire raifons,1
raifons precedentes,1
veu langue,1
appergoir moins,1
moins chaud,1
auroit faucur,1
faucur liqueurs,1
odeurs bonnes,1
bonnes ej,1
ej mauuasfes,1
ea eer,1
dee row,1
deed á,1
á qvatrlrsme,1
qvatrlrsme ml,1
exhalatión vapoureufe,1
chose fenüble,1
fenüble penetre,1
penetre doucement,1
iufques ahx,1
ahx ventncules,1
ventncules interieurs,1
interieurs cerueau,1
clon tinfpiration,1
tn era,1
lation vaporeufe,1
dcfinie arifto,1
fois fans,1
fans fondé,1
fondé aucune,1
aucune rai,1
monde void,1
void pbi,1
fleursqui fons,1
fons defechées,1
presque resisen,1
resisen quoy,1
contraire frefches,1
frefches one,1
vaporeufes rempliffent,1
rempliffent lieu,1
lieu tour,1
tour liur,1
eectronn vil,1
tellement beftes,1
odorar pletit,1
pletit chien,1
narines auát,1
pliffent promprement,1
icy clairement,1
clairement grande,1
grande fagetle,1
fagetle createur,1
euft donné,1
odorat exquis,1
euft pu,1
pu seulement,1
seulement endurer,1
quant animaux,1
facultéou exquife,1
debile difcretion,1
vient force,1
force odeurs,1
cite quelques,1
quelques fois,1
fois fieure,1
fois met,1
met hommes,1
hommes fureur,1
fureur myst,1
abbreuue coup,1
coup moelle,1
moelle interieure,1
interieure cerueau,1
voilà prendre,1
prendre garde,1
garde diligemment,1
odeurs violentes,1
veu iuments,1
iuments mesmes,1
portent faf,1
telles efpiceries,1
efpiceries odoriferantes,1
fubicétez tomber,1
tomber tels,1
tels accidents,1
oà vient,1
vfent modere,1
mét bouquets,1
viuét lógue,1
ame dctefte,1
dctefte puanreurfau,1
puanreurfau contraire,1
contraire delete,1
delete chose,1
chose monde,1
monde mieux,1
efface promptement,1
promptement triftetfe,1
remplit gaillardife,1
hesse eff,1
eff threfèr,1
threfèr sncomparable,1
nan seulement,1
fanté corps,1
vient hommes,1
hommes portent,1
pu imytiamment,1
imytiamment dedaing,1
puanteur liure,1
liure eti,1
eti oquor,1
alt attaint,1
attaint forme,1
forme poulet,1
mm qn,1
qn muet,1
muet aep,1
aep tan,1
tan qyatrie,1
qyatrie sus,1
sus livnmst,1
livnmst ottible,1
faueur decestable,1
regard hy,1
ouque toucher,1
toucher choses,1
choses froides,1
froides chaudes,1
odeur abbreuue,1
abbreuue promprement,1
promprement cerueau,1
cerueau fontaine,1
fontaine ens,1
imprime long,1
long temps,1
temps ve,1
qualité fenfible,1
foncefloignez cerueau,1
cerueau long,1
long intervalle,1
ample ouuer,1
ture donner,1
donner palfage,1
palfage qualitez,1
oàvientque fleurs,1
fleurs mesmes,1
bonne odeur,1
vr decret,1
decret nature,1
corrompt deuient,1
deuient puant,1
ey sarçôr,1
sarçôr xaxod,1
toute puanteur,1
puanteur ci,1
ci mauuaife,1
long difcours,1
rend cafe,1
cyà fçauoir,1
plas chose,1
elt ciloignée,1
tellement chose,1
seh entierement,1
entierement changée,1
cbtenu fin,1
œuf bien,1
bien tres,1
bonne ueur,1
meíme horace,1
appelle delices,1
delices anciens,1
anciens oys,1
poulet aufli,1
aufli beaucoup,1
beaucoup fauoreux,1
puant mauuaile,1
mauuaile faucur,1
dcplaifant touchet,1
pourry coué,1
