token_,count
long temps,2
darius roy,2
sous puiffance,2
vaut autant,2
meilleur sens,1
cat rout,1
rout grande,1
grande profperité,1
profperité rend,1
rend hommes,1
hommes deraifonnables,1
mefinie douleur,1
calamité rend,1
rend mieux,1
mieux adüifez,1
mailtre fagelle,1
fgnifié peu,1
tion denne,1
denne entemde,1
nepourroit trouuer,1
trouuer fentence,1
fentence ve,1
did fans,1
fans cause,1
dien chaslse,1
chaslse éeux,1
rimer rage,1
furenr iníeuíez,1
four ticer,1
ticer fang,1
menftrues supprimées,1
cllesles perdent,1
perdent cause,1
leffe deuiennent,1
deuiennent bien,1
bien infenfées,1
fois moins,1
moins fureur,1
fureur ieunes,1
illeur aduient,1
aduient griefuc,1
griefuc douleur,1
douleur dents,1
quelle reprime,1
reprime furie,1
là vient,1
vient avffi,1
releuent fieure,1
groffe maladie,1
beaucoup moderez,1
quoy admirer,1
incroyable bonté,1
mifericorde dieu,1
dieu enuers,1
enuers hommes,1
vient maladies,1
maladies populai,1
guerres renforcent,1
ciffent nouuelle,1
nouuelle pleine,1
pleine lune,1
fois premier,1
premier dernier,1
dernier quartier,1
chose dés,1
dés long,1
temps efpreuuée,1
certainement queftion,1
queftion femble,1
femble haute,1
autant perfonne,1
perfonne anciens,1
mile auant,1
ide cudu,1
cudu to,1
to ye,1
cis avia,1
avia lrvas,1
lrvas seniénpe,1
hip cela,1
wi xucillit,1
pluralisé dos,1
ciel donner,1
donner fenzenccionieomtne,1
fenzenccionieomtne celuyqui,1
celuyqui porte,1
porte vafe,1
vafe welles,1
welles baille,1
baille cicer,1
cicer soleil,1
soleil pout,1
pout cháger,1
eftas monde,1
monde bien,1
bien mieux,1
mal pis,1
eftend pouuoir,1
efficace terre,1
rayons soleil,1
appertement conioin,1
oppofitions luminaires,1
equinoxe autonnal,1
monde pris,1
pris anciennement,1
anciennement naiflance,1
monftré abondammét,1
abondammét plusieurs,1
plusieurs bel,1
raifons œuure,1
auquel temps,1
temps republiques,1
republiques couftume,1
couftume cháger,1
aítres ciel,1
ciel appellez,1
appellez armées,1
armées dieu,1
pource quis,1
arment commande,1
dieu capitaine,1
scigneur exterminer,1
exterminer mefchants,1
côferuer bons,1
refrener loix,1
charge fans,1
fans faire,1
faire mal,1
mal bien,1
lafche bride,1
bride executer,1
executer volonté,1
ies luminaires,1
force estants,1
estants oppolez,1
oppolez conioinéts,1
pource leuts,1
leuts rayons,1
rayons meflent,1
meflent beau,1
coup mieux,1
miroers ardents,1
nombre planetes,1
planetes conivinéts,1
conivinéts oppo,1
centre uns,1
uns cítoille,1
cítoille fixe,1
fixe notable,1
notable grandeur,1
ss sécrioen,1
quadrac sextil,1
sextil failenc,1
failenc fignés,1
defquels nacu,1
entierement contraire,1
autrement faudroir,1
faudroir dire,1
afpeét diametral,1
diametral fecoix,1
fecoix dcbile,1
dcbile quadrat,1
toufs jours,1
jours lignes,1
oppofez lun,1
pource trigone,1
trigone fà,1
fà faire,1
faire parts,1
parts ciel,1
quadrat quarre,1
tellement rayons,1
rayons diuifent,1
diuifent plusieurs,1
plusieurs parties,1
autant moins,1
pourra enten,1
dre facilement,1
facilement figure,1
propoíée deuant,1
deuant yeux,1
diametral noté,1
ligne entre,1
entre tn,1
tn ronds,1
yt trigone,1
quadrat quarré,1
centre ca,1
miroef ardent,1
eftás diffipezitout,1
diffipezitout rayós,1
rayós aftres,1
enuoyes certain,1
certain lieu,1
lieu cauiré,1
cauiré ciel,1
coup force,1
eftans diffipez,1
diffipez crois,1
crois sextil,1
auíli contempler,1
contempler cecy,1
cecy entre,1
entre kkk,1
mblét rm,1
uum á,1
cikáy sous,1
irae œuvres,1
admirüble fage,1
fage diui,1
diui lecsauie,1
lecsauie picyrle,1
picyrle lune,1
lune cag,1
astge conionétions,1
cles ecliples,1
ecliples soleil,1
soleil dr,1
dr royent,1
royent beaucoup,1
beaucoup souvent,1
lors principalement,1
lune ecbir,1
ecbir bas,1
bas epicycle,1
lune ziérouoc,1
ziérouoc demy,1
demy illuminée,1
moins force,1
approche delarerre,1
delarerre fomenter,1
fomenter ticde,1
ticde lumiere,1
lois hieu,1
