token_,count
exprimée nombres precedents,1
harmonie conuenable monde,1
conuenable monde elements,1
eít moins admirable,1
moins admirable plaifante,1
admirable plaifante contempler,1
commençons premicreient difcours,1
premicreient difcours feu,1
mirable toute nature,1
ncceflairement expliquions çe,1
vrayemenr propre àchacunc,1
propre àchacunc chose,1
forme auf inc,1
croit impossible pouuoir,1
impossible pouuoir trouucr,1
pouuoir trouucr definition,1
fin definiflions feu,1
quét difference forme,1
difference forme naturelle,1
forme naturelle fcu,1
vraye difference pluftoftla,1
difference pluftoftla forme,1
pluftoftla forme fubftan,1
autrement ciel feroit,1
ciel feroit cle,1
ftoyent bien celles,1
bien celles elements,1
amons refuté partie,1
refuté partie premier,1
amplement zu cin,1
estoilles aftres eftoyéc,1
aftres eftoyéc craffe,1
efpeffe partie deleurs,1
partie deleurs orbes,1
kure dos neut,1
dos neut proprie,1
neut proprie choses,1
proprie choses difficiles,1
eaujyes feu dizoit,1
feu dizoit sh,1
dizoit sh feu,1
livar fuft pery,1
fuft pery ersbrafement,1
element feu demeurer,1
feu demeurer aucune,1
demeurer aucune part,1
aucune part fans,1
part fans aliment,1
definira dohc feu,1
sxcrionx iii nature,1
iii nature accidents,1
lene vois nature,1
vois nature puiffe,1
nature puiffe confufe,1
voyons lcs formes,1
lcs formes viennent,1
beaucoup facile renuerfer,1
facile renuerfer consequence,1
renuerfer consequence argument,1
effence feu eftät,1
feu eftät fubule,1
eftät fubule nature,1
eau bir euanouit,1
bir euanouit deuant,1
euanouit deuant yeux,1
deuant yeux entieremét,1
donc corps naturel,1
pouuons iuger feu,1
eau monte haut,1
monte haut contre,1
nature faic monter,1
pouuant endurer vuidc,1
pris poudre arquebuttes,1
enfuyue vyne penetration,1
vyne penetration corps,1
icy maie enis,1
maie enis penser,1
enis penser feu,1
penser feu puiffe,1
feu puiffe enclos,1
puiffe enclos ca,1
poids uernes terre,1
uernes terre commodité,1
terre commodité ali,1
trouuc plusieurs pars,1
plusieurs pars cache,1
pars cache profondes,1
cache profondes cauernes,1
profondes cauernes terre,1
pource chofz legere,1
efleueà droitte ligne,1
droitte ligne contte,1
enclofe corps efpez,1
afro ligne fà,1
ligne fà efanteur,1
integrité loix nature,1
loix nature choses,1
nature choses clantes,1
res defcenditfent bas,1
corps elementaires appellez,1
fants legers refpe,1
inoins propre mouvement,1
eau eftang enferic,1
air peu nel,1
braler flame foyent,1
flame foyent plüftoft,1
foyent plüftoft chose,1
plüftoft chose ignée,1
chose ignée bruflante,1
ignée bruflante feu,1
choses legeres iiil,1
ut mo ade,1
mo ade vniuerfel,1
parce fuitte uide,1
fuitte uide rauit,1
uide rauit haut,1
rauit haut malle,1
haut malle eaux,1
peur entendre canaux,1
entendre canaux aqueducts,1
canaux aqueducts fontaines,1
monde vniuerfel confifte,1
là vient mouvement,1
vient mouvement choses,1
mouvement choses pcíantes,1
choses pcíantes contre,1
mont repugne nature,1
refpubliques bien adminiftrées,1
commodité publique toufiours,1
vcoir bien souvent,1
feu defcend hs,1
defcend hs violence,1
hs violence machines,1
pouffent chose rudement,1
chose rudement fin,1
enfuyue penetration dimensions,1
eftvne terre grafle,1
remet mée change,1
mée change feu,1
faur necellairement fumée,1
necellairement fumée foic,1
fumée foic chose,1
foic chose rerreltre,1
nfec cela terre,1
cela terre cendre,1
terre cendre bruf,1
cript quc elements,1
feu peuuent bien,1
peuuent bien cranfmuer,1
bien cranfmuer uns,1
folidité cube hexaëdre,1
contient fuperficie quadrágles,1
fuperficie quadrágles cou,1
lesquelles peuuét bié,1
peuuét bié diuifer,1
moyen changer vncs,1
celle fimilitude fubuliie,1
comparoit faueurs figures,1
faueurs figures geometriques,1
elt af lez,1
af lez manifefte,1
lez manifefte maile,1
figure ronde fpherique,1
qm parfcéte routes,1
parfcéte routes aquel,1
routes aquel conuient,1
aquel conuient seulement,1
conuient seulement comprendre,1
seulement comprendre figures,1
comprendre figures parfe,1
tenir corps parfcéts,1
euclide deroures ies,1
deroures ies monstre,1
ies monstre paroles,1
monstre paroles dic,1
bard lex ty,1
vy ly qm,1
ly qm mée,1
lt peur enrendre,1
monte toufiours lieux,1
toufiours lieux eminents,1
nage moins deflus,1
nature participante feu,1
efloignée narure feu,1
caché cauernes montagnes,1
cust consommé routes,1
consommé routes terres,1
pouuoit changer fumée,1
changer fumée feu,1
fois aristote enfeigné,1
aristote enfeigné chose,1
enfeigné chose tref,1
enfuit donc contre,1
donc contre relle,1
contre relle absurdité,1
atesfois ruas liure,1
ruas liure precedent,1
eaux degeneroyent air,1
ftc facilité naitfance,1
doyue appeller generation,1
nom permutation changement,1
changer autrement flamme,1
puitfe fort efchauffer,1
fte ariítote definy,1
ariítote definy flamme,1
definy flamme eftoic,1
utrement euft faillu,1
its gran cmbrafements,1
gran cmbrafements villes,1
cmbrafements villes forests,1
villes forests euften,1
ja long temps,1
long temps confumé,1
temps confumé toute,1
confumé toute region,1
lay cult rhicux,1
cult rhicux tonucnable,1
rhicux tonucnable définir,1
tonucnable définir flamme,1
définir flamme praile,1
flamme praile fumée,1
fans graiffe fumée,1
graiffe fumée olt,1
fumée olt allumer,1
cé appert herbes,1
appert herbes ver,1
onétueux peur allecher,1
aduicnt fois és,1
fois és jours,1
element feu puiile,1
feu puiile fubfifter,1
puiile fubfifter fans,1
fubfifter fans aliment,1
fans aliment voifin,1
aliment voifin ciel,1
voifin ciel detfus,1
feu region clementaire,1
participe nature feu,1
difent blanc monde,1
blanc monde clementcaire,1
jaquelle forte feu,1
forte feu feroic,1
feu feroic chose,1
apparoiile corps physiciens,1
corps cançoyuent forc,1
cançoyuent forc mouue,1
forc eros va,1
eros va cre,1
fort desine eique,1
desine eique degrade,1
eique degrade ke,1
degrade ke cur,1
