token_,count
vet emen tmm,1
emen tmm img,1
tmm img oe,1
img oe sscrton,1
rameau donne lv,1
couppé parolle defaut,1
faculté discerner faueurs,1
discerner faueurs perd,1
uelle chose ariftote,1
pris garde arrefté,1
garde arrefté chose,1
arrefté chose infaillible,1
animal pouuoit viure,1
pouuoit viure fans,1
viure fans gouft,1
auós veu prince,1
laiffé viure infques,1
viure infques tát,1
infques tát efté,1
tát efté rué,1
ftaft viande fauces,1
viande fauces acres,1
nappergeuoie parle gouft,1
chose moins eftrange,1
homme perdu gouft,1
homme peuft perdre,1
peuft perdre parolle,1
perdre parolle langue,1
parolle langue entiere,1
euft monftré contraire,1
conuaincu contraire raifons,1
contraire raifons precedentes,1
appergoir moins chaud,1
auroit faucur liqueurs,1
odeurs bonnes ej,1
bonnes ej mauuasfes,1
deed á qvatrlrsme,1
á qvatrlrsme ml,1
chose fenüble penetre,1
fenüble penetre doucement,1
iufques ahx ventncules,1
ahx ventncules interieurs,1
ventncules interieurs cerueau,1
fois fans fondé,1
fans fondé aucune,1
fondé aucune rai,1
monde void pbi,1
fleursqui fons defechées,1
presque resisen quoy,1
contraire frefches one,1
vaporeufes rempliffent lieu,1
rempliffent lieu tour,1
lieu tour liur,1
odorar pletit chien,1
icy clairement grande,1
clairement grande fagetle,1
grande fagetle createur,1
euft pu seulement,1
pu seulement endurer,1
vient force odeurs,1
cite quelques fois,1
quelques fois fieure,1
fois met hommes,1
met hommes fureur,1
hommes fureur myst,1
abbreuue coup moelle,1
coup moelle interieure,1
moelle interieure cerueau,1
voilà prendre garde,1
prendre garde diligemment,1
veu iuments mesmes,1
telles efpiceries odoriferantes,1
fubicétez tomber tels,1
tomber tels accidents,1
ame dctefte puanreurfau,1
dctefte puanreurfau contraire,1
puanreurfau contraire delete,1
contraire delete chose,1
delete chose monde,1
chose monde mieux,1
efface promptement triftetfe,1
hesse eff threfèr,1
eff threfèr sncomparable,1
vient hommes portent,1
pu imytiamment dedaing,1
puanteur liure eti,1
liure eti oquor,1
alt attaint forme,1
attaint forme poulet,1
mm qn muet,1
qn muet aep,1
muet aep tan,1
aep tan qyatrie,1
tan qyatrie sus,1
qyatrie sus livnmst,1
sus livnmst ottible,1
ouque toucher choses,1
toucher choses froides,1
choses froides chaudes,1
odeur abbreuue promprement,1
abbreuue promprement cerueau,1
promprement cerueau fontaine,1
cerueau fontaine ens,1
imprime long temps,1
long temps ve,1
foncefloignez cerueau long,1
cerueau long intervalle,1
ture donner palfage,1
donner palfage qualitez,1
oàvientque fleurs mesmes,1
vr decret nature,1
corrompt deuient puant,1
ey sarçôr xaxod,1
toute puanteur ci,1
puanteur ci mauuaife,1
seh entierement changée,1
œuf bien tres,1
appelle delices anciens,1
delices anciens oys,1
poulet aufli beaucoup,1
aufli beaucoup fauoreux,1
puant mauuaile faucur,1
