token_,count
doncques partie fphere,1
roift grande moitie,1
diametre plusieurs parties,1
viennent noftre cognoiffance,1
quantau diametre terre,1
anciens trouué vray,1
trouué vray diametre,1
vray diametre moyen,1
diametre moyen geometrie,1
quela grandeur corps,1
grandeur corps celestes,1
corps celestes regard,1
celestes regard ter,1
compos fev deli,1
trouuet circuit ja,1
circuit ja terre,1
enc fef petites,1
fef petites parties,1
exercez long temps,1
fin pouuoir compren,1
efpace terre refpondoit,1
terre refpondoit degré,1
refpondoit degré cœlefte,1
crouué cete mefure,1
feuleñienc cognu toute,1
cognu toute terre,1
toute terre circuit,1
terre circuit rondeur,1
ausi compris tonte,1
compris tonte fuperficie,1
rées corps folides,1
doétrine ignes cir,1
procedé trouuerla correfpondence,1
ciel partie terre,1
voulu premierement trou,1
rolabe quadrant geometrique,1
mencé cheminer droite,1
cheminer droite ligne,1
droite ligne vers,1
ligne vers sc,1
fin mieux affeurer,1
mieux affeurer affaire,1
contours montaignes vallées,1
eleuation pole fast,1
pole fast changé,1
uns trouué efpace,1
trouué efpace terre,1
hi reemi hh,1
reemi hh eh,1
hh eh rn,1
eh rn thermis,1
rn thermis tmn,1
thermis tmn see,1
is éd rstuon,1
éd rstuon vl,1
be rm hippertbue,1
rm hippertbue trouus,1
hieuës italiques terre,1
treize parties vingr,1
milliaires nóbre propor,1
hipparchus iufques thebit,1
tiplies perit efpace,1
efté trouué thebit,1
crois cents soixante,1
cents soixante degrez,1
circuit terre mille,1
efté trouué ptolemée,1
partie circuit semidiametre,1
circuit semidiametre terre,1
aucune particule terre,1
particule terre proportion,1
terre proportion partit,1
proportion partit ciel,1
poinét infenfible regard,1
fhorifon diuift graad,1
diuift graad orbe,1
graad orbe luminaires,1
orbe luminaires efgales,1
luminaires efgales parties,1
foat oppofez diametralement,1
oppofez diametralement lon,1
diametralement lon orienr,1
entendre clairement equinoccs,1
opt panini rondeps,1
panini rondeps terre,1
pla of fncoit,1
of fncoit jes,1
cercle vertical fort,1
vertical fort diffemblables,1
fort diffemblables phœnomenes,1
soleil fembloit anaximene,1
fembloit anaximene pieds,1
apperceu plulieurs ob,1
otaues gräd toure,1
gräd toure terre,1
degré ciel pres,1
ciel pres fois,1
pres fois soleil,1
gucune proportion entre,1
exprimer nombres parties,1
çar diametre quar,1
bien mefurer costé,1
mefurer costé double,1
puitfe telle facilité,1
telle facilité mefurer,1
facilité mefurer café,1
mefurer café fimple,1
