token_,count
,578
corps,17
chose,15
forme,14
naturel,12
fin,8
cause,8
choses,6
nature,6
definition,6
aucune,6
efficiente,6
ariftote,5
donc,5
fçauoir,4
bien,4
fcience,4
fans,4
cela,4
fubie,3
phyfique,3
principes,3
premiere,3
quelle,3
fciences,3
pen,2
ve,2
premier,2
moyen,2
causes,2
fins,2
grande,2
monde,2
poffible,2
fuft,2
enfeigner,2
mr,2
principale,2
matierc,2
fub,2
aufsi,2
aucunement,2
remps,2
licu,2
enquerir,2
perfe,2
defquelles,2
feconde,2
vertus,2
proprietez,2
fortes,2
feule,2
tn,2
aus,2
immobile,2
vray,2
exemple,2
là,2
finalement,2
faudra,2
queftion,2
mouvement,2
seulement,2
raifon,2
accidens,2
expliquer,2
ceder,2
ala,2
auecla,2
demonftrer,2
voire,2
tref,2
parties,2
pofé,2
produitte,2
ame,2
ciente,2
finale,2
aduis,2
dv,1
éheatre,1
gg,1
ax,1
we,1
ul,1
xi,1
pnr,1
cover,1
don,1
sie,1
mc,1
mas,1
jn,1
het,1
lies,1
dite,1
cnm,1
sector,1
haut,1
bas,1
dernier,1
snslementles,1
pendances,1
demandes,1
belle,1
difficile,1
eftimerois,1
felicité,1
beatitude,1
pouuois,1
obtenir,1
homme,1
zou,1
dieu,1
fommes,1
nus,1
theatre,1
entendre,1
ladmirable,1
bonté,1
fagetle,1
puitlance,1
ouurier,1
ràuis,1
ardente,1
affeétion,1
celebrer,1
louanges,1
contéplationde,1
tovr,1
urage,1
incóparable,1
iceluy,1
puifque,1
efti,1
feroit,1
lafcheté,1
amitié,1
reciproque,1
tienne,1
encourirois,1
petit,1
reproche,1
conduisant,1
telle,1
veux,1
uec,1
condition,1
demanderas,1
portunement,1
ja,1
refponfe,1
auray,1
librement,1
confeffé,1
ferois,1
fot,1
ledefrois,1
impudent,1
demandois,1
defça,1
voit,1
pourrois,1
memoire,1
pallées,1
fequence,1
cognoiffance,1
icelles,1
eua,1
nouyffent,1
arreftans,1
diíceurs,1
leules,1
parolles,1
voyós,1
adue,1
plusieurs,1
quels,1
cependant,1
recer,1
choyent,1
curieufement,1
beauté,1
grace,1
dire,1
refiouyr,1
efprit,1
laif,1
ó,1
oa,1
parhruamxa,1
livaz,1
fé,1
louis,1
jo,1
ale,1
pierre,1
us,1
ana,1
ini,1
pin,1
phygque,1
fcien,1
naturelles,1
quiestle,1
fübic,1
fcienceim,1
sxcrion,1
dels,1
pasla,1
fubitanca,1
fotme,1
ico,1
facions,1
ub,1
ftáces,1
corporelles,1
incorporeiles,1
jet,1
confufion,1
diuines,1
humaines,1
entendtons,1
naturc,1
defquels,1
parlé,1
nepeut,1
meíme,1
deuant,1
cout,1
chofr,1
premicre,1
fouree,1
mouuemeut,1
receuable,1
ap,1
paroiftra,1
th,1
dequoy,1
cognoiflance,1
fera,1
proprictez,1
rcoi,1
fiefine,1
vfage,1
aesté,1
procrée,1
contient,1
üme,1
effence,1
cognue,1
vrayes,1
cffects,1
fecóde,1
comprend,1
parla,1
ícriptionles,1
propres,1
facultez,1
iccl,1
finallemeut,1
tzoifieíme,1
declaire,1
vhs,1
ze,1
iont,1
telles,1
queftions,1
deuémétexpliquées,1
pourra,1
entierement,1
comprendre,1
ça,1
uoir,1
doétrine,1
