token_,count
,661
soleil,11
arc,11
lune,9
fort,8
là,6
air,6
cometes,6
couleurs,5
expirations,5
orbe,4
dire,4
ciel,4
faire,4
uns,4
cause,4
temps,4
toute,4
ariftote,4
exhalations,4
premier,3
nuces,3
viii,3
contre,3
forte,3
solcil,3
oppofite,3
lefquelles,3
nuée,3
beaucoup,3
nombre,3
celeste,3
moins,3
miroirs,3
peuuent,3
bien,3
bre,3
fois,3
aire,3
plusieurs,3
commence,3
vers,3
autant,3
double,3
aufquels,3
feux,3
sous,3
peu,3
efté,3
terre,3
comete,3
apparust,3
année,3
veu,3
eau,2
deluge,2
ailleurs,2
fuft,2
chant,2
prefque,2
met,2
rays,2
verre,2
tou,2
celcite,2
auroit,2
pource,2
partie,2
feraine,2
tref,2
quelques,2
ó,2
né,2
nature,2
bleu,2
celestes,2
reflection,2
pars,2
puitfent,2
chose,2
euft,2
fept,2
fans,2
pourroit,2
toufiours,2
tue,2
pui,2
parce,2
concauité,2
circulaire,2
ligne,2
clairté,2
figure,2
paf,2
vent,2
iuger,2
hemifphere,2
haut,2
quelle,2
contraire,2
parelios,2
confeffe,2
entre,2
proche,2
touchant,2
peuft,2
fent,2
figures,2
opinion,2
aufli,2
aduient,2
iufques,2
milliaires,2
nier,2
petite,2
caffiopeia,2
paralaxe,2
fixes,2
eftoille,2
fixe,2
for,2
infiny,2
gran,2
globe,2
fin,2
cornu,2
cestuy,2
cccc,2
efte,2
lcs,2
annee,2
tee,1
mobile,1
quoy,1
ppactienx,1
chante,1
prophete,1
difant,1
utm,1
lamb,1
efi,1
palass,1
voulié,1
píeanme,1
vouloit,1
dieu,1
affis,1
eaux,1
aqueux,1
ezechiel,1
appellé,1
cryftal,1
cable,1
marbrine,1
monde,1
cov,1
exode,1
rabbi,1
ba,1
ucrt,1
enuirôné,1
fufdi,1
ninh,1
rei,1
phete,1
tefmoigne,1
pourfuyuant,1
moigno,1
moles,1
tient,1
conte,1
reprefente,1
rompu,1
angles,1
finiffent,1
pyra,1
mide,1
extremitez,1
ter,1
minent,1
pointe,1
clocher,1
prefente,1
trigone,1
plein,1
va,1
petites,1
gouttes,1
efpandues,1
herbes,1
rofée,1
voiles,1
nauires,1
cóflict,1
rames,1
efgarées,1
recueillir,1
diucrfes,1
fortes,1
arcs,1
plu,1
raifons,1
fuffifantes,1
refuter,1
abfurditez,1
auácées,1
celcíte,1
eftc,1
mis,1
figne,1
genete,1
my,1
exprimer,1
reluifantes,1
diftinétement,1
noire,1
efpeffe,1
prin,1
cipalement,1
couure,1
fignifie,1
doit,1
verfer,1
grádes,1
pluyes,1
laterre,1
apparoit,1
void,1
finon,1
nuce,1
tranfparente,1
certain,1
argument,1
pluye,1
leta,1
legere,1
don,1
nent,1
mille,1
utfc,1
mrs,1
ja,1
confusion,1
verra,1
tantoft,1
dilputes,1
pourioit,1
treauer,1
ode,1
ns,1
iocis,1
cd,1
messi,1
gao,1
deter,1
pm,1
apa,1
mur,1
cere,1
ca,1
wolle,1
livrt,1
uantage,1
fimples,1
fçauoir,1
blanc,1
noir,1
rouge,1
verd,1
iaune,1
defquelles,1
couloré,1
ares,1
feloti,1
diverlité,1
lieux,1
oppofez,1
nuées,1
renuoyer,1
vnei,1
alpes,1
fonc,1
images,1
propofée,1
patfe,1
miroir,1
fecond,1
troificíme,1
confecutiuement,1
arrefte,1
fepticfme,1
voire,1
infinite,1
oppolez,1
clt,1
moindre,1
pouuoir,1
exceder,1
cem,1
abufent,1
péfent,1
grád,1
peine,1
roir,1
trouuer,1
efleuattenc,1
plufieur,1
pats,1
oppoíces,1
empefcheroit,1
pourquoyeit,1
nt,1
receuoir,1
reficétions,1
depend,1
defia,1
proprieté,1
occulte,1
septenairezcar,1
fance,1
grande,1
ot,1
imbibée,1
mesmes,1
nucc,1
force,1
vnir,1
ort,1
concurrencejicomme,1
baffin,1
colonnc,1
mar,1
poly,1
