token_,count
,752
plantes,25
parties,11
choses,11
arbres,9
terre,9
fans,7
lieux,7
herbes,6
efté,5
nature,5
moyen,5
vie,5
racines,5
th,5
fort,5
naturel,4
animaux,4
corps,4
là,4
pierres,4
arbre,4
plusieurs,4
fin,4
chose,3
chacune,3
vertu,3
liure,3
quelle,3
partie,3
metaux,3
force,3
croiffent,3
fortes,3
pource,3
entre,3
larmes,3
lefquels,3
bon,3
finallement,3
theophrafte,3
apporte,3
parce,3
aucune,3
lieu,3
tref,3
portent,3
peu,3
bonne,3
meilleure,3
premierement,2
mefines,2
culture,2
vouloir,2
icelles,2
monde,2
dés,2
ordre,2
aufsi,2
quelles,2
faur,2
ailleurs,2
difference,2
augmentent,2
adiouftes,2
sous,2
cultiue,2
faire,2
tronc,2
baffes,2
rameaux,2
femences,2
fuc,2
trouue,2
boulez,2
tou,2
doit,2
vfage,2
terres,2
dire,2
rochers,2
refte,2
efcorce,2
lis,2
porter,2
hommes,2
na,2
efcript,2
ciel,2
homme,2
ouurier,2
agriculture,2
nour,2
champs,2
toute,2
vignes,2
manger,2
parts,2
peine,2
cerifiers,2
pouuoit,2
chaudes,2
chaleur,2
contraire,2
abondance,2
froids,2
contraires,2
voyons,2
milieu,2
froid,2
bb,2
durée,2
douces,2
naiffent,2
cultiuez,2
oliuier,2
changent,2
condition,2
année,2
seigle,2
yuraye,2
change,2
peuplier,2
figuier,2
mente,2
raifort,2
chou,2
froment,2
ev,1
eden,1
patior,1
ep,1
itroisiesme,1
dv,1
theatre,1
natvre,1
wfuguel,1
tvaitlé,1
naiffcmt,1
diflintlion,1
theoriciren,1
vis,1
iln,1
seule,1
colli,1
patio,1
cule,1
ícience,1
ice,1
mefinc,1
difpute,1
mvsrtragosve,1
enfeigner,1
connexion,1
difpofition,1
vneauec,1
enuers,1
contempler,1
feparemét,1
for,1
admirable,1
laifon,1
negligée,1
trai,1
rieré,1
adtré,1
bontie,1
partit,1
plitofs,1
phes,1
voulu,1
expreffement,1
efcrire,1
toutesfoisil,1
tien,1
defireren,1
teíte,1
fcience,1
enr,1
gtatid,1
id,1
pot,1
rance,1
ftudieux,1
naturelles,1
cecy,1
aucunement,1
exprimé,1
precedent,1
notisavons,1
disposé,1
elements,1
elemencaires,1
defquels,1
inanimée,1
monftrant,1
uenance,1
appartenoyent,1
monftre,1
quoy,1
uenoyent,1
enfemble,1
connexes,1
uns,1
aueclesautres,1
allies,1
argent,1
mariées,1
dva,1
atbre,1
corail,1
glu,1
quiles,1
tint,1
collez,1
eniemble,1
maintenant,1
difpurér,1
fclon,1
methode,1
medecins,1
philofophes,1
aduertiffement,1
theo,1
nr,1
appelles,1
plante,1
vegetable,1
ccite,1
princ,1
palement,1
fçauoit,1
meta,1
addition,1
leb,1
foubitiennent,1
conferuentieur,1
efpe,1
secrron,1
enatrirant,1
aliment,1
