token_,count
,747
ame,11
corps,7
fois,6
autrement,5
lame,5
homme,5
hommes,5
choses,4
plusieurs,4
entendement,4
difpute,3
fçauoir,3
grecs,3
latins,3
fort,3
philopone,3
eff,3
chose,2
tendement,2
beftes,2
chacune,2
propre,2
celle,2
sous,2
toufiours,2
opinions,2
decrets,2
nations,2
nombre,2
arabes,2
prefque,2
opinion,2
ale,2
simplicius,2
themiftius,2
maitre,2
ailleurs,2
dieu,2
veut,2
us,2
quelle,2
routes,2
ammonius,2
contre,2
defia,2
ames,2
crimes,2
bien,2
ciel,2
definition,2
definie,2
folie,2
idees,1
tiemcut,1
logicé,1
aucremc,1
physicien,1
qvarrkissme,1
rendement,1
archetype,1
elpeces,1
genres,1
substances,1
accidents,1
quelques,1
notions,1
cos,1
gnorflances,1
vniuerfelles,1
lefquelles,1
ramafles,1
indiuiduz,1
naturelles,1
lesquelles,1
fubfftent,1
nulle,1
part,1
clles,1
mefines,1
finon,1
moyen,1
humain,1
reçoit,1
genre,1
forme,1
tue,1
nousavons,1
definitions,1
plan,1
diftinétes,1
vna,1
ditfe,1
rcnce,1
cellente,1
contient,1
uis,1
peine,1
deuons,1
bailler,1
plantes,1
crois,1
demande,1
femblé,1
difficile,1
peuuenr,1
traiter,1
cause,1
varieté,1
doëtes,1
quels,1
differentes,1
fui,1
efte,1
philosophes,1
qptien,1
ed,1
rabes,1
mieux,1
dispute,1
plait,1
propofer,1
notables,1
fin,1
deuant,1
yeux,1
choiliflela,1
meilleure,1
vecege,1
verno,1
qme,1
detinet,1
roten,1
pee,1
ih,1
mi,1
sari,1
eet,1
servire,1
scrn,1
fortes,1
defquelles,1
forty,1
philofophes,1
remply,1
monde,1
disputes,1
tonchanr,1
eífence,1
gyptiens,1
lacins,1
pale,1
filence,1
autant,1
nf,1
confentu,1
entre,1
premicrement,1
xandre,1
aphrodifée,1
icy,1
commengarenr,1
enui,1
ron,1
cens,1
ariftote,1
illuftrer,1
commentaires,1
aime,1
efté,1
differents,1
seulement,1
uns,1
great,1
esparnez,1
xandte,1
incerpretre,1
agent,1
ra,1
ariftore,1
appelle,1
immortel,1
pur,1
fz,1
generation,1
parable,1
venant,1
communi,1
ep,1
quanr,1
ayec,1
actions,1
rame,1
ke,1
mefine,1
mae,1
feñce,1
renuerfe,1
emdabeums,1
cripts,1
premier,1
guments,1
lefquels,1
immor,1
ban,1
leo,1
talité,1
eltoir,1
fondée,1
penu,1
refute,1
mm,1
pluficurs,1
efprits,1
dehors,1
dedans,1
lef,1
crecu,1
alleure,1
cous,1
immortels,1
themi,1
uerroifes,1
accord,1
note,1
efcript,1
ir,1
telle,1
erreur,1
mn,1
meurée,1
fans,1
fauteurs,1
auerroës,1
môftre,1
arg,1
iments,1
entrepris,1
deffendre,1
femée,1
pts,1
pris,1
racine,1
prilonne,1
alon,1
choles,1
auicene,1
digina,1
fesse,1
nod,1
qvarnrizsxa,1
traicté,1
fubrilement,1
question,1
enfeigné,1
humaine,1
ftoi,1
immortelle,1
fienne,1
tn,1
egyptiens,1
my,1
saccas,1
fuccef,1
feur,1
ariftarque,1
eftéfamilier,1
por,1
hyre,1
gymnarfiarques,1
fuccedé,1
her,1
meas,1
olympiodorus,1
afclepius,1
item,1
gram,1
mairien,1
appellé,1
bandez,1
alexandre,1
aphrodifee,1
efcriuants,1
commun,1
confentement,1
exempte,1
route,1
corrup,1
tió,1
parle,1
apper,1
tement,1
difant,1
creé,1
infus,1
dedäs,1
for,1
mez,1
quiont,1
premierement,1
receu,1
faculté,1
vegetante,1
fenfible,1
tellement,1
diftin,1
fubftance,1
premieres,1
meurent,1
fauf,1
intelleétuele,1
demeure,1
furuiuante,1
felon,1
merites,1
doit,1
chaftiée,1
moyernant,1
fubril,1
veftue,1
recompenfée,1
bonnes,1
œuures,1
eftoilé,1
clie,1
regeura,1
gran,1
recompeníes,1
quant,1
fouilleures,1
deuoyentlong,1
temps,1
purger,1
feu,1
errer,1
tour,1
supnlchres,1
lieux,1
inferieurs,1
iufques,1
tát,1
ayent,1
faidt,1
reparation,1
faute,1
our,1
sen,1
retourner,1
quieft,1
otiginc,1
forties,1
tutos,1
etles,1
onr,1
jeu,1
peu,1
iceux,1
tard,1
commencé,1
traitter,1
philofophie,1
fonc,1
monftrez,1
nouueaux,1
generalle,1
met,1
tent,1
auaat,1
scne,1
dic,1
vm,1
fpiri,1
fuel,1
ordonné,1
beatitude,1
ev,1
cafliodore,1
fabflance,1
fpirinelle,1
crece,1
dieuct,1
vixifie,1
augu,1
ftin,1
fubfance,1
incorporelle,1
tres,1
pripre,1
ku,1
gouuerner,1
rut,1
pi,1
efprit,1
intelle,1
ucl,1
rai,1
onnable,1
toufiour,1
viuant,1
mouuent,1
capable,1
volonté,1
piefque,1
fuyuent,1
auguftin,1
defini,1
auc,1
tion,1
hors,1
mis,1
henric,1
thomas,1
ftiodn,1
efcot,1
recerché,1
fubtilement,1
philofophic,1
gueres,1
efloignez,1
elie,1
roures,1
appro,1
che,1
verité,1
failloit,1
fuft,1
çauoir,1
foyent,1
fautfes,1
fbolernent,1
veritable,1
pource,1
fimple,1
veri,1
té,1
feroit,1
vouloir,1
iuger,1
doctrine,1
grands,1
perfonnages,1
temerité,1
pleine,1
arrogance,1
