token_,count
,175
grandeur,7
estoiles,5
celles,4
grandes,4
air,3
vifibles,3
nombre,3
terre,3
fois,3
espace,2
cause,2
anciens,2
hui,2
diametre,2
sacrion,1
iil,1
flambeau,1
efclaice,1
seulement,1
terminé,1
rté,1
arregardent,1
loing,1
prennent,1
chose,1
flam,1
eau,1
fout,1
ceít,1
autour,1
efclai,1
rérmais,1
tres,1
flambeaux,1
celestes,1
pource,1
pendus,1
eftans,1
cres,1
pure,1
fubftance,1
orbes,1
fubieéts,1
affections,1
quant,1
cz,1
trent,1
petits,1
regard,1
ailleürs,1
bale,1
pyra,1
mide,1
triangle,1
choses,1
femblent,1
autant,1
petites,1
efloignées,1
yeux,1
voilà,1
quoy,1
aftres,1
monftrét,1
beaucoup,1
tits,1
distance,1
entre,1
choilles,1
iii,1
conté,1
mille,1
comprifes,1
quarante,1
huiét,1
images,1
aufquelles,1
ubtilité,1
veuë,1
foir,1
pu,1
eftendre,1
bien,1
vray,1
pourtant,1
rabi,1
maimon,1
adioufté,1
feprente,1
lefquelles,1
outre,1
obfcruation,1
efté,1
rc,1
marquées,1
egypriens,1
arabes,1
ciel,1
ferein,1
pays,1
autte,1
part,1
monde,1
enr,1
cirrus,1
oncils,1
cohté,1
iufques,1
plas,1
petitegr,1
mus,1
onvdiftinétes,1
min,1
prertileté,1
hs,1
metcent,1
quinze,1
fer,1
conde,1
quaranre,1
fixten,1
troifiefme,1
ceng,1
exla,1
quatriefme,1
censo,1
tante,1
cinquiefme,1
cenis,1
crente,1
vnesa,1
fs,1
fixiefime,1
ad,1
cecy,1
eftoil,1
trouue,1
foyent,1
cppo,1
fées,1
œil,1
toreau,1
pofé,1
cœur,1
scorpion,1
mesmes,1
degrez,1
minutes,1
longitude,1
latitude,1
neantmoirs,1
traiection,1
fours,1
rais,1
oppoféc,1
th,1
grande,1
amplitude,1
cha,1
cune,1
eftoille,1
archimede,1
peníoit,1
pouuait,1
iuger,1
certain,1
hauteur,1
eftoyent,1
deflus,1
soleil,1
recerché,1
gnoiffance,1
loifir,1
difent,1
fclon,1
cité,1
poffible,1
dioufter,1
ens,1
fixiefme,1
ala,1
proportion,1
yingr,1
huiétilefquels,1
nombres,1
cítans,1
multipliez,1
cubiquement,1
petit,1
foubf,1
monftrenf,1
telles,1
cítoillcs,1
onc,1
ter,1
anzi,1
ífequemment,1
cinquief,1
pius,1
rrente,1
aue,1
quatrief,1
cinquante,1
feconde,1
tzoifieíme,1
fep,1
tente,1
